project_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,parent_project_id
PRJ_293FE57F,Local/regional public,Central California Irrigation District,,,,,
PRJ_68D0A222,Local/regional public,Merced Irrigation District,,,,,
PRJ_2DBDCCA8,Local/regional public,Local; City of San Francisco,,,,,
PRJ_7EFEE2C1,Local/regional public,Turlock Irrigation District,,,,,
PRJ_53890A31,Local/regional public,Oakdale Irrigation District system,,,,,
PRJ_77510FC0,Local/regional public,Local; Glenn Colusa Irrigation District,,,,,
PRJ_5A08500E,Local/regional public,Briggs-West Gridley Irrigation District conveyance system,,,,,
PRJ_295C9563,CVP,Central Valley Project,Trinity River Division,Spring Creek power conveyance system,,Trinity River Division > Spring Creek power conveyance system,
PRJ_321610D6,Local/regional public,Kern Delta Water District,,,,,
PRJ_419B8CB8,CVP,Central Valley Project,Delta Division,C.W. Bill Jones (Tracy) Pumping Plant conveyance,,Delta Division > C.W. Bill Jones (Tracy) Pumping Plant conveyance,
PRJ_10EF823F,SWP,State Water Project,South Bay Aqueduct,,,South Bay Aqueduct,
PRJ_75165373,Local/regional public,San Diego County Water Authority aqueduct system,,,,,
PRJ_3BDFD41D,Local/regional public,US Bureau of Reclamation; Chowchilla Water District,,,,,
PRJ_2B211A0E,Local/regional public,Tulare Irrigation District conveyance system,,,,,
PRJ_29026276,CVP,Central Valley Project,American River Division,Sly Park Unit,Camp Creek diversion system,American River Division > Sly Park Unit > Camp Creek diversion system,
PRJ_50450703,Local/regional public,Turlock  Irrigation District; Kings River Water Association,,,,,
PRJ_2D64A265,Other Reclamation,Orland Project,,Orland Project conveyance,,Orland Project conveyance,
PRJ_2ECF1EFC,CVP,Central Valley Project,American River Division,Folsom Unit,Folsom South Canal,American River Division > Folsom Unit > Folsom South Canal,
PRJ_2438E759,SWP,State Water Project,California Aqueduct,,,California Aqueduct,
PRJ_6C69776A,Local/regional public,Consolidated Irrigation District,,,,,
PRJ_0C2B8A54,Local/regional public,Natomas conveyance system,,,,,
PRJ_51D358A8,Local/regional public,Central Coast Water Authority,,,,,
PRJ_43221E17,Local/regional public,Sutter-area conveyance system,,,,,
PRJ_17BBEC92,CVP,Central Valley Project,San Felipe Division,Pacheco conveyance,,San Felipe Division > Pacheco conveyance,
PRJ_647CA77E,SWP,State Water Project,California Aqueduct,East Branch,,California Aqueduct > East Branch,
PRJ_13D9E3CA,CVP,Central Valley Project,Friant Division,Friant-Kern Canal,,Friant Division > Friant-Kern Canal,
PRJ_2598C9AE,Local/regional public,Glenn-Colusa Irrigation District drainage system,,,,,
PRJ_31610497,Local/regional public,Lakeside Irrigation Water District,,,,,
PRJ_41BBA244,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,,West San Joaquin Division > San Luis Unit,
PRJ_1DA992E8,Local/regional public,Modesto Irrigation District,,,,,
PRJ_037B3A46,CVP,Central Valley Project,San Felipe Division,Santa Clara Conduit,,San Felipe Division > Santa Clara Conduit,
PRJ_0A2B3865,Local/regional public,Kern Water Bank conveyance system,,,,,
PRJ_33C60215,Local/regional public,Henry Miller Water District,,,,,
PRJ_03224A01,Local/regional public,Kern County Water Agency Improvement District 1 conveyance system,,,,,
PRJ_5332ED6B,Local/regional public,San Diego County Water Authority conveyance system,,,,,
PRJ_6C774515,Local/regional public,Alta Irrigation District,,,,,
PRJ_47C3BDD2,CVP,Central Valley Project,Trinity River Division,,,Trinity River Division,
PRJ_1E95510E,Local/regional public,Madera Irrigation District conveyance system,,,,,
PRJ_1336EEDE,CVP,Central Valley Project,Friant Division,Madera Canal,,Friant Division > Madera Canal,
PRJ_747C6F00,Local/regional public,North Kern Water Storage District conveyance system,,,,,
PRJ_24E84691,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Joint-Use Complex,West San Joaquin Division > San Luis Unit > San Luis Joint-Use Complex,
PRJ_25E373A5,SWP,State Water Project,California Aqueduct,San Luis Field Division,San Luis Joint-Use Complex,California Aqueduct > San Luis Field Division > San Luis Joint-Use Complex,
PRJ_2A2D7CAB,Local/regional public,Madera Irrigation District,,,,,
PRJ_42080C31,Other Reclamation,Rogue River Basin Project,,Talent Division,,Talent Division,
PRJ_2090F9AA,Local/regional public,Semitropic-area conveyance system,,,,,
PRJ_6D2849BC,Local/regional public,Sacramento County Water Authority,,,,,
PRJ_3F76722E,Local/regional public,Semitropic Water Storage District conveyance system,,,,,
PRJ_3EAC9501,Local/regional public,Kern Island Canal system,,,,,
PRJ_0900764E,Local/regional public,Reclamation conveyance system; project assignment to be verified,,,,,
PRJ_474A8ED9,CVP,Central Valley Project,Sacramento River Division,Sacramento Canals Unit,Corning Canal,Sacramento River Division > Sacramento Canals Unit > Corning Canal,
PRJ_1CC3AE8E,Local/regional public,Sutter Extension Water District conveyance system,,,,,
PRJ_67C8C0AB,CVP,Central Valley Project,Sacramento River Division,Sacramento Canals Unit,Tehama-Colusa Canal,Sacramento River Division > Sacramento Canals Unit > Tehama-Colusa Canal,
PRJ_03AF1290,Other Reclamation,Ventura River Project,,Robles-Casitas conveyance,,Robles-Casitas conveyance,
PRJ_6F113FD0,Local/regional public,Westlands Water District,,,,,
PRJ_283DBF7B,Local/regional public,Mokelumne Aqueduct system,,,,,
PRJ_24C2C7FD,Local/regional public,Tulare Irrigation District,,,,,
PRJ_6E858812,CVP,Central Valley Project,American River Division,Sly Park Unit,Camino Conduit,American River Division > Sly Park Unit > Camino Conduit,
PRJ_72E436A1,CVP,Central Valley Project,Delta Division,,,Delta Division,
PRJ_79DB9F6E,Local/regional public,Local; Kern County Water Agency,,,,,
PRJ_657E25D1,CVP,Central Valley Project,Trinity River Division,Clear Creek conveyance and power system,,Trinity River Division > Clear Creek conveyance and power system,
PRJ_05313A5D,SWP,State Water Project,California Aqueduct,Coastal Branch,,California Aqueduct > Coastal Branch,
PRJ_6A3C2524,Local/regional public,Turlock Irrigation District system; Turlock Irrigation District conveyance system,,,,,
PRJ_0F28669A,Local/regional public,Kern-area flood and conveyance system,,,,,
PRJ_16A7BDC6,Local/regional public,US Bureau of Reclamation; Central California Irrigation District,,,,,
PRJ_23414893,Local/regional public,Delano Earlimart Irrigation District,,,,,
PRJ_6F129A27,CVP,Central Valley Project,Delta Division,Delta-Mendota Canal,,Delta Division > Delta-Mendota Canal,
PRJ_4A339E69,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,O'Neill Pumping Plant and Intake Canal,West San Joaquin Division > San Luis Unit > O'Neill Pumping Plant and Intake Canal,
PRJ_3F2C967F,Local/regional public,Los Vaqueros water-supply system,,,,,
PRJ_26715A47,CVP,Central Valley Project,San Felipe Division,Hollister Conduit,,San Felipe Division > Hollister Conduit,
PRJ_37C0CF47,Local/regional public,Grasslands Water District conveyance system,,,,,
PRJ_03DC9E6D,Local/regional public,City of Redding,,,,,
PRJ_1D39ED85,Local/regional public,Local; Metropolitan Water District,,,,,
PRJ_56A34207,Local/regional public,Richvale Irrigation District conveyance system,,,,,
PRJ_0A905B09,Local/regional public,Merced Irrigation District conveyance system,,,,,
