Water Right/Claim ID,Status,Type,Primary owner,Source,County,Effective date,Face value,Use type,Special use area,HUC 12,Watershed,Action,,Field Office ,
A027823,Licensed,License,BLM California State Office,UNST,Shasta,8/8/1983,0.3,Fire Protection; Fish and Wildlife Preservation and Enhancement,SHASTA BALLY;DELTA WATERSHEDS;,Olney Creek-Sacramento River | 180201540303,Churn Creek-Sacramento River,,,Redding,
A027824,Licensed,License,BLM California State Office,UNST,Trinity,8/8/1983,1.6,Fish and Wildlife Preservation and Enhancement,KLAMATH WATERSHED;Klamath,Dutton Creek-Trinity River | 180102110707,Weaver Creek-Trinity River,,,Redding,
A027825,Licensed,License,BLM California State Office,UNST,Trinity,2/25/1983,0.2,Stockwatering; Fish and Wildlife Preservation and Enhancement,KLAMATH WATERSHED;Klamath,Reading Creek | 180102110706,Weaver Creek-Trinity River,,,Redding,
A027826,Licensed,License,BLM California State Office,CAMP GULCH,Trinity,8/8/1983,0.1,Fish and Wildlife Preservation and Enhancement,North Coast AB2121 Area;Klamath,Reading Creek | 180102110706,Weaver Creek-Trinity River,,,Redding,
A027827,Licensed,License,BLM California State Office,UNST,Trinity,8/8/1983,0.3,Fire Protection; Stockwatering; Fish and Wildlife Preservation and Enhancement,Klamath;SAN JOAQUIN RIVER,Indian Creek | 180102110704,Weaver Creek-Trinity River,,,Redding,
A021792,Licensed,License,BLM California State Office,INDIAN SPRING,Fresno,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Upper Poso Slough | 180400012001,Salt Slough,,,Central Coast,
A021794,Licensed,License,BLM California State Office,JUNIPER SPRING,San Benito,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Cedar Flat Canyon-Panoche Creek | 180400140401,Lower Panoche Creek,,,Central Coast,
A021796,Licensed,License,BLM California State Office,UNSP,San Benito,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Silver Creek | 180400140304,Larious Creek-Silver Creek,,,Central Coast ,
A021797,Licensed,License,BLM California State Office,UNSP,Fresno,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Silver Creek | 180400140304,Larious Creek-Silver Creek,,,Central Coast ,
A021798,Licensed,License,BLM California State Office,UNSP,Fresno,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Silver Creek | 180400140304,Larious Creek-Silver Creek,,,Central Coast ,
A021799,Licensed,License,BLM California State Office,UNSP,Fresno,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Tumey Gulch | 180300090901,Tumey Gulch-FresnoSlough,,,Central Coast ,
A021800,Licensed,License,BLM California State Office,UNSP,San Benito,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Silver Creek | 180400140304,Larious Creek-Silver Creek,,,Central Coast ,
A021801,Licensed,License,BLM California State Office,LOWER SPRING;UPPER SPRING,Fresno,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Cedar Flat Canyon-Panoche Creek | 180400140401,Lower Panoche Creek,,,Central Coast,
A021937,Licensed,License,BLM California State Office,PRIMITIVE SPRING,Humboldt,10/15/1964,0.1,Domestic,North Coast AB2121 Area,Upper Mattole River | 180101070203,Mattole River,,,Central Coast,
A022192,Licensed,License,BLM California State Office,NONADA SPRING,Fresno,6/16/1965,0.1,Fish and Wildlife Preservation and Enhancement,MIDDLE WEST SIDE,Moreno Gulch | 180400012003,Salt Slough,,,Central Coast,
A022193,Licensed,License,BLM California State Office,UNSP,Fresno,6/16/1965,0.1,Fish and Wildlife Preservation and Enhancement,,Cedar Flat Canyon-Panoche Creek | 180400140401,Lower Panoche Creek,,,Central Coast,
A022194,Licensed,License,BLM California State Office,CLIFF SPRING,San Benito,6/16/1965,0.1,Fish and Wildlife Preservation and Enhancement,,Silver Creek | 180400140304,Larious Creek-Silver Creek,,,Central Coast,
A022195,Licensed,License,BLM California State Office,JEEP SPRING,Fresno,6/16/1965,0.1,Fish and Wildlife Preservation and Enhancement,,Tumey Gulch | 180300090901,Tumey Gulch-FresnoSlough,,,Central Coast,
A022197,Licensed,License,BLM California State Office,UNSP,Fresno,6/16/1965,0.1,Fish and Wildlife Preservation and Enhancement,MIDDLE WEST SIDE,Moreno Gulch | 180400012003,Salt Slough,,,Central Coast,
A022198,Licensed,License,BLM California State Office,DOSADOS SPRING,,6/16/1965,0.1,Fish and Wildlife Preservation and Enhancement,,Escarpado Canyon-Panoche Creek | 180400140402,Lower Panoche Creek,,,Central Coast,
A028322,Permitted,Permit,BLM California State Office,UNSP,Mariposa,11/9/1984,0.1,Fish and Wildlife Preservation and Enhancement; Stockwatering,MERCED RIVER,Solomon Gulch-Merced River | 180400080603,Maxwell Creek-Merced River,,,MLFO,
A022165,Licensed,License,BLM RIDGECREST FIELD OFFICE,ANTIMONY SPRING,Kern,5/20/1965,2.2,Fish and Wildlife Preservation and Enhancement; Stockwatering,,Lower Jawbone Canyon | 180902060303,Jawbone Canyon,,,Bakersfield,
A022167,Licensed,License,BLM RIDGECREST FIELD OFFICE,Public Spring,Kern,5/20/1965,1.7,Stockwatering; Fish and Wildlife Preservation and Enhancement,,Freeman Gulch | 180902050405,Little Dixie Wash,,,Bakersfield,
A022199,Licensed,License,BLM California State Office,SECTION 32 SPRING,Fresno,6/16/1965,1.1,Stockwatering; Fish and Wildlife Preservation and Enhancement,,Tumey Gulch | 180300090901,Tumey Gulch-FresnoSlough,,,Central Coast,
A022159,Licensed,License,BLM California State Office,STUDHORSE CANYON SPRING,Kern,5/20/1965,1.1,Fish and Wildlife Preservation and Enhancement; Stockwatering,,Middle Caliente Creek | 180300030406,Caliente Creek,,,Bakersfield,
A021702,Licensed,License,BLM California State Office,BARREL SPRING,Lake,3/20/1964,0.6,Domestic; Fish and Wildlife Preservation and Enhancement; Stockwatering,CACHE CREEK,Indian Valley Reservoir-North Fork Cache Creek | 180201160404,North Fork Cache Creek,,,Ukiah,
A022007,Licensed,License,BLM California State Office,FISKE CREEK SPRING,Lake,12/18/1964,0.1,Stockwatering; Domestic,CACHE CREEK,Hamilton Creek-Cache Creek | 180201160701,Lower Cache Creek,,,Ukiah,
A022426,Licensed,License,BLM California State Office,UNST,Mendocino,3/17/1966,1.1,Fire Protection,North Coast AB2121 Area,Mill Creek | 180101100402,Upper Russian River,,,Ukiah,
A022164,Licensed,License,BLM RIDGECREST FIELD OFFICE,NINEMILE CANYON UNDERFLOW,Inyo,5/20/1965,2.8,Stockwatering; Fish and Wildlife Preservation and Enhancement,,Ninemile Canyon | 180902050501,Ninemile Canyon,,,Ridgecrest,
A023112,Licensed,License,BLM California State Office,HORSE THIEF SPRINGS,San Bernardino,8/13/1968,7.5,Domestic; Industrial,,Horse Thief Springs | 160600150801,Mesquite Valley,,,Barstow . Needles . Ridgecrest ,
A024997,Licensed,License,BLM California State Office,UNSP,Placer,2/18/1976,8.1,Domestic; Fire Protection,AMERICAN RIVER,Eldorado Creek | 180201280402,North Fork Middle Fork American River,,,Mother Lode,
A026038,Licensed,License,BLM California State Office,UNST,Lassen,6/29/1979,55,Stockwatering; Fish and Wildlife Preservation and Enhancement,DELTA WATERSHEDS;;PIT RIVER,East Fork Juniper Creek | 180200021801,Juniper Creek,,,Nevada,
A020631,Revoked,Permit,BLM California State Office,UNSP,Shasta,2/26/1962,7.3,Fire Protection,SHASTA BALLY,,,,,Redding,
A028334,Licensed,License,BLM California State Office,UNST,Lassen,11/26/1984,1.5,Stockwatering; Fish and Wildlife Preservation and Enhancement; Fire Protection,North Coast AB2121 Area;,Middle Deep Creek | 180800030506,Deep Creek-Secret Creek,,,Eagle Lake,
A028041,Licensed,License,BLM California State Office,UNST,Lassen,3/22/1984,1.2,Fire Protection; Stockwatering; Fish and Wildlife Preservation and Enhancement,,Lower Deep Creek | 180800030507,Deep Creek-Secret Creek,,,Eagle Lake,
A028066,Licensed,License,BLM California State Office,UNST,Lassen;Napa,3/22/1984,2.3,Fire Protection; Fish and Wildlife Preservation and Enhancement; Stockwatering,PUTAH CREEK;,Lower Deep Creek | 180800030507;Hunting Creek | 180201620306,Deep Creek-Secret Creek;Upper Putah Creek,,,Eagle Lake,
A028492,Licensed,License,BLM California State Office,UNST,Lassen,6/28/1985,0.8,Fish and Wildlife Preservation and Enhancement; Fire Protection; Stockwatering,;COLUSA BASIN,Upper Cold Spring Creek | 180800020108,Cold Spring Creek-Madeline Plains,,,Eagle Lake/Ukiah,
A028597,Licensed,License,BLM California State Office,UNST,Lassen,10/18/1985,1,Fish and Wildlife Preservation and Enhancement; Stockwatering; Fire Protection,North Coast AB2121 Area;,Headwaters Smoke Creek | 160402030901,Smoke Creek-Frontal Smoke Creek Desert,,,Eagle Lake,
A031231,Licensed,License,BLM California State Office,UNST,Lassen,6/26/2001,2,Fish and Wildlife Preservation and Enhancement; Stockwatering,Klamath;,Horse Lake | 180800030603,Horse Lake-Willow Creek,,,Eagle Lake,
A028588,Permitted,Permit,BLM California State Office,UNST,Lassen;Tehama,10/18/1985,0.5,Stockwatering; Fire Protection; Fish and Wildlife Preservation and Enhancement,;BALL MOUNTAIN,Log Spring Creek-Thomes Creek | 180201560405;Painters Flat | 180800020101,Upper Thomes Creek;Cold Spring Creek-Madeline Plains,,,Eagle Lake/Redding,
A028706,Permitted,Permit,BLM ALTURAS FIELD OFFICE,UNST,Lassen,1/3/1986,5.2,Stockwatering; Recreational; Fish and Wildlife Preservation and Enhancement,AMERICAN RIVER;PIT RIVER,Holbrook Canyon | 180200021402,Cottonwood Creek-Ash Creek,,,Eagle Lake,
A028307,Licensed,License,BLM California State Office,UNST,Lassen,11/1/1984,1,Fish and Wildlife Preservation and Enhancement; Fire Protection; Stockwatering,;North Coast AB2121 Area,Fleming Spring | 180800020202,Van Loan Creek-Madeline Plains,,,Eagle Lake,
A028310,Licensed,License,BLM California State Office,UNST,Lassen,11/1/1984,0.5,Fire Protection; Fish and Wildlife Preservation and Enhancement; Stockwatering,;MIDDLE WEST SIDE,Fleming Spring | 180800020202,Van Loan Creek-Madeline Plains,,,Eagle Lake,
A028291,Licensed,License,BLM California State Office,UNST,Calaveras;Lassen,10/18/1984,1,Fish and Wildlife Preservation and Enhancement; Fire Protection; Stockwatering,;UPPER CALAVERAS,Rich Gulch-North Fork Calaveras River | 180400110203;Fleming Spring | 180800020202,North Fork Calaveras River;Van Loan Creek-Madeline Plains,,,MLFO/Eagle Lake,
A028040,Licensed,License,BLM California State Office,AN UNNAMED STREAM,Lassen,3/22/1984,1.3,Fish and Wildlife Preservation and Enhancement; Fire Protection; Stockwatering,;YUBA RIVER,Upper Smoke Creek | 160402030902,Smoke Creek-Frontal Smoke Creek Desert,,,Eagle Lake,
A028042,Licensed,License,BLM California State Office,UNST,Lassen,3/22/1984,2,Fire Protection; Fish and Wildlife Preservation and Enhancement; Stockwatering,,Rush Creek | 160402030904,Smoke Creek-Frontal Smoke Creek Desert,,,Eagle Lake,
A028060,Licensed,License,BLM California State Office,UNST,Fresno;Lassen,3/22/1984,1.2,Stockwatering; Fire Protection; Fish and Wildlife Preservation and Enhancement,,Upper Pine Flat Reservoir | 180300100805;Upper Secret Creek | 180800030501,Pine Flat Reservoir-Kings River;Deep Creek-Secret Creek,,,Eagle Lake/Central Coast,
A028063,Licensed,License,BLM California State Office,UNST,Lassen,3/22/1984,1.2,Stockwatering; Fire Protection; Fish and Wildlife Preservation and Enhancement,PIT RIVER;,Holbrook Canyon | 180200021402;Rush Creek | 160402030904,Cottonwood Creek-Ash Creek;Smoke Creek-Frontal Smoke Creek Desert,,,Eagle Lake,
A028071,Licensed,License,BLM California State Office,UNST,Lassen,3/22/1984,2,Fire Protection; Stockwatering; Fish and Wildlife Preservation and Enhancement,;SACRAMENTO DELTA;LEGAL DELTA,Lower Deep Creek | 180800030507,Deep Creek-Secret Creek,,,Eagle Lake,
A028055,Revoked,Permit,BLM California State Office,UNST,Lassen,3/22/1984,0,Fire Protection,,Lower Deep Creek | 180800030507,Deep Creek-Secret Creek,,,Eagle Lake,
A029881,Permitted,Permit,BLM California State Office,UNST,Lassen,12/17/1990,484,Fish and Wildlife Preservation and Enhancement,TEHAMA;,Buckhorn Reservoir | 180800020104,Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004170,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1.5,Other,WHITMORE;,Lower Dry Lake-Frontal Eagle Lake | 180800030304,Lower Pine Creek-Eagle Lake,,,Eagle Lake,
C004433,Registered,Registration,BLM California State Office,UNST,Colusa,10/31/1997,5.3,Stockwatering,CACHE CREEK;AHWAHNEE,Lower Bear Creek | 180201160504,Bear Creek,,,Ukiah,
C003978,Registered,Registration,BLM California State Office,UNST,Shasta;Sonoma,1/9/1991,0,Stockwatering,REDDING;North Coast AB2121 Area,Brooks Creek-Russian River | 180101100605;Lower Bear Creek | 180201540405,Middle Russian River;Bear Creek,,,Redding,
C003864,Registered,Registration,BLM California State Office,UNST,Mendocino;Modoc,2/15/1984,0,Stockwatering,North Coast AB2121 Area;PIT RIVER,Romero Creek-South Fork Pit River | 180200020402;Morrison Creek-Russian River | 180101100405,Pine Creek-South Fork Pit River;Upper Russian River,,,Ukiah/Applegate,
C003865,Registered,Registration,BLM California State Office,UNST,Modoc;Monterey,2/15/1984,0,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Linnville Creek-North Fork Pit River | 180200020601;Tularcitos Creek | 180600060103,North Fork Pit River;Carmel River,,,Applegate/Central Coast,
C003866,Registered,Registration,BLM California State Office,UNST,Lassen,2/15/1984,0,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Upper Cedar Creek | 180200020201,Cedar Creek,,,Eagle Lake,
C003867,Registered,Registration,BLM California State Office,UNST,Modoc,2/15/1984,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Big Juniper Creek-Little Juniper Creek | 180200020401,Pine Creek-South Fork Pit River,,,Applegate/Central Coast,
C003977,Registered,Registration,BLM California State Office,UNST,Riverside;Shasta,1/9/1991,0,Stockwatering,DELTA WATERSHEDS;;WHITMORE,Baldwin Creek | 180201530301;Strawberry Creek-San Jacinto River | 180702020102,Battle Creek;Upper San Jacinto River,,,Redding,
C003976,Registered,Registration,BLM California State Office,UNST,Shasta,1/9/1991,0,Stockwatering,DELTA WATERSHEDS;;REDDING,Lower Bear Creek | 180201540405,Bear Creek,,,Redding/Palm Springs,
C004016,Registered,Registration,BLM California State Office,UNST,Lassen,7/20/1993,0,Stockwatering,,Mud Flat | 180800030508,Deep Creek-Secret Creek,,,Eagle Lake,
C004017,Registered,Registration,BLM California State Office,UNST,Lassen,7/20/1993,0,Stockwatering,,Mud Flat | 180800030508,Deep Creek-Secret Creek,,,Eagle Lake,
C004018,Registered,Registration,BLM California State Office,UNST,Lassen,7/20/1993,0,Stockwatering,North Coast AB2121 Area;,Susan River Delta-Frontal Honey Lake | 180800030705,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C004019,Registered,Registration,BLM California State Office,UNST,Lassen,7/20/1993,0,Stockwatering,;FEATHER RIVER,Susan River Delta-Frontal Honey Lake | 180800030705,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C003992,Registered,Registration,BLM California State Office,UNST,Lassen,4/16/1992,0,Stockwatering,;PUTAH CREEK,Headwaters Smoke Creek | 160402030901,Smoke Creek-Frontal Smoke Creek Desert,,,Eagle Lake,
C003993,Registered,Registration,BLM California State Office,UNST,Lassen,4/16/1992,0,Stockwatering,Klamath;,Headwaters Smoke Creek | 160402030901,Smoke Creek-Frontal Smoke Creek Desert,,,Eagle Lake,
C003994,Registered,Registration,BLM California State Office,UNST,Lassen,4/16/1992,0,Stockwatering,;SHASTA BALLY,Upper Secret Creek | 180800030501,Deep Creek-Secret Creek,,,Eagle Lake,
C004054,Registered,Registration,BLM California State Office,UNST,Lassen,9/13/1995,0,Stockwatering,SAN JOAQUIN DELTA;LEGAL DELTA;PIT RIVER,Dry Creek | 180200020301,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004062,Registered,Registration,BLM California State Office,UNST,Lassen,11/8/1996,0,Stockwatering,;SAN JOAQUIN DELTA;LEGAL DELTA,Upper Snowstorm Creek | 180800030503,Deep Creek-Secret Creek,,,Eagle Lake,
C004157,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0,Stockwatering,EASTERN TEHAMA;,Lower Secret Creek | 180800030509,Deep Creek-Secret Creek,,,Eagle Lake,
C004158,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0,Stockwatering,EASTERN TEHAMA;,Cleghorn Creek-Frontal Eagle Lake | 180800030303,Lower Pine Creek-Eagle Lake,,,Eagle Lake,
C004159,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0,Stockwatering,;BEAR RIVER,Lower Dry Lake-Frontal Eagle Lake | 180800030304,Lower Pine Creek-Eagle Lake,,,Eagle Lake,
C004160,Registered,Registration,BLM California State Office,UNST,Lassen;San Benito,4/10/1997,0,Stockwatering,,Lower Secret Creek | 180800030509;Quien Sabe Creek | 180600020603,Deep Creek-Secret Creek;Tres Pinos Creek,,,Eagle Lake,
C004161,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0,Stockwatering,,Lower Secret Creek | 180800030509,Deep Creek-Secret Creek,,,Eagle Lake,
C004162,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0,Other,;PIT RIVER,Lower Willow Creek | 180800030607,Horse Lake-Willow Creek,,,Eagle Lake,
C004163,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0,Stockwatering,,Branham Reservoir-Pine Creek | 180800030601,Horse Lake-Willow Creek,,,Eagle Lake,
C004179,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Butte Creek | 180200021701,Butte Creek-Ash Creek,,,Eagle Lake,
C004180,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Lower Willow Creek | 180200021602,Willow Creek,,,Eagle Lake,
C004181,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Lower Willow Creek | 180200021602,Willow Creek,,,Eagle Lake,
C004182,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,North Coast AB2121 Area;,Dry Creek | 180800020103,Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004184,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,,Coyote Flat | 180800020201,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004185,Registered,Registration,BLM California State Office,UNST,Lassen;San Diego,12/23/1997,0,Stockwatering,,Coyote Flat | 180800020201;Sutherland Lake-Santa Ysabel Creek | 180703040103,Van Loan Creek-Madeline Plains;Upper Santa Ysabel Creek,,,Eagle Lake,
C004186,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,,Upper Cold Spring Creek | 180800020108,Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004187,Registered,Registration,BLM California State Office,LONG CANYON,Lassen,12/23/1997,0,Stockwatering,AMERICAN RIVER;,Coyote Flat | 180800020201,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004188,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,VALLEY-AMERICAN;,Coyote Flat | 180800020201,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004190,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Stones Canyon | 180200020303,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004191,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;TEHAMA,Lower Willow Creek | 180200021602,Willow Creek,,,Eagle Lake,
C004192,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;NORTH VALLEY FLOOR,Butte Creek | 180200021701,Butte Creek-Ash Creek,,,Eagle Lake,
C004193,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER,Holbrook Canyon | 180200021402,Cottonwood Creek-Ash Creek,,,Eagle Lake,
C004194,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Montgomery Canyon-South Fork Pit River | 180200020305,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004195,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Montgomery Canyon-South Fork Pit River | 180200020305;Dry Creek | 180800020103,Dry Creek-South Fork Pit River;Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004196,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Van Loan Creek | 180800020207;Montgomery Canyon-South Fork Pit River | 180200020305,Van Loan Creek-Madeline Plains;Dry Creek-South Fork Pit River,,,Eagle Lake,
C004197,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Dry Creek | 180200020301,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004198,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER,Montgomery Canyon-South Fork Pit River | 180200020305,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004199,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Dry Creek | 180200020301,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004200,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;FEATHER RIVER,Holbrook Canyon | 180200021402,Cottonwood Creek-Ash Creek,,,Eagle Lake,
C004201,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PUTAH CREEK;PIT RIVER,Muck Valley-Pit River | 180200021903,Widow Valley Creek-Pit River,,,Eagle Lake,
C004202,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER,Peacock Creek-Pit River | 180200030802,Town of Pittville-Pit River,,,Eagle Lake,
C004203,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER,Clarks Valley-Pit River | 180200030801,Town of Pittville-Pit River,,,Eagle Lake,
C004207,Registered,Registration,BLM California State Office,UNST,Lassen;Sutter,12/23/1997,0,Stockwatering,PIT RIVER;VALLEY-AMERICAN,Peacock Creek-Pit River | 180200030802;Pleasant Grove Creek Canal-Cross Canal | 180201610303,Town of Pittville-Pit River;Pleasant Grove Creek-Cross Canal,,,Eagle Lake/Mother Lode,
C004209,Registered,Registration,BLM California State Office,UNST,Lassen;Yolo,12/23/1997,0,Stockwatering,;SACRAMENTO DELTA;LEGAL DELTA,Mitchell Field | 180800020208;Toe Drain-Cache Slough | 180201630606,Van Loan Creek-Madeline Plains;Cache Slough,,,Eagle Lake,
C004210,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Dry Creek | 180200020301,Dry Creek-South Fork Pit River,,,Eagle Lake,
C004211,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0,Stockwatering,,Ducasse Reservoir | 180800020205;Mitchell Field | 180800020208,Van Loan Creek-Madeline Plains,,,Eagle Lake,
