final_site_uid,report_record_number,field_maps_number,field_maps_globalid,source_feature_id,site_origin,table1a_name,table1a_latitude,table1a_longitude,table1b_name,table1b_latitude,table1b_longitude,table1c_name,table1c_latitude,table1c_longitude,table2_name_original,table2_latitude_original,table2_longitude_original,table2_report_basin_original,table2_status_original,table2_field_notes,final_site_name,final_latitude,final_longitude,final_status,final_feature_type,spatial_bulletin118_id,spatial_bulletin118_name,reported_basin,monitoring_performed,laboratory_sample_collected,duplicate_flag,duplicate_of_site_uid,identity_resolution_method,identity_confidence,identity_notes,status_resolution_reason,source_authority,review_status,table1c_to_table2_distance_ft,table1c_to_table2_distance_miles,coordinate_change_category,reported_spatial_basin_match,name_basin_expected,name_spatial_basin_conflict
mojave_fieldcheck_r011,11,57,,,BLM original contract target,05N12E11B001S,34.5424,-115.6905,05N12E11B001S,34.5424,-115.6905,05N12E11B001S,34.5424,-115.6905,05N12E11B001S,34.5424,-115.6905,Bristol Valley,not_found,No well,05N12E11B001S,34.5424,-115.6905,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r012,12,48,,,BLM original contract target,BNSF Well,34.51892,-115.500881,BNSF Well,34.51892,-115.50088,BNSF Well,34.51892,-115.500881,BNSF Well,34.51892,-115.500881,Bristol Valley,present,"well behind locked gate, appears active and for municipal use",BNSF Well,34.51892,-115.500881,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r013,13,36,,,BLM original contract target,,34.52712,-115.598226,,34.52712,-115.59823,,34.52712,-115.598226,,34.52712,-115.598226,Bristol Valley,not_found,No well,,34.52712,-115.598226,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r014,14,51,,,BLM original contract target,05N14E15L001S,34.5207,-115.5017,05N14E15L001S,34.5207,-115.5017,05N14E15L001S,34.5207,-115.5017,05N14E15L001S,34.5207,-115.5017,Bristol Valley,not_found,No well,05N14E15L001S,34.5207,-115.5017,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r015,15,50,,,BLM original contract target,05N14E15K001S,34.5183,-115.5005,05N14E15K001S,34.5183,-115.5005,05N14E15K001S,34.5183,-115.5005,05N14E15K001S,34.5183,-115.5005,Bristol Valley,not_found,No well,05N14E15K001S,34.5183,-115.5005,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r016,16,52,,,BLM original contract target,06N14E31A001S,34.5699,-115.5492,06N14E31A001S,34.5699,-115.5492,06N14E31A001S,34.5699,-115.5492,06N14E31A001S,34.5699,-115.5492,Bristol Valley,not_found,No well,06N14E31A001S,34.5699,-115.5492,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r017,17,59,,,BLM original contract target,DH-1,34.47039,-115.700832,DH-1,34.47039,-115.70083,DH-1,34.47039,-115.700832,DH-1,34.47039,-115.70083,Bristol Valley,present,"well locked, Nat'l Chloride",DH-1,34.47039,-115.70083,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.6015178098913134,0.00011392382763093057,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r018,18,104,,,BLM original contract target,DH-2,34.48537,-115.667632,DH-2,34.48537,-115.66763,DH-2,34.48537,-115.667632,DH-2,34.48537,-115.667632,Bristol Valley,present,"well locked, on 4x4 pad, 9"" steel, Standard Lithium",DH-2,34.48537,-115.667632,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r019,19,60,,,BLM original contract target,DH-5,34.48529,-115.747382,DH-5,34.48529,-115.74738,DH-5,34.48529,-115.747382,DH-5,34.48529,-115.747382,Bristol Valley,present,"well locked, on 4x4 pad, 9"" steel, Nat'l Chloride",DH-5,34.48529,-115.747382,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r020,20,58,,,BLM original contract target,DH-5A,34.48535,-115.747302,DH-5A,34.48535,-115.7473,DH-5A,34.48535,-115.747302,DH-5A,34.48535,-115.747302,Bristol Valley,present,"well locked, on 4x4 pad, 9"" steel, Nat'l Chloride",DH-5A,34.48535,-115.747302,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r021,21,29,,,BLM original contract target,Gravel Pit,34.444,-115.746502,Gravel Pit,34.444,-115.7465,Gravel Pit,34.444,-115.746502,Gravel Pit,34.444,-115.746502,Bristol Valley,present,"outer 8"" PVC, inner 3"" PVC",Gravel Pit,34.444,-115.746502,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,True,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r022,22,32,,,BLM original contract target,CA3601097_002_002,34.43512,-115.70297,CA3601097_002_002,34.43512,-115.70297,CA3601097_002_002,34.43512,-115.70297,CA3601097_002_002,34.43512,-115.70297,Bristol Valley,not_found,No well,CA3601097_002_002,34.43512,-115.70297,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r023,23,30,,,BLM original contract target,05N12E32G001S,34.4806,-115.7432,05N12E32G001S,34.4806,-115.7432,05N12E32G001S,34.4806,-115.7432,05N12E32G001S,34.4806,-115.7432,Bristol Valley,not_found,No well,05N12E32G001S,34.4806,-115.7432,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r024,24,112,,,BLM original contract target,04N12E05A001S,34.4696,-115.7388,04N12E05A001S,34.4696,-115.7388,04N12E05A001S,34.4696,-115.7388,04N12E05A001S,34.4696,-115.7388,Bristol Valley,not_found,No well,04N12E05A001S,34.4696,-115.7388,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r025,25,0,,,BLM original contract target,TT-2,34.48873,-115.728582,TT-2,34.48873,-115.72858,TT-2,34.48873,-115.728582,TT-2,34.48873,-115.728582,Bristol Valley,unknown,"Well location is remote and inaccessible, unverified",TT-2,34.48873,-115.728582,unknown,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r026,26,0,,,BLM original contract target,SCE-11,34.42223,-115.434452,SCE-11,34.42223,-115.43445,SCE-11,34.42223,-115.434452,SCE-11,34.42223,-115.434452,Cadiz Valley,unknown,"Well location is remote and inaccessible, unverified",SCE-11,34.42223,-115.434452,unknown,groundwater_well_site,7-007,Cadiz Valley,Cadiz Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r027,27,63,,,BLM original contract target,04N15E23X001S,34.4206,-115.3766,04N15E23X001S,34.4206,-115.3766,04N15E23X001S,34.4206,-115.3766,04N15E23X001S,34.4206,-115.3766,Cadiz Valley,not_found,No well,04N15E23X001S,34.4206,-115.3766,not_found,groundwater_well_site,7-007,Cadiz Valley,Cadiz Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r028,28,64,,,BLM original contract target,04N15E24E001S,34.4203,-115.3675,04N15E24E001S,34.4203,-115.3675,04N15E24E001S,34.4203,-115.3675,04N15E24E001S,34.4203,-115.3675,Cadiz Valley,not_found,No well,04N15E24E001S,34.4203,-115.3675,not_found,groundwater_well_site,7-007,Cadiz Valley,Cadiz Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r029,29,65,,,BLM original contract target,04N15E24X001S,34.4206,-115.359,04N15E24X001S,34.4206,-115.359,04N15E24X001S,34.4206,-115.359,04N15E24X001S,34.4206,-115.359,Cadiz Valley,not_found,No well,04N15E24X001S,34.4206,-115.359,not_found,groundwater_well_site,7-007,Cadiz Valley,Cadiz Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r030,30,0,,,BLM original contract target,CL-1,34.32794,-115.410962,CL-1,34.32794,-115.41096,CL-1,34.32794,-115.410962,CL-1,34.32794,-115.410962,Cadiz Valley,unknown,"Well location is remote and inaccessible, unverified",CL-1,34.32794,-115.410962,unknown,groundwater_well_site,7-007,Cadiz Valley,Cadiz Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r031,31,13,,,BLM original contract target,04N20E12F001S,34.4499,-114.8334,04N20E12F001S,34.4499,-114.8334,04N20E12F001S,34.4499,-114.8334,04N20E12F001S,34.4499,-114.8334,Chemehuevi Valley,not_found,No well,04N20E12F001S,34.4499,-114.8334,not_found,groundwater_well_site,7-043,Chemehuevi Valley,Chemehuevi Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r032,32,16,,,BLM original contract target,04N21E19X001S,34.4192,-114.8137,04N21E19X001S,34.4192,-114.8137,04N21E19X001S,34.4192,-114.8137,04N21E19X001S,34.4192,-114.8137,Chemehuevi Valley,not_found,No well,04N21E19X001S,34.4192,-114.8137,not_found,groundwater_well_site,7-043,Chemehuevi Valley,Chemehuevi Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r033,33,12,,,BLM original contract target,04N22E15H001S,34.4355,-114.6498,04N22E15H001S,34.4355,-114.6498,04N22E15H001S,34.4355,-114.6498,04N22E15H001S,34.4355,-114.6498,Chemehuevi Valley,not_found,No well,04N22E15H001S,34.4355,-114.6498,not_found,groundwater_well_site,7-043,Chemehuevi Valley,Chemehuevi Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r034,34,7,,,BLM original contract target,West Well,34.44416,-114.478885,West Well,34.44416,-114.47889,West Well,34.44416,-114.478885,West Well,34.4441480004674,-114.478857000575,Chemehuevi Valley,present,spring box with batteries,West Well,34.4441480004674,-114.478857000575,spring_present,spring_or_spring_box,7-043,Chemehuevi Valley,Chemehuevi Valley,True,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Monitoring workbook identifies West Well as a spring/spring box,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,9.4932811112703,0.001797969907437557,minor_field_refinement_le_500ft,True,,False
mojave_fieldcheck_r035,35,9,,,BLM original contract target,04N24E17A001S,34.4391,-114.475,04N24E17A001S,34.4391,-114.475,04N24E17A001S,34.4391,-114.475,04N24E17A001S,34.4391,-114.475,Chemehuevi Valley,not_found,No well,04N24E17A001S,34.4391,-114.475,not_found,groundwater_well_site,7-043,Chemehuevi Valley,Chemehuevi Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r037,37,"10, 11",,,BLM original contract target,Whipple Well,34.36307,-114.451081,Whipple Well,34.36307,-114.45108,Whipple Well,34.36307,-114.451081,Whipple Well,34.36307,-114.451081,Chemehuevi Valley,not_found,No well,Whipple Well,34.36307,-114.451081,not_found,groundwater_well_site,7-043,Chemehuevi Valley,Chemehuevi Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r038,38,95,,,BLM original contract target,02S17E30E001S,33.9716,-115.2448,02S17E30E001S,33.9716,-115.2448,02S17E30E001S,33.9716,-115.2448,02S17E30E001S,33.9716,-115.2448,Chuckwalla Valley,not_found,No well,02S17E30E001S,33.9716,-115.2448,not_found,groundwater_well_site,7-005,Chuckwalla Valley,Chuckwalla Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r039,39,115,,,BLM original contract target,Packard Well,33.93447,-115.078876,Packard Well,33.93447,-115.07888,Packard Well,33.93447,-115.078876,Packard Well,33.93447,-115.078876,Chuckwalla Valley,not_found,No well,Packard Well,33.93447,-115.078876,not_found,groundwater_well_site,7-005,Chuckwalla Valley,Chuckwalla Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r040,40,115,,,BLM original contract target,03S18E03Q001S,33.9354,-115.0779,03S18E03Q001S,33.9354,-115.0779,03S18E03Q001S,33.9354,-115.0779,03S18E03Q001S,33.9354,-115.0779,Chuckwalla Valley,not_found,No well,03S18E03Q001S,33.9354,-115.0779,not_found,groundwater_well_site,7-005,Chuckwalla Valley,Chuckwalla Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r041,41,102,,,BLM original contract target,03S19E05N001S,33.9354,-115.0163,03S19E05N001S,33.9354,-115.0163,03S19E05N001S,33.9354,-115.0163,03S19E05N001S,33.9354,-115.0163,Chuckwalla Valley,not_found,No well,03S19E05N001S,33.9354,-115.0163,not_found,groundwater_well_site,7-005,Chuckwalla Valley,Chuckwalla Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r042,42,113,,,BLM original contract target,03S18E11A001S,33.9318,-115.0561,03S18E11A001S,33.9318,-115.0561,03S18E11A001S,33.9318,-115.0561,03S18E11A001S,33.9318,-115.0561,Chuckwalla Valley,not_found,No well,03S18E11A001S,33.9318,-115.0561,not_found,groundwater_well_site,7-005,Chuckwalla Valley,Chuckwalla Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r043,43,99,,,BLM original contract target,CA3301227_002_002,33.84538,-115.382946,CA3301227_002_002,33.84538,-115.38295,CA3301227_002_002,33.84538,-115.382946,CA3301227_002_002,33.84538,-115.382946,Chuckwalla Valley,not_found,No well,CA3301227_002_002,33.84538,-115.382946,not_found,groundwater_well_site,7-005,Chuckwalla Valley,Chuckwalla Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
