final_site_uid,current_brim_record_identifier,report_record_number,field_maps_number,action,old_name,new_name,name_changed,old_latitude,new_latitude,latitude_changed,old_longitude,new_longitude,longitude_changed,coordinate_distance_m,old_status,new_status,status_changed,old_report_basin,new_report_basin,report_basin_changed,spatial_bulletin118_name,old_notes,new_notes,notes_changed,match_key_used,resolution_method,confidence,reason,source_file,source_sheet,source_record_reference
mojave_fieldcheck_r026,mojave2025_26,26,0,KEEP,SCE-11,SCE-11,False,34.42223,34.42223,False,-115.434452,-115.434452,False,0.0,unknown,unknown,False,Cadiz Valley,Cadiz Valley,False,Cadiz Valley,Well location is remote and inaccessible; unverified,"Well location is remote and inaccessible, unverified",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 26
mojave_fieldcheck_r027,mojave2025_27,27,63,KEEP,04N15E23X001S,04N15E23X001S,False,34.4206,34.4206,False,-115.3766,-115.3766,False,0.0,not_found,not_found,False,Cadiz Valley,Cadiz Valley,False,Cadiz Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 27
mojave_fieldcheck_r028,mojave2025_28,28,64,KEEP,04N15E24E001S,04N15E24E001S,False,34.4203,34.4203,False,-115.3675,-115.3675,False,0.0,not_found,not_found,False,Cadiz Valley,Cadiz Valley,False,Cadiz Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 28
mojave_fieldcheck_r029,mojave2025_29,29,65,KEEP,04N15E24X001S,04N15E24X001S,False,34.4206,34.4206,False,-115.359,-115.359,False,0.0,not_found,not_found,False,Cadiz Valley,Cadiz Valley,False,Cadiz Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 29
mojave_fieldcheck_r030,mojave2025_30,30,0,KEEP,CL-1,CL-1,False,34.32794,34.32794,False,-115.410962,-115.410962,False,0.0,unknown,unknown,False,Cadiz Valley,Cadiz Valley,False,Cadiz Valley,Well location is remote and inaccessible; unverified,"Well location is remote and inaccessible, unverified",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 30
mojave_fieldcheck_r031,mojave2025_31,31,13,KEEP,04N20E12F001S,04N20E12F001S,False,34.4499,34.4499,False,-114.8334,-114.8334,False,0.0,not_found,not_found,False,Chemehuevi Valley,Chemehuevi Valley,False,Chemehuevi Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 31
mojave_fieldcheck_r032,mojave2025_32,32,16,KEEP,04N21E19X001S,04N21E19X001S,False,34.4192,34.4192,False,-114.8137,-114.8137,False,0.0,not_found,not_found,False,Chemehuevi Valley,Chemehuevi Valley,False,Chemehuevi Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 32
mojave_fieldcheck_r033,mojave2025_33,33,12,KEEP,04N22E15H001S,04N22E15H001S,False,34.4355,34.4355,False,-114.6498,-114.6498,False,0.0,not_found,not_found,False,Chemehuevi Valley,Chemehuevi Valley,False,Chemehuevi Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 33
mojave_fieldcheck_r034,mojave2025_34,34,7,UPDATE,West Well,West Well,False,34.44416,34.4441480004674,True,-114.478885,-114.478857000575,True,2.8935520827151877,present,spring_present,True,Chemehuevi Valley,Chemehuevi Valley,False,Chemehuevi Valley,spring box with batteries,spring box with batteries,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,one or more reconciled attributes differ from current BRIM,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 34
mojave_fieldcheck_r035,mojave2025_35,35,9,KEEP,04N24E17A001S,04N24E17A001S,False,34.4391,34.4391,False,-114.475,-114.475,False,0.0,not_found,not_found,False,Chemehuevi Valley,Chemehuevi Valley,False,Chemehuevi Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 35
mojave_fieldcheck_r037,mojave2025_37,37,"10, 11",KEEP,Whipple Well,Whipple Well,False,34.36307,34.36307,False,-114.451081,-114.451081,False,0.0,not_found,not_found,False,Chemehuevi Valley,Chemehuevi Valley,False,Chemehuevi Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 37
mojave_fieldcheck_r038,mojave2025_38,38,95,KEEP,02S17E30E001S,02S17E30E001S,False,33.9716,33.9716,False,-115.2448,-115.2448,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 38
mojave_fieldcheck_r039,mojave2025_39,39,115,KEEP,Packard Well,Packard Well,False,33.93447,33.93447,False,-115.078876,-115.078876,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 39
mojave_fieldcheck_r040,mojave2025_40,40,115,KEEP,03S18E03Q001S,03S18E03Q001S,False,33.9354,33.9354,False,-115.0779,-115.0779,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 40
mojave_fieldcheck_r041,mojave2025_41,41,102,KEEP,03S19E05N001S,03S19E05N001S,False,33.9354,33.9354,False,-115.0163,-115.0163,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 41
mojave_fieldcheck_r042,mojave2025_42,42,113,KEEP,03S18E11A001S,03S18E11A001S,False,33.9318,33.9318,False,-115.0561,-115.0561,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 42
mojave_fieldcheck_r043,mojave2025_43,43,99,KEEP,CA3301227_002_002,CA3301227_002_002,False,33.84538,33.84538,False,-115.382946,-115.382946,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 43
mojave_fieldcheck_r044,mojave2025_44,44,97,KEEP,04S15E02D001S,04S15E02D001S,False,33.8594,33.8594,False,-115.3854,-115.3854,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 44
mojave_fieldcheck_r045,mojave2025_45,45,98,KEEP,04S15E11C001S,04S15E11C001S,False,33.845,33.845,False,-115.3811,-115.3811,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 45
mojave_fieldcheck_r046,mojave2025_46,46,118,KEEP,L10009957466-EMW-03,L10009957466-EMW-03,False,33.77689,33.77689,False,-115.407189,-115.407189,False,0.0,present,present,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,locked. Data exists in lanfill reports,locked.  Data exists in lanfill reports,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 46
mojave_fieldcheck_r047,mojave2025_47,47,119,KEEP,L10009957466-EMW-01,L10009957466-EMW-01,False,33.7772,33.7772,False,-115.409649,-115.409649,False,0.0,present,present,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,locked. Data exists in lanfill reports,locked.  Data exists in lanfill reports,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 47
mojave_fieldcheck_r048,mojave2025_48,48,117,KEEP,L10009957466-EMW-02,L10009957466-EMW-02,False,33.77854,33.77854,False,-115.407075,-115.407075,False,0.0,present,present,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,locked. Data exists in lanfill reports,locked.  Data exists in lanfill reports,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 48
mojave_fieldcheck_r049,mojave2025_49,49,116,KEEP,04S16E29R001S,04S16E29R001S,False,33.7907,33.7907,False,-115.3197,-115.3197,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 49
mojave_fieldcheck_r050,mojave2025_50,50,96,KEEP,04S17E06C001S,04S17E06C001S,False,33.8592,33.8592,False,-115.2394,-115.2394,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 50
mojave_fieldcheck_r051,mojave2025_51,51,93,KEEP,Granite Well,Granite Well,False,33.68169,33.68169,False,-115.438051,-115.438051,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 51
mojave_fieldcheck_r052,mojave2025_52,52,94,KEEP,05S15E29K001S,05S15E29K001S,False,33.707,33.707,False,-115.4343,-115.4343,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 52
mojave_fieldcheck_r053,mojave2025_53,53,100,KEEP,05S15E12N001S,05S15E12N001S,False,33.7439,33.7439,False,-115.3789,-115.3789,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 53
mojave_fieldcheck_r054,mojave2025_54,54,123,KEEP,05S16E19N001S,05S16E19N001S,False,33.7177,33.7177,False,-115.3557,-115.3557,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 54
mojave_fieldcheck_r055,mojave2025_55,55,120,KEEP,05S16E18M001S,05S16E18M001S,False,33.7355,33.7355,False,-115.3557,-115.3557,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 55
mojave_fieldcheck_r056,mojave2025_56,56,121,KEEP,05S16E10N001S,05S16E10N001S,False,33.7461,33.7461,False,-115.3034,-115.3034,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 56
mojave_fieldcheck_r057,mojave2025_57,57,122,KEEP,05S16E22N001S,05S16E22N001S,False,33.7177,33.7177,False,-115.3034,-115.3034,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 57
mojave_fieldcheck_r058,mojave2025_58,58,125,KEEP,05S16E25F001S,05S16E25F001S,False,33.7106,33.7106,False,-115.2642,-115.2642,False,0.0,not_found,not_found,False,Chuckwalla Valley,Chuckwalla Valley,False,Chuckwalla Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 58
