rule_id,priority,match_regex,exclude_regex,project_family,project_name,project_division,project_unit,project_subunit,membership_role,assignment_confidence,evidence_url,notes
CVP_SAN_FELIPE_SANTA_CLARA,51,\bSanta Clara (Tunnel|Conduit)\b,,CVP,Central Valley Project,San Felipe Division,Santa Clara Conduit,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=392,
CVP_SAN_FELIPE_HOLLISTER,52,\bHollister Conduit\b,,CVP,Central Valley Project,San Felipe Division,Hollister Conduit,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=392,
CVP_SAN_LUIS_ONEILL,60,O[’'`]?Neill (Forebay )?(Inlet Channel|Intake Channel)|Oneill Forbay Inlet Channel,,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,O'Neill Pumping Plant and Intake Canal,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_SAN_LUIS_COALINGA,61,\bCoalinga Canal\b|Coalinga Canal Intake Channel,,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,Coalinga Canal,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_SAN_LUIS_PLEASANT,62,Pleasant Valley Pumping Plant Discharge Line,,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_SAN_LUIS_DRAIN,63,\bSan Luis Drain\b,,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Drain,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_SAN_LUIS_VOLTA,64,\bVolta.*Wasteway\b,,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_SAN_LUIS_CANAL,65,California Aqueduct[- –]San Luis|San Luis Canal \(California Aqueduct joint-use reach\)|San Luis Canal.*(US Bureau of Reclamation|California Aqueduct|CVP|SWP),,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Canal,joint_use,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
SWP_SAN_LUIS_CANAL,66,California Aqueduct[- –]San Luis|San Luis Canal \(California Aqueduct joint-use reach\)|San Luis Canal.*(US Bureau of Reclamation|California Aqueduct|CVP|SWP),,SWP,State Water Project,California Aqueduct,San Luis Field Division,San Luis Canal,joint_use,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_SAN_LUIS_GIANELLI,67,Gianelli.*(Intake Channel|Pumping|Powerplant),,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Joint-Use Complex,joint_use,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
SWP_SAN_LUIS_GIANELLI,68,Gianelli.*(Intake Channel|Pumping|Powerplant),,SWP,State Water Project,California Aqueduct,San Luis Field Division,San Luis Joint-Use Complex,joint_use,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=427,
CVP_TRINITY_CLEAR,70,\bClear Creek Tunnel\b|Judge Francis Carr.*Penstock|Clear Creek Power Conduit,,CVP,Central Valley Project,Trinity River Division,Clear Creek conveyance and power system,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=342,
CVP_TRINITY_SPRING,71,\bSpring Creek (Power Conduit|Penstocks|Powerplant Tailrace)|Spring Creek Power,,CVP,Central Valley Project,Trinity River Division,Spring Creek power conveyance system,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=342,
CVP_TRINITY_MULE,72,\bMule Town Conduit\b,,CVP,Central Valley Project,Trinity River Division,,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=342,
SWP_EAST_BRANCH,100,California Aqueduct.*East Branch|\bEast Branch Extension\b,,SWP,State Water Project,California Aqueduct,East Branch,,facility,authoritative_crosswalk,,
SWP_WEST_BRANCH,101,West Branch California Aqueduct|California Aqueduct.*West Branch,,SWP,State Water Project,California Aqueduct,West Branch,,facility,authoritative_crosswalk,,
SWP_COASTAL_BRANCH,102,Coastal Branch Aqueduct|California Aqueduct.*Coastal Branch,,SWP,State Water Project,California Aqueduct,Coastal Branch,,facility,authoritative_crosswalk,,
SWP_SOUTH_BAY,103,South Bay Aqueduct|Del Valle Branch,,SWP,State Water Project,South Bay Aqueduct,,,facility,authoritative_crosswalk,,
SWP_OROVILLE,104,Oroville|Thermalito,,SWP,State Water Project,Oroville Division,Oroville-Thermalito Complex,,facility,authoritative_crosswalk,,
SWP_CALIF_AQUEDUCT,109,\bCalifornia Aqueduct\b,San Luis Canal|East Branch|West Branch|Coastal Branch,SWP,State Water Project,California Aqueduct,,,facility,authoritative_crosswalk,,
BOR_ORLAND,200,\bOrland (North|South) Canal\b|East Park Feed(er)? Canal,,Other Reclamation,Orland Project,,Orland Project conveyance,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=373,
BOR_SOLANO,201,\bPutah South Canal\b|Putah South Pipeline|Green Valley Conduit|Rockville Siphon,,Other Reclamation,Solano Project,,Putah South Canal system,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=421,
BOR_CACHUMA,202,South Coast Conduit|Tecolote Tunnel|Sheffield Tunnel,,Other Reclamation,Cachuma Project,,South Coast conveyance system,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=336,
BOR_VENTURA,203,Robles[- ]Casitas Canal,,Other Reclamation,Ventura River Project,,Robles-Casitas conveyance,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=409,
BOR_KLAMATH,204,\bKlamath\b|Lost River Diversion Channel|KDD (North|West) Canal|Ady Canal,,Other Reclamation,Klamath Project,,,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=470,
BOR_BOULDER,205,All American Canal|Coachella Canal|Drop 2 Canal,,Other Reclamation,Boulder Canyon Project,,All-American Canal system,,facility,authoritative_crosswalk,https://www.usbr.gov/lc/region/programs/bcp.html,
BOR_ROGUE,206,Howard Prairie Delivery Canal|Green Springs Power Conduit|Dead Indian Collection Canal|Little Beaver Creek Feeder Canal|South Fork Collection Canal|Soda Creek Canal,,Other Reclamation,Rogue River Basin Project,,Talent Division,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=430,
LOCAL_HETCH_HETCHY,300,Bay Division|Hetch Hetchy|SFPUC,,Local/regional public,Hetch Hetchy Regional Water System,,Bay Division Pipelines,,facility,reviewed,,
LOCAL_MOKELUMNE,301,Lafayette|Mokelumne,,Local/regional public,Mokelumne Aqueduct system,,,,facility,reviewed,,
LOCAL_SAN_DIEGO,302,San Diego Aqueduct,,Local/regional public,San Diego County Water Authority aqueduct system,,,,facility,reviewed,,
LOCAL_KERN_WATER_BANK,303,Kern Water Bank,,Local/regional public,Kern Water Bank conveyance system,,,,facility,reviewed,,
