table_name,field_name,field_type,description
projects,project_name,text,Named project/system.
projects,project_unit,text,Optional unit/division/branch.
projects,parent_project_id,text,Optional hierarchy link.
source_crosswalk,source_id,text,Major or Delta source-row ID.
source_crosswalk,facility_id,text,Canonical facility link when used.
source_crosswalk,segment_id,text,Canonical segment link when used.
source_crosswalk,source_action,text,"used, duplicate_suppressed, unresolved_omitted, or provisional_included."
source_crosswalk,decision_id,text,Review/automatic decision responsible for the action.
source_crosswalk,qa_notes,text,Lineage and QA notes.
qa_unresolved,decision_id,text,Unresolved review or omitted local-network decision.
qa_unresolved,source_rows,text,Affected source rows.
qa_unresolved,issue,text,Reason it was omitted or needs manual surgery.
conveyance_segments,project_division,text,"Semicolon-separated project divisions, such as Friant Division or Delta Division."
conveyance_segments,project_subunit,text,"Semicolon-separated branches, systems, or named project components below project_unit."
facilities,project_division,text,Project division memberships aggregated from facility_projects.
facilities,project_subunit,text,Project subunit/component memberships aggregated from facility_projects.
facility_projects,project_division,text,Normalized project division.
facility_projects,project_unit,text,Normalized project unit.
facility_projects,project_subunit,text,"Normalized subunit, branch, or named system component."
facility_projects,evidence_rule_id,text,Project crosswalk or reviewed seed rule supporting the assignment.
facility_projects,evidence_url,text,Authoritative source URL supporting the assignment.
project_membership_crosswalk,rule_id,text,Stable project-classification rule identifier.
qa_expected_cvp_facilities,audit_status,text,"present_and_assigned, present_but_misassigned, or missing_geometry."
qa_reclamation_unassigned,facility_id,text,Reclamation-attributed facility still lacking a named project assignment.
supplemental_geometry_registry,status,text,"pending, ready, source_needed, or optional status for supplemental geometry."
conveyance_segments,display_rank_source,text,automatic or reviewed_override provenance for display hierarchy.
conveyance_segments,display_rank_reason,text,Reason the facility received its public line-width rank.
facilities,display_rank_source,text,Facility-level provenance for display hierarchy.
facilities,display_rank_reason,text,Facility-level reason for the public line-width rank.
