agency,program,theme,external_group,external_group_order,external_subgroup,external_subgroup_order,external_layer_id,display_name,primary_panel,service_type,service_url,supports_popups,default_clickable,default_opacity,notes,source_page,geographic_scope,pt2_usage_note,priority,default_load_mode,where_clause,large_layer_warning,min_zoom_live,min_zoom_current_view,legend_url,legend_note,popup_fields,popup_aliases,popup_link_template,popup_link_label,identify_url,hover_fields,hover_aliases,hover_bold_fields,hover_no_label_fields,hover_round_fields,hover_show_native_field_names,default_label_field,out_fields,best_use,useful_for_visualization,style_field_candidates,default_style_field,default_style_method,style_units,style_legend_title,style_direction,field_curation_notes,show_native_field_names,load_badge,load_badge_override,load_score,load_score_override,load_note,load_audit_basis,load_n_tests,load_success_rate,load_median_seconds,load_p90_seconds,load_max_seconds,load_feature_cap_rate
California DOC / CalGEM,WellSTAR notices / permits,Permitting,Energy / Minerals,50,Permitting,20,EXT121,CalGEM well stimulation permits,external,map,https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/3,True,True,0.72,Well stimulation permit layer from CalGEM WellSTAR Notices.,https://maps.conservation.ca.gov/doggr/,California,CalGEM WellSTAR notice/permit screening context. Use the official CalGEM map/application for record details and current regulatory status.,702,visual,,"Server-rendered CalGEM notice/permit layer. If blank, check the official CalGEM map or zoom to a known oil/gas/geothermal area.",,,https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/legend,Official CalGEM/ArcGIS service legend.,LeaseName;NoticeType;NoticeStatus;WellTypeLabel;OperatorName;FieldName;SubmittedDate;OBJECTID,LeaseName=Lease;NoticeType=Notice type;NoticeStatus=Notice status;WellTypeLabel=Well type;OperatorName=Operator;FieldName=Field;SubmittedDate=Submitted;OBJECTID=Object ID,,,,NoticeType;NoticeStatus;OperatorName;FieldName,NoticeType=Notice;NoticeStatus=Status;OperatorName=Operator;FieldName=Field,NoticeType,,,,,*,,,,,official_mapserver_renderer,,,,,False,green,,1.0,,Audited load: fast (10/10 tests loaded; median 0.08 sec; p90 0.1 sec; max features n/a).,BRIM load audit 2026-07,10.0,1.0,0.0847309827804565,0.102087783813477,0.120689868927002,0.0
BLM California,Renewable energy ROW,Rnwble ROW,Energy / Minerals,50,Rnwble ROW,30,EXT138,BLM renewable energy ROW | preliminary,external,feature,https://gis.blm.gov/caarcgis/rest/services/RenewableEnergy/BLM_CA_Renewable_Energy_Projects/FeatureServer/1,True,True,0.5,"Preliminary renewable-energy ROW/project polygons from BLM California. BLM notes that these data are dynamic and may contain errors or omissions; use for screening, not legal determination.",https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-ca-renewable-energy-projects/about?layer=0,California,"Screen renewable-energy context near BLM lands, DRECP areas, and infrastructure.",B,current_view,,Renewable-energy polygon layer; load at project/local scale for best performance.,,6.0,,,ProjectName;SerialNumber;Disposition;CaseType;Commodity;ProjectType;ApplicationDate;EffectiveDate;ExpirationDate;ProjectAcres;BLMAcres;DataSource,Project;Serial number;Disposition;Case type;Commodity;Project type;Application date;Effective date;Expiration date;Project acres;BLM acres;Data source,,,,ProjectName;Disposition;Commodity;ProjectAcres;BLMAcres,Project;Disposition;Commodity;Project acres;BLM acres,ProjectName,,,,,*,BLM renewable-energy ROW/project screening context.,yes,,Commodity,category,,Renewable energy commodity,,Provider renderer uses Commodity; future BRIM style could separate solar/wind.,,green,,1.0,,Audited load: fast (10/10 tests loaded; median 0.14 sec; p90 0.22 sec; max features 11).,BRIM load audit 2026-07,10.0,1.0,0.144423007965088,0.215956711769104,0.387862920761108,0.0
BLM California,Renewable energy ROW,Rnwble ROW,Energy / Minerals,50,Rnwble ROW,30,EXT137,BLM renewable energy ROW | verified,external,feature,https://gis.blm.gov/caarcgis/rest/services/RenewableEnergy/BLM_CA_Renewable_Energy_Projects/FeatureServer/0,True,True,0.5,"Verified renewable-energy ROW/project polygons from BLM California. BLM notes that these data are dynamic and may contain errors or omissions; use for screening, not legal determination.",https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-ca-renewable-energy-projects/about?layer=0,California,"Screen renewable-energy context near BLM lands, DRECP areas, and infrastructure.",B,current_view,,Renewable-energy polygon layer; load at project/local scale for best performance.,,6.0,,,ProjectName;SerialNumber;Disposition;CaseType;Commodity;ProjectType;ApplicationDate;EffectiveDate;ExpirationDate;ProjectAcres;BLMAcres;DataSource,Project;Serial number;Disposition;Case type;Commodity;Project type;Application date;Effective date;Expiration date;Project acres;BLM acres;Data source,,,,ProjectName;Disposition;Commodity;ProjectAcres;BLMAcres,Project;Disposition;Commodity;Project acres;BLM acres,ProjectName,,,,,*,BLM renewable-energy ROW/project screening context.,yes,,Commodity,category,,Renewable energy commodity,,Provider renderer uses Commodity; future BRIM style could separate solar/wind.,,green,,1.0,,Audited load: fast (10/10 tests loaded; median 0.18 sec; p90 0.23 sec; max features 46).,BRIM load audit 2026-07,10.0,1.0,0.177636027336121,0.231608152389526,0.237890958786011,0.0
BLM,MLRS,Energy / Minerals,Energy / Minerals,50,BLM MLRS / mineral cases,40,EXT145,Mining claims | BLM MLRS | active,external,map,https://gis.blm.gov/nlsdb/rest/services/Mining_Claims/MiningClaims/MapServer/1,True,True,0.26,"MLRS is BLM's current Mineral & Land Records System; LR2000 is the older legacy system often referenced in older docs/metadata. This layer shows BLM mineral case/claim/lease geometry only; it is not mineral estate ownership or split-estate mapping. Many geometries are derived from legal land descriptions / PLSS and are screening-level, not survey-grade boundaries. BRIM symbology: fill color shows case disposition/status (for example filed/authorized, pending/interim, closed); outline color distinguishes mineral program / record type. Long data-quality strings are available in returned attributes rather than hover cards.",https://gis.blm.gov/nlsdb/rest/services/Mining_Claims/MiningClaims/MapServer,National; use at local/project scale,"Active mining-claim case geometry for screening. Not mineral estate ownership, split-estate mapping, or survey-grade claim boundaries.",710,current_view,,Dense national MLRS layer. Zoom to a project/local area before loading current map view.,,8.0,https://gis.blm.gov/nlsdb/rest/services/Mining_Claims/MiningClaims/MapServer/legend,BLM service-rendered legend available. BRIM current-view query uses BRIM feature styling for interactive hover/popup.,CSE_NAME;CSE_NR;LEG_CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS;SRC,Case name;Case serial;Legacy serial;Case status;Commodity;Case acres;Source,https://reports.blm.gov/reports/mlrs||https://www.blm.gov/services/land-records/mlrs,MLRS reports||About MLRS,,CSE_NAME;CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS,Case name;Case serial;Status;Commodity;Acres,CSE_NAME,,RCRD_ACRS,,,*,Screen active mining-claim case geometry near an area of interest.,yes,CSE_DISP;CMMDTY;QLTY,CSE_DISP,mlrs_case_status,case disposition,MLRS case disposition / status,fill = disposition; outline = mineral program / record type,First-cut MLRS field curation. Verify exact field availability from service responses during QA.,,red,,4.0,,Audited load: heavy (4/10 tests loaded; median 4.08 sec; p90 6.32 sec; max features 2000; cap rate 75%).,BRIM load audit 2026-07,10.0,0.4,4.08263099193573,6.31842479705811,6.9945240020752,0.75
BLM,MLRS,Energy / Minerals,Energy / Minerals,50,BLM MLRS / mineral cases,40,EXT146,Mining claims | BLM MLRS | closed / inactive,external,map,https://gis.blm.gov/nlsdb/rest/services/Mining_Claims/MiningClaims/MapServer/2,True,True,0.18,"MLRS is BLM's current Mineral & Land Records System; LR2000 is the older legacy system often referenced in older docs/metadata. This layer shows BLM mineral case/claim/lease geometry only; it is not mineral estate ownership or split-estate mapping. Many geometries are derived from legal land descriptions / PLSS and are screening-level, not survey-grade boundaries. Closed/inactive claims can be very dense; use only when needed. BRIM symbology: fill color shows case disposition/status (for example filed/authorized, pending/interim, closed); outline color distinguishes mineral program / record type. Long data-quality strings are available in returned attributes rather than hover cards.",https://gis.blm.gov/nlsdb/rest/services/Mining_Claims/MiningClaims/MapServer,National; use at local/project scale,Closed/inactive mining-claim case geometry for historical/screening context. This layer can be dense and should usually stay off unless needed.,711,current_view,,Very dense national MLRS layer. Zoom to a small project/local area before loading current map view.,,9.0,https://gis.blm.gov/nlsdb/rest/services/Mining_Claims/MiningClaims/MapServer/legend,BLM service-rendered legend available. BRIM current-view query uses BRIM feature styling for interactive hover/popup.,CSE_NAME;CSE_NR;LEG_CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS;SRC,Case name;Case serial;Legacy serial;Case status;Commodity;Case acres;Source,https://reports.blm.gov/reports/mlrs||https://www.blm.gov/services/land-records/mlrs,MLRS reports||About MLRS,,CSE_NAME;CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS,Case name;Case serial;Status;Commodity;Acres,CSE_NAME,,RCRD_ACRS,,,*,Screen closed/inactive mining-claim case geometry only where needed.,yes,CSE_DISP;CMMDTY;QLTY,CSE_DISP,mlrs_case_status,case disposition,MLRS case disposition / status,fill = disposition; outline = mineral program / record type,First-cut MLRS field curation. Verify exact field availability from service responses during QA.,,red,,4.0,,Audited load: heavy (7/10 tests loaded; median 5.84 sec; p90 10.57 sec; max features 2000; cap rate 71%).,BRIM load audit 2026-07,10.0,0.7,5.84447288513184,10.5698461055756,11.6661810874939,0.714285714285714
BLM,MLRS,Energy / Minerals,Energy / Minerals,50,BLM MLRS / mineral cases,40,EXT147,Oil & gas leases | BLM MLRS,external,feature,https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Oil_and_Gas_Leases/FeatureServer/0,True,True,0.24,"MLRS is BLM's current Mineral & Land Records System; LR2000 is the older legacy system often referenced in older docs/metadata. This layer shows BLM mineral case/claim/lease geometry only; it is not mineral estate ownership or split-estate mapping. Many geometries are derived from legal land descriptions / PLSS and are screening-level, not survey-grade boundaries. BRIM symbology: fill color shows case disposition/status (for example filed/authorized, pending/interim, closed); outline color distinguishes mineral program / record type. Long data-quality strings are available in returned attributes rather than hover cards.",https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Oil_and_Gas_Leases/FeatureServer/0,National; use at local/project scale,BLM oil and gas lease case geometry for screening. Not mineral estate ownership or split-estate mapping.,712,current_view,,National MLRS lease layer. Zoom to a project/local area before loading current map view.,,6.0,,BRIM applies categorical colors by case disposition for readability; colors are not official BLM symbology.,CSE_NAME;CSE_NR;LEG_CSE_NR;CSE_DISP;BLM_PROD;CMMDTY;PRDCNG;EFF_DT;EXP_DT;RCRD_ACRS;SRC,Case name;Case serial;Legacy serial;Case status;BLM product;Commodity;Production status;Effective date;Expiration date;Case acres;Source,https://reports.blm.gov/reports/mlrs||https://www.blm.gov/services/land-records/mlrs,MLRS reports||About MLRS,,CSE_NAME;CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS;EFF_DT,Case name;Case serial;Status;Commodity;Acres;Effective,CSE_NAME,,RCRD_ACRS,,,*,Screen BLM oil and gas lease cases near an area of interest.,yes,CSE_DISP;BLM_PROD;CMMDTY;PRDCNG,CSE_DISP,mlrs_case_status,case disposition,MLRS case disposition / status,fill = disposition; outline = mineral program / record type,First-cut MLRS field curation. Verify exact field availability from service responses during QA.,,red,,4.0,,Audited load: heavy (10/10 tests loaded; median 0.58 sec; p90 1.45 sec; max features 2000; cap rate 40%).,BRIM load audit 2026-07,10.0,1.0,0.583677530288696,1.44599900245666,1.98867297172546,0.4
BLM,MLRS,Energy / Minerals,Energy / Minerals,50,BLM MLRS / mineral cases,40,EXT148,Geothermal leases | BLM MLRS,external,feature,https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Geothermal_Leases/FeatureServer/0,True,True,0.24,"MLRS is BLM's current Mineral & Land Records System; LR2000 is the older legacy system often referenced in older docs/metadata. This layer shows BLM mineral case/claim/lease geometry only; it is not mineral estate ownership or split-estate mapping. Many geometries are derived from legal land descriptions / PLSS and are screening-level, not survey-grade boundaries. BRIM symbology: fill color shows case disposition/status (for example filed/authorized, pending/interim, closed); outline color distinguishes mineral program / record type. Long data-quality strings are available in returned attributes rather than hover cards.",https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Geothermal_Leases/FeatureServer/0,National; use at local/project scale,BLM geothermal lease case geometry for screening. Not mineral estate ownership or split-estate mapping.,713,current_view,,National MLRS geothermal lease layer. Zoom to a project/local area before loading current map view.,,6.0,,BRIM applies categorical colors by case disposition for readability; colors are not official BLM symbology.,CSE_NAME;CSE_NR;LEG_CSE_NR;CSE_DISP;BLM_PROD;CMMDTY;PRDCNG;EFF_DT;EXP_DT;RCRD_ACRS;SRC,Case name;Case serial;Legacy serial;Case status;BLM product;Commodity;Production status;Effective date;Expiration date;Case acres;Source,https://reports.blm.gov/reports/mlrs||https://www.blm.gov/services/land-records/mlrs,MLRS reports||About MLRS,,CSE_NAME;CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS;EFF_DT,Case name;Case serial;Status;Commodity;Acres;Effective,CSE_NAME,,RCRD_ACRS,,,*,Screen BLM geothermal lease cases near an area of interest.,yes,CSE_DISP;BLM_PROD;CMMDTY;PRDCNG,CSE_DISP,mlrs_case_status,case disposition,MLRS case disposition / status,fill = disposition; outline = mineral program / record type,First-cut MLRS field curation. Verify exact field availability from service responses during QA.,,red,,4.0,,Audited load: heavy (10/10 tests loaded; median 0.69 sec; p90 0.89 sec; max features 2000; cap rate 20%).,BRIM load audit 2026-07,10.0,1.0,0.692390441894531,0.891511845588684,1.31712198257446,0.2
BLM,MLRS,Energy / Minerals,Energy / Minerals,50,BLM MLRS / mineral cases,40,EXT149,Locatable notices / plans | BLM MLRS,external,feature,https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Locatable_Notices/FeatureServer/0,True,True,0.3,"MLRS is BLM's current Mineral & Land Records System; LR2000 is the older legacy system often referenced in older docs/metadata. This layer shows BLM mineral case/claim/lease geometry only; it is not mineral estate ownership or split-estate mapping. Many geometries are derived from legal land descriptions / PLSS and are screening-level, not survey-grade boundaries. BRIM symbology: fill color shows case disposition/status (for example filed/authorized, pending/interim, closed); outline color distinguishes mineral program / record type. Long data-quality strings are available in returned attributes rather than hover cards.",https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Locatable_Notices/FeatureServer/0,National; use at local/project scale,BLM locatable-minerals notice/plan case geometry for screening. Not mineral estate ownership or split-estate mapping.,714,current_view,,National MLRS locatable notice/plan layer. Zoom to a project/local area before loading current map view.,,7.0,,BRIM applies categorical colors by case disposition for readability; colors are not official BLM symbology.,CSE_NAME;CSE_NR;LEG_CSE_NR;CSE_DISP;BLM_PROD;CMMDTY;PRDCNG;EFF_DT;EXP_DT;RCRD_ACRS;SRC,Case name;Case serial;Legacy serial;Case status;BLM product;Commodity;Production status;Effective date;Expiration date;Case acres;Source,https://reports.blm.gov/reports/mlrs||https://www.blm.gov/services/land-records/mlrs,MLRS reports||About MLRS,,CSE_NAME;CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS;EFF_DT,Case name;Case serial;Status;Commodity;Acres;Effective,CSE_NAME,,RCRD_ACRS,,,*,Screen BLM locatable mineral notices/plans near an area of interest.,yes,CSE_DISP;BLM_PROD;CMMDTY,CSE_DISP,mlrs_case_status,case disposition,MLRS case disposition / status,fill = disposition; outline = mineral program / record type,First-cut MLRS field curation. Verify exact field availability from service responses during QA.,,yellow,,2.0,,Audited load: moderate (10/10 tests loaded; median 0.61 sec; p90 0.72 sec; max features 623).,BRIM load audit 2026-07,10.0,1.0,0.609992623329163,0.721634912490845,0.936463117599487,0.0
BLM,MLRS,Energy / Minerals,Energy / Minerals,50,BLM MLRS / mineral cases,40,EXT150,Saleable materials | BLM MLRS,external,feature,https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Mineral_Materials/FeatureServer/0,True,True,0.24,"MLRS is BLM's current Mineral & Land Records System; LR2000 is the older legacy system often referenced in older docs/metadata. This layer shows BLM mineral case/claim/lease geometry only; it is not mineral estate ownership or split-estate mapping. Many geometries are derived from legal land descriptions / PLSS and are screening-level, not survey-grade boundaries. BRIM symbology: fill color shows case disposition/status (for example filed/authorized, pending/interim, closed); outline color distinguishes mineral program / record type. Long data-quality strings are available in returned attributes rather than hover cards.",https://gis.blm.gov/nlsdb/rest/services/HUB/BLM_Natl_MLRS_Mineral_Materials/FeatureServer/0,National; use at local/project scale,BLM saleable materials case geometry for screening. Not mineral estate ownership or split-estate mapping.,715,current_view,,National MLRS mineral materials layer. Zoom to a project/local area before loading current map view.,,7.0,,BRIM applies categorical colors by case disposition for readability; colors are not official BLM symbology.,CSE_NAME;CSE_NR;LEG_CSE_NR;CSE_DISP;BLM_PROD;CMMDTY;PRDCNG;EFF_DT;EXP_DT;RCRD_ACRS;SRC,Case name;Case serial;Legacy serial;Case status;BLM product;Commodity;Production status;Effective date;Expiration date;Case acres;Source,https://reports.blm.gov/reports/mlrs||https://www.blm.gov/services/land-records/mlrs,MLRS reports||About MLRS,,CSE_NAME;CSE_NR;CSE_DISP;CMMDTY;RCRD_ACRS;EFF_DT,Case name;Case serial;Status;Commodity;Acres;Effective,CSE_NAME,,RCRD_ACRS,,,*,Screen BLM saleable materials case geometry near an area of interest.,yes,CSE_DISP;BLM_PROD;CMMDTY,CSE_DISP,mlrs_case_status,case disposition,MLRS case disposition / status,fill = disposition; outline = mineral program / record type,First-cut MLRS field curation. Verify exact field availability from service responses during QA.,,red,,4.0,,Audited load: heavy (10/10 tests loaded; median 0.61 sec; p90 0.92 sec; max features 2000; cap rate 40%).,BRIM load audit 2026-07,10.0,1.0,0.6102294921875,0.916995978355408,1.00249600410461,0.4
ALERTCalifornia / UC San Diego,ALERTCalifornia,Cameras,Fire / cameras,50,Cameras,20,EXT010,ALERTCalifornia Cameras,ops_live,feature,https://services8.arcgis.com/X84q166Srnyl4JMV/ArcGIS/rest/services/ALERTCalifornia_Camera_Feed/FeatureServer/0,True,True,0.85,Live ALERTCalifornia camera locations. Direction arrows use the source pan/heading field when available; online/offline status comes from the source service.,https://alertcalifornia.org/,California and nearby ALERTCalifornia network coverage,"Live-observation context for wildfire, smoke, weather, and field situational awareness. Camera direction, online status, and images may change frequently; open the ALERTCalifornia viewer for live imagery and terms of use.",118,current_view,,"Camera points are a live observation layer. For statewide use, loading is usually manageable; for field use, zoom to your area of interest and use Refresh current view.",,5.0,,,cameraName;isOnline;county;organization;positionPan;positionTilt;viewTime,cameraName=Camera;isOnline=Status;county=County;organization=Organization;positionPan=Direction;positionTilt=Tilt;viewTime=Source view time,{cameraURL_raw}||https://cameras.alertcalifornia.org/?id={cameraName},Open ALERTCalifornia camera viewer||Open ALERTCalifornia camera viewer,,cameraName;isOnline;positionPan;viewTime,cameraName=Camera;isOnline=Status;positionPan=Direction;viewTime=View time,cameraName,cameraName,,,cameraName,,Wildfire/smoke/weather situational awareness; quick access to live camera imagery and camera orientation.,Directional online/offline camera points with popup links and image thumbnails when the service provides imageURL.,isOnline;positionPan;cameraName,isOnline,alert_camera_direction_online_status,online/offline plus direction degrees,ALERTCalifornia camera direction and online status,direction_arrow,"Uses cameraName, isOnline, positionPan, viewTime, cameraURL, and imageURL from the ALERTCalifornia Camera Feed FeatureServer. BRIM groups co-located camera views into one clickable map site and links thumbnails to the source camera viewer.",False,,,,,,,,,,,,
ALERTCalifornia / UC San Diego,ALERTCalifornia,Cameras,Fire / cameras,50,Cameras,20,EXT012,ALERTCalifornia Camera Viewsheds,ops_live,feature,https://services8.arcgis.com/X84q166Srnyl4JMV/ArcGIS/rest/services/ALERTCalifornia_Camera_Feed/FeatureServer/1,True,True,0.35,Source-provided camera viewshed polygons. Use with ALERTCalifornia Cameras to interpret what each camera may see.,https://alertcalifornia.org/,California and nearby ALERTCalifornia network coverage,Viewsheds are useful context for camera coverage and line-of-sight screening. They are source-provided operational polygons and should not be treated as exact field visibility limits.,119,current_view,,Viewshed polygons can be heavier than camera points. Zoom to an area of interest before loading or refreshing.,,6.0,,,cameraName;isOnline;organization;positionPan;positionTilt;viewTime;elevation_m;aboveGroundLevel_m,cameraName=Camera;isOnline=Status;organization=Organization;positionPan=Direction;positionTilt=Tilt;viewTime=Source view time;elevation_m=Elevation;aboveGroundLevel_m=Camera height AGL,{cameraURL_raw}||https://cameras.alertcalifornia.org/?id={cameraName},Open ALERTCalifornia camera viewer||Open ALERTCalifornia camera viewer,,cameraName;isOnline;positionPan,cameraName=Camera;isOnline=Status;positionPan=Direction,cameraName,cameraName,,,cameraName,,"Camera coverage/line-of-sight context for wildfire, smoke, and field situational awareness.",Translucent camera viewshed polygons paired with directional camera points.,isOnline;positionPan;cameraName,isOnline,alert_camera_viewshed,viewshed polygon,ALERTCalifornia camera viewsheds,viewshed,Uses ALERTCalifornia Camera Feed viewshed FeatureServer layer 1. Pair with camera point layer 0 for direction and popup thumbnails.,False,,,,,,,,,,,,
CAL FIRE / FRAP,Fire and Resource Assessment Program,Burn Areas,Fire / Burn Areas,60,Fire perimeters,10,EXT070,CAL FIRE Recent Large Fire Perimeters,external,feature,https://services1.arcgis.com/jUJYIo9tSA7EHvfZ/arcgis/rest/services/California_Historic_Fire_Perimeters/FeatureServer/1,True,True,0.5,Recent large California fire-perimeter/burn-scar context from CAL FIRE FRAP. Current-view snapshot; zoom in first. Public service can take 30+ seconds or return blank at broad extents. Use source dates and CAL FIRE cautions before statistics/reporting.,https://www.fire.ca.gov/what-we-do/fire-resource-assessment-program/fire-perimeters,California,Recent large California fire-perimeter/burn-scar context from CAL FIRE FRAP. Use Refresh current view after panning/zooming and verify source dates before reporting.,230,current_view,,Current-view recent large-fire perimeter snapshot. Zoom in first; public service can take 30+ seconds or return blank at broad extents. Refresh current view after panning/zooming.,,6,,Generic PT2 external-layer styling is used for now. Future attribute styling should color by YEAR_.,FIRE_NAME;YEAR_;GIS_ACRES;AGENCY;UNIT_ID;ALARM_DATE;CONT_DATE;CAUSE;IRWINID;COMPLEX_NAME,FIRE_NAME=Fire name;YEAR_=Year;GIS_ACRES=GIS acres;AGENCY=Agency;UNIT_ID=Unit;ALARM_DATE=Alarm date;CONT_DATE=Containment date;CAUSE=Cause;IRWINID=IRWIN ID;COMPLEX_NAME=Complex,https://www.fire.ca.gov/what-we-do/fire-resource-assessment-program/fire-perimeters,Open CAL FIRE FRAP fire perimeters,,FIRE_NAME;YEAR_;GIS_ACRES,FIRE_NAME=Fire;YEAR_=Year;GIS_ACRES=Acres,FIRE_NAME,,GIS_ACRES,,FIRE_NAME,,"Recent large burn-scar/perimeter screening near project areas, watersheds, gages, infrastructure, and post-fire hydrologic-risk context.","Recent burn scars, post-fire runoff/debris-flow context, burned watershed screening.",YEAR_;GIS_ACRES;AGENCY,YEAR_,categorical,year,Fire year,categorical,YEAR_ and GIS_ACRES are the likely first styling fields once external attribute styling is implemented.,,red,red,4.0,4,Audited load: heavy (10/10 tests loaded; median 1.68 sec; p90 7.32 sec; max features 83).,BRIM load audit 2026-07,10.0,1.0,1.68170964717865,7.3169508934021,13.2559869289398,0.0
CAL FIRE / FRAP,Fire and Resource Assessment Program,Burn Areas,Fire / Burn Areas,60,Fire perimeters,10,EXT072,CAL FIRE Fire Perimeters — All,external,feature,https://services1.arcgis.com/jUJYIo9tSA7EHvfZ/arcgis/rest/services/California_Historic_Fire_Perimeters/FeatureServer/0,True,True,0.42,"Full California historical fire perimeter layer from CAL FIRE FRAP, covering fires back to 1878 where mapped/available.",https://www.fire.ca.gov/what-we-do/fire-resource-assessment-program/fire-perimeters,California,Large historical layer. Use after zooming to a project area or basin; statewide current-view queries may hit service limits. CAL FIRE cautions that the database is incomplete and should be used carefully for statistical conclusions.,231,current_view,,Full historical fire perimeters can be heavy. Zoom in before adding or refreshing; use the Recent Large Fire Perimeters layer for faster statewide screening.,,8.0,,"Generic PT2 external-layer styling is used for now. Future attribute styling should color by YEAR_, DECADES, or GIS_ACRES.",FIRE_NAME;YEAR_;GIS_ACRES;AGENCY;UNIT_ID;ALARM_DATE;CONT_DATE;CAUSE;IRWINID;COMPLEX_NAME;DECADES,FIRE_NAME=Fire name;YEAR_=Year;GIS_ACRES=GIS acres;AGENCY=Agency;UNIT_ID=Unit;ALARM_DATE=Alarm date;CONT_DATE=Containment date;CAUSE=Cause;IRWINID=IRWIN ID;COMPLEX_NAME=Complex;DECADES=Decade,,,,FIRE_NAME;YEAR_;GIS_ACRES,FIRE_NAME=Fire;YEAR_=Year;GIS_ACRES=Acres,FIRE_NAME,,GIS_ACRES,,FIRE_NAME,,Detailed historical fire-perimeter context after zooming to a local area.,"Historical burn scars, repeated-fire context, watershed fire history.",YEAR_;DECADES;GIS_ACRES;AGENCY,YEAR_,categorical,year,Fire year,categorical,Large layer; current-view loading is intentionally used. YEAR_ and DECADES are likely styling fields once external attribute styling is implemented.,,red,,4.0,,Audited load: heavy (8/10 tests loaded; median 7 sec; p90 12.27 sec; max features 2000; cap rate 75%).,BRIM load audit 2026-07,10.0,0.8,6.99526596069336,12.2709644317627,14.2303841114044,0.75
NIFC / WFIGS,Wildland Fire Interagency Geospatial Services,Fire / active incidents,Fire / Burn Areas,60,Fire perimeters,10,EXT074,NIFC Current Wildfire Perimeters,external,feature,https://services3.arcgis.com/T4QMspbfLg3qTGWY/arcgis/rest/services/WFIGS_Interagency_Perimeters_Current/FeatureServer/0,True,True,0.58,Current-view interagency wildfire/complex perimeter snapshot. Perimeters are operational and incomplete; refresh after panning/zooming and check source dates. BRIM filters to wildfire/complex records where the service supports SQL.,https://data-nifc.opendata.arcgis.com/datasets/nifc::wfigs-current-interagency-fire-perimeters/about,United States,Operational current wildfire/complex perimeter context. Not every active fire has a perimeter; use source date fields and Refresh current view after panning/zooming.,232,current_view,"attr_IncidentTypeCategory IN ('WF','CX')",Current-view interagency wildfire/complex perimeter snapshot. Zoom to the region of interest first; perimeters are operational and incomplete. Refresh current view after panning/zooming and check source dates.,,5,,BRIM styles WFIGS current wildfire/complex perimeters as bright red. Prescribed-fire perimeters are filtered out of this Ops row.,poly_IncidentName;attr_IncidentName;attr_IncidentTypeCategory;poly_GISAcres;poly_Acres_AutoCalc;attr_IncidentSize;attr_PercentContained;poly_PolygonDateTime;poly_DateCurrent;attr_FireDiscoveryDateTime;attr_POOState;attr_POOCounty;attr_FireCauseGeneral;poly_IRWINID;attr_IrwinID,poly_IncidentName=Perimeter incident;attr_IncidentName=Incident name;attr_IncidentTypeCategory=Type;poly_GISAcres=GIS acres;poly_Acres_AutoCalc=Auto acres;attr_IncidentSize=Reported size;attr_PercentContained=Percent contained;poly_PolygonDateTime=Perimeter capture time;poly_DateCurrent=Perimeter current date;attr_FireDiscoveryDateTime=Discovery time;attr_POOState=State;attr_POOCounty=County;attr_FireCauseGeneral=Cause;poly_IRWINID=Perimeter IRWIN ID;attr_IrwinID=IRWIN ID,https://data-nifc.opendata.arcgis.com/datasets/nifc::wfigs-current-interagency-fire-perimeters/about,Open NIFC WFIGS source,,poly_IncidentName;attr_IncidentTypeCategory;poly_GISAcres;attr_PercentContained,poly_IncidentName=Incident;attr_IncidentTypeCategory=Type;poly_GISAcres=GIS acres;attr_PercentContained=Contained,poly_IncidentName,,poly_GISAcres;attr_IncidentSize;attr_PercentContained,,poly_IncidentName,,"Current wildfire perimeter context near watersheds, infrastructure, project areas, and operational weather/hydrology layers.","Active/current burn perimeter context, incident proximity, post-fire runoff/debris-flow awareness.",attr_IncidentTypeCategory;poly_GISAcres;attr_PercentContained,attr_IncidentTypeCategory,nifc_current_fire,incident type,NIFC current fire perimeter,BRIM-derived wildfire/complex perimeter style; not official source renderer.,"Curated current WFIGS wildfire/complex perimeter row. Popups favor incident name, type, acres, containment, source dates, and IDs. WHERE filter excludes prescribed-fire RX records to keep this Ops row wildfire-focused.",,,red,,4,,,,,,,,
