document_id,document_type,document_title,nepa_number,document_date,document_status,source_agency,document_url,url_status,relevant_pages,local_snapshot_status,file_size,sha256,retrieval_date,associated_acec_count,notes
doc-993d4a471520,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by Plan 53",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-a222bf74d66d,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by Plan 75",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-83a2883a5d5e,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by amendment #2 (1984) and amendment #3 (1989/1990)",,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-f2176bc9b0d9,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by amendment #8",,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-94eef1653a48,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended, DRECP amendment",DOI-BLM-CA-D010-1980-0001-RMP-EIS,1980-12-12,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/66949/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,15,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-bd9093afd839,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended, later amended by DRECP",,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-f275ec80b214,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended, later amended by DRECP",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-be0327dd568d,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amendment, DRECP amendment",DOI-BLM-CA-D010-1980-0001-RMP-EIS,1980-12-12,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/66949/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-8e22af9a9f0c,resource_management_plan_or_amendment_record_of_decision,"CDCA as amended, DRECP amendment",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-339b1369ef02,resource_management_plan_or_amendment_record_of_decision,"CDCA, as amended, DRECP amendment",DOI-BLM-CA-D010-1980-0001-RMP-EIS,1980-12-12,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/66949/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-cc529d6f2431,resource_management_plan_or_amendment_record_of_decision,"CDCA, as amended, ISDRA",,1980-12-12,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-0e63e0930c11,resource_management_plan_or_amendment_record_of_decision,Clear Creek Management Area RMP,DOI-BLM-CA-C090-2012-0013-EIS,2014-02-04,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/68803/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-5a0f56bb2426,resource_management_plan_or_amendment_record_of_decision,Eagle Lake,DOI-BLM-CA-N050-2008-0002-RMP-EIS,2008-04-17,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/69341/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,7,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-844b8544259d,resource_management_plan_or_amendment_record_of_decision,Eastern San Diego County MFP,,2008-10-01,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,2,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-3bfcc66be6b0,resource_management_plan_or_amendment_record_of_decision,Hollister,DOI-BLM-CA-C090-2006-0021-EIS,2007-09-07,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/68795/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,3,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-6994fd272860,resource_management_plan_or_amendment_record_of_decision,King Range NCA,DOI-BLM-CA-N030-2005-0001-RMP-EIS,2005-05-11,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/Project-Home/?id=924ca39a-a7f2-f011-8407-001dd803d067,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,2,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-930a7cb4ff0a,resource_management_plan_or_amendment_record_of_decision,Northwest California Integrated Plan,DOI-BLM-CA-N060-2021-0012-RMP-EIS,2024-11-06,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/northwest-california-integrated-rmp,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,25,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-d38aebf70b2e,resource_management_plan_or_amendment_record_of_decision,Sierra,DOI-BLM-CA-C080-2007-0001-RMP-EIS,2008-02-01,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/72554/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,13,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-3d53c357b064,resource_management_plan_or_amendment_record_of_decision,South Coast,,1994-05-26,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,7,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-f01e6bb58377,resource_management_plan_or_amendment_record_of_decision,Surprise,DOI-BLM-CA-N020-2008-0002-RMP-EIS,2008-04-17,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/eplanning-ui/project/65663/510,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,3,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-8bc39ada015a,resource_management_plan_or_amendment_record_of_decision,Ukiah,DOI-BLM-CA-C050-2006-0001-RMP-EIS,2006-09-25,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,9,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
