external_display_num,display_badge,external_layer_id,current_group_order,current_group,current_theme,current_panel_subgroup_reference,display_name,new_group,new_theme,agency,program,service_type,default_load_mode,min_zoom_current_view,min_zoom_live,large_layer_warning,proposed_group_order,proposed_group,proposed_theme_order,proposed_theme,action_keep_move_delete,paper_notes
17,#17,EXT019,10,Water / groundwater / water quality,Groundwater basins,Groundwater basins,DWR Bulletin 118 Groundwater Basins,Hydrologic Basins/Admin Bndries,Surface water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
18,#18,EXT122,10,Water / groundwater / water quality,Groundwater / GDE,GDE / groundwater-dependent ecosystems,DWR NCCAG vegetation | potential GDE,Ecology / Habitat / Species,Landcover classification,DWR / CNRA,NCCAG / SGMA,feature,current_view,7,,Statewide polygon layer; load at project/local scale for best performance.,,,,,,
19,#19,EXT123,10,Water / groundwater / water quality,Groundwater / GDE,GDE / groundwater-dependent ecosystems,DWR NCCAG wetlands | potential GDE,Ecology / Habitat / Species,Landcover classification,DWR / CNRA,NCCAG / SGMA,feature,current_view,7,,Statewide polygon layer; load at project/local scale for best performance.,,,,,,
20,#20,EXT028,10,Water / groundwater / water quality,Groundwater monitoring,Groundwater monitoring,DWR Groundwater Stations — Enterprise Water Management,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
21,#21,EXT049,10,Water / groundwater / water quality,Groundwater monitoring,Groundwater monitoring,DWR Groundwater Stations — inspectable features,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,feature,current_view,8,9,Potentially large statewide FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
22,#22,EXT124,10,Water / groundwater / water quality,Soil moisture / modeled wetness,Soil moisture / modeled wetness,NWM near-surface soil moisture saturation,Hydrologic Model/Product,NWM,NOAA / NWS / OWP,National Water Model,map,visual,,,"Server-rendered raster image layer. It may be slow, and it should be treated as modeled wetness context rather than observed soil moisture.",,,,,,
23,#23,EXT029,10,Water / groundwater / water quality,Water quality / monitoring,Water quality / monitoring,DWR Discrete Grab Water Quality Stations,GW/SW Data Products,DWR 1W,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
24,#24,EXT030,10,Water / groundwater / water quality,Water quality / monitoring,Water quality / monitoring,DWR Continuous Monitoring Stations — Hydstra Period,GW/SW Data Products,DWR 1W,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
25,#25,EXT031,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Groundwater Head Observations,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
26,#26,EXT032,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Stream Observations,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
27,#27,EXT033,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Subsidence Observations,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
28,#28,EXT034,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Boundary,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
29,#29,EXT035,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Elements,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
30,#30,EXT036,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Nodes,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,9,,,,,,,
31,#31,EXT037,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Stream Reaches,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
32,#32,EXT038,10,Water / groundwater / water quality,Groundwater models / C2VSim,Groundwater models / C2VSim,DWR C2VSimFG Subregions,Hydrologic Model/Product,C2VSIM,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
33,#33,EXT043,10,Water / groundwater / water quality,Wells / well completion reports,Wells / well completion reports,DWR Well Completion Reports Index,GW infrastructure,Wells,DWR / CNRA,DWR GIS Atlas,map,visual,,10,,,,,,,
34,#34,EXT047,10,Water / groundwater / water quality,Wells / well completion reports,Wells / well completion reports,DWR Well Completion Reports Index — inspectable features,GW infrastructure,Wells,DWR / CNRA,DWR GIS Atlas,feature,current_view,10,10,Potentially large statewide FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
35,#35,EXT051,10,Water / groundwater / water quality,Water rights / PODs,Water rights / PODs,SWRCB Points of Diversion,Water Rights,Points of Diversion,SWRCB / Water Boards,Water Rights,map,current_view,8,8,,,,,,,
36,#36,EXT052,10,Water / groundwater / water quality,Water quality / impaired waters,Water quality / impaired waters,SWRCB Impaired Waters / Integrated Report,GW/SW Data Products,SWRCB SW,SWRCB / Water Boards,Integrated Report,map,visual,,8,,,,,,,
37,#37,EXT054,10,Water / groundwater / water quality,Groundwater quality / drinking water,Groundwater quality / drinking water,Water Boards 2026 Aquifer Risk Map — Water Quality Risk,GW/SW Data Products,SWRCB GW,SWRCB / Water Boards,SAFER / Aquifer Risk,feature,current_view,9,9,Large statewide polygon FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
38,#38,EXT055,10,Water / groundwater / water quality,Water service areas,Water service areas,Water Boards Drought Water Service Areas,Districts/Service/Planning ,districts/service,SWRCB / Water Boards,SaveWater / public water systems,map,visual,,8,,,,,,,
39,#39,EXT056,10,Water / groundwater / water quality,Streamflow / observed gages,Streamflow / observed gages,Live Stream Gages / Flow,SW infrastructure,Gages,Esri / USGS / NOAA,ArcGIS Living Atlas / live feeds,feature,current_view,5,,Current-view live point query. Zoom to your area of interest before loading; pan/zoom and use Refresh current view to update the snapshot.,,,,,,
40,#40,EXT057,10,Water / groundwater / water quality,Streamflow / modeled flow,Streamflow / modeled flow,NWM Streamflow Analysis (cfs),Hydrologic Model/Product,NWM,NOAA / NWS / OWP,National Water Model,map,visual,,,"National linework. This visual MapServer layer is server-rendered, but it may still be dense at broad extents.",,,,,,
41,#41,EXT015,20,Water operations / flood / coastal,Flood management,Flood management,DWR SPFC Planning Area,Flood control,DWR,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
42,#42,EXT016,20,Water operations / flood / coastal,Flood management,Flood management,DWR Systemwide Planning Area,Flood control,DWR,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
43,#43,EXT017,20,Water operations / flood / coastal,Flood management,Flood management,DWR Local Maintenance Areas — Flood Protection,Flood control,DWR,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
44,#44,EXT045,20,Water operations / flood / coastal,Flood management / levees,Flood management / levees,DWR Historic Levee Breaks,Flood control,DWR,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
45,#45,EXT107,20,Water operations / flood / coastal,Flood hazards,Flood hazards,FEMA NFHL Flood Hazard Zones,Flood control,FEMA,FEMA,NFHL,map,visual,,10,,,,,,,
46,#46,EXT108,20,Water operations / flood / coastal,Sea level rise / coastal flooding,Sea level rise / coastal flooding,NOAA Sea Level Rise Inundation — 1.5 ft,Flood control,Sea Level Rise,NOAA,Digital Coast / Sea Level Rise Viewer,map,visual,,9,,,,,,,
47,#47,EXT109,20,Water operations / flood / coastal,Sea level rise / coastal flooding,Sea level rise / coastal flooding,NOAA Sea Level Rise Inundation — 2 ft,Flood control,Sea Level Rise,NOAA,Digital Coast / Sea Level Rise Viewer,map,visual,,9,,,,,,,
48,#48,EXT110,20,Water operations / flood / coastal,Sea level rise / coastal flooding,Sea level rise / coastal flooding,NOAA Sea Level Rise Inundation — 3 ft,Flood control,Sea Level Rise,NOAA,Digital Coast / Sea Level Rise Viewer,map,visual,,9,,,,,,,
49,#49,EXT111,20,Water operations / flood / coastal,Sea level rise / coastal flooding,Sea level rise / coastal flooding,NOAA Sea Level Rise Inundation — 6 ft,Flood control,Sea Level Rise,NOAA,Digital Coast / Sea Level Rise Viewer,map,visual,,9,,,,,,,
50,#50,EXT112,20,Water operations / flood / coastal,Sea level rise / coastal flooding,Sea level rise / coastal flooding,NOAA Potential Marsh Distribution — 6.5 ft,Flood control,Sea Level Rise,NOAA,Digital Coast / Sea Level Rise Viewer,map,visual,,9,,,,,,,
51,#51,EXT113,20,Water operations / flood / coastal,Sea level rise / coastal flooding,Sea level rise / coastal flooding,CNRA CSMW Potential Sea-Level-Rise Impacts,Flood control,Sea Level Rise,DWR / CNRA,Ocean Protection / Coastal hazards,map,visual,,8,,,,,,,
52,#52,EXT040,30,Weather / snow / drought,Drought / water shortage vulnerability,Drought / water shortage vulnerability,DWR Water Shortage Social Vulnerability — Block Groups,Districts/Service/Planning ,Planning,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
53,#53,EXT041,30,Weather / snow / drought,Drought / water shortage vulnerability,Drought / water shortage vulnerability,DWR Water Shortage Vulnerability — Sections,Districts/Service/Planning ,Planning,DWR / CNRA,DWR GIS Atlas,map,visual,,9,,,,,,,
54,#54,EXT042,30,Weather / snow / drought,Drought / water shortage vulnerability,Drought / water shortage vulnerability,DWR Water Shortage Vulnerability — Small Water Systems,Districts/Service/Planning ,Planning,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
55,#55,EXT058,30,Weather / snow / drought,Snow / modeled gridded,Snow / modeled gridded,NOHRSC snow depth,Hydrologic Model/Product,NOHRSC,NOAA / NWS / NOHRSC,NOHRSC Snow Analysis,map,visual,,,Server-rendered raster image layer; may take a moment to draw or update while panning/zooming.,,,,,,
56,#56,EXT059,30,Weather / snow / drought,Snow / modeled gridded,Snow / modeled gridded,NOHRSC SWE,Hydrologic Model/Product,NOHRSC,NOAA / NWS / NOHRSC,NOHRSC Snow Analysis,map,visual,,,Server-rendered raster image layer; may take a moment to draw or update while panning/zooming.,,,,,,
57,#57,EXT125,30,Weather / snow / drought,Winter weather / impacts,Winter weather / WPC WSSI,WPC WSSI overall impact | Day 1,Forecasts,Winter weather,NOAA / NWS / WPC,Winter Storm Severity Index,map,visual,,,"Server-rendered public NOAA/NWS image layer. If blank, there may be no current product over the view or the service may be slow.",,,,,,
58,#58,EXT126,30,Weather / snow / drought,Winter weather / impacts,Winter weather / WPC WSSI,WPC WSSI overall impact | Day 2,Forecasts,Winter weather,NOAA / NWS / WPC,Winter Storm Severity Index,map,visual,,,"Server-rendered public NOAA/NWS image layer. If blank, there may be no current product over the view or the service may be slow.",,,,,,
59,#59,EXT127,30,Weather / snow / drought,Winter weather / impacts,Winter weather / WPC WSSI,WPC WSSI overall impact | Day 3,Forecasts,Winter weather,NOAA / NWS / WPC,Winter Storm Severity Index,map,visual,,,"Server-rendered public NOAA/NWS image layer. If blank, there may be no current product over the view or the service may be slow.",,,,,,
60,#60,EXT128,30,Weather / snow / drought,Winter weather / impacts,Winter weather / WPC WSSI,WPC WSSI overall impact | Days 1-3,Forecasts,Winter weather,NOAA / NWS / WPC,Winter Storm Severity Index,map,visual,,,"Server-rendered public NOAA/NWS image layer. If blank, there may be no current product over the view or the service may be slow.",,,,,,
61,#61,EXT066,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 1 wind / low RH,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
62,#62,EXT067,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 1 dry thunder,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
63,#63,EXT068,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 2 wind / low RH,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
64,#64,EXT069,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 2 dry thunder,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
65,#65,EXT073,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 3 wind / low RH,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
66,#66,EXT071,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 3 dry thunder,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
67,#67,EXT075,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 4 wind / low RH,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
68,#68,EXT076,35,SPC outlooks / discussions,SPC fire weather,Fire weather outlooks,SPC fire wx | Day 5 wind / low RH,Forecasts,Fire weather,NOAA / NWS / SPC,Storm Prediction Center fire weather,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
69,#69,EXT077,35,SPC outlooks / discussions,SPC convective outlooks,Convective outlooks,SPC convective | Day 1 categorical,Forecasts,Convective Precip,NOAA / NWS / SPC,Storm Prediction Center convective outlooks,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
70,#70,EXT078,35,SPC outlooks / discussions,SPC convective outlooks,Convective outlooks,SPC convective | Day 2 categorical,Forecasts,Convective Precip,NOAA / NWS / SPC,Storm Prediction Center convective outlooks,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
71,#71,EXT079,35,SPC outlooks / discussions,SPC convective outlooks,Convective outlooks,SPC convective | Day 3 categorical,Forecasts,Convective Precip,NOAA / NWS / SPC,Storm Prediction Center convective outlooks,map,visual,,,"Server-rendered outlook polygon layer. If blank, check the official source page; no polygon may intersect the current view.",,,,,,
72,#72,EXT080,35,SPC outlooks / discussions,SPC mesoscale discussions,Mesoscale discussions,SPC mesoscale discussions,Forecasts,Misc./Discussion,NOAA / NWS / SPC,Storm Prediction Center mesoscale discussions,map,visual,,,Server-rendered discussion polygon layer. It may be blank when no active discussion intersects the current map view.,,,,,,
73,#73,EXT010,40,Fire / hazards / emergency,Fire / cameras,Fire / cameras,ALERTCalifornia Cameras,Fire / cameras,Cameras,ALERTCalifornia / UC San Diego,ALERTCalifornia,feature,current_view,5,,"Camera points are a live observation layer. For statewide use, loading is usually manageable; for field use, zoom to your area of interest and use Refresh current view.",,,,,,
74,#74,EXT012,40,Fire / hazards / emergency,Fire / cameras,Fire / cameras,ALERTCalifornia Camera Viewsheds,Fire / cameras,Cameras,ALERTCalifornia / UC San Diego,ALERTCalifornia,feature,current_view,6,,Viewshed polygons can be heavier than camera points. Zoom to an area of interest before loading or refreshing.,,,,,,
75,#75,EXT070,40,Fire / hazards / emergency,Fire / burn scars,Fire / burn scars,CAL FIRE Recent Large Fire Perimeters,Landcover classification,Burn Areas,CAL FIRE / FRAP,Fire and Resource Assessment Program,feature,current_view,6,,"Recent large-fire layer is much lighter than the full historical layer, but statewide queries may still return many polygons. Use Refresh current view after zooming/panning.",,,,,,
76,#76,EXT072,40,Fire / hazards / emergency,Fire / burn scars,Fire / burn scars,CAL FIRE Fire Perimeters — All,Landcover classification,Burn Areas,CAL FIRE / FRAP,Fire and Resource Assessment Program,feature,current_view,8,,Full historical fire perimeters can be heavy. Zoom in before adding or refreshing; use the Recent Large Fire Perimeters layer for faster statewide screening.,,,,,,
77,#77,EXT081,50,Ecology / habitat / species,ACE / terrestrial biodiversity,ACE / terrestrial biodiversity,CDFW ACE Statewide Terrestrial Biodiversity Summary,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
78,#78,EXT082,50,Ecology / habitat / species,ACE / species biodiversity,ACE / species biodiversity,CDFW ACE Species Biodiversity,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
79,#79,EXT083,50,Ecology / habitat / species,ACE / rare species,ACE / rare species,CDFW ACE Terrestrial Rare Species Richness,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
80,#80,EXT084,50,Ecology / habitat / species,ACE / irreplaceability,ACE / irreplaceability,CDFW ACE Terrestrial Irreplaceability Summary,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
81,#81,EXT085,50,Ecology / habitat / species,ACE / aquatic biodiversity,ACE / aquatic biodiversity,CDFW ACE Aquatic Native Species Richness Summary,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
82,#82,EXT086,50,Ecology / habitat / species,ACE / aquatic biodiversity,ACE / aquatic biodiversity,CDFW ACE Aquatic Native Amphibian Richness,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
83,#83,EXT087,50,Ecology / habitat / species,ACE / aquatic biodiversity,ACE / aquatic biodiversity,CDFW ACE Aquatic Amphibian Irreplaceability,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
84,#84,EXT088,50,Ecology / habitat / species,ACE / wetlands and riparian,ACE / wetlands and riparian,CDFW ACE Freshwater Wetlands by Watershed,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
85,#85,EXT089,50,Ecology / habitat / species,ACE / wetlands and riparian,ACE / wetlands and riparian,CDFW ACE Riparian Habitat by Watershed,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
86,#86,EXT092,50,Ecology / habitat / species,ACE / wetlands and riparian,ACE / wetlands and riparian,CDFW ACE Estuary and Tidal Habitat,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
87,#87,EXT090,50,Ecology / habitat / species,ACE / vegetation and habitat,ACE / vegetation and habitat,CDFW ACE Oak Woodlands,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
88,#88,EXT091,50,Ecology / habitat / species,ACE / vegetation and habitat,ACE / vegetation and habitat,CDFW ACE Oak Shrublands,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
89,#89,EXT093,50,Ecology / habitat / species,ACE / species habitat,ACE / species habitat,CDFW ACE Monarch Overwintering Areas,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
90,#90,EXT094,50,Ecology / habitat / species,ACE / climate vulnerability,ACE / climate vulnerability,CDFW ACE Terrestrial Climate Vulnerable Species,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
91,#91,EXT095,50,Ecology / habitat / species,ACE / game species,ACE / game species,CDFW ACE Terrestrial Native Game Species,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
92,#92,EXT096,50,Ecology / habitat / species,ACE / birds,ACE / birds,CDFW ACE Terrestrial Rare Bird Richness,Ecology / Habitat / Species,CDFW,CDFW,ACE / BIOS,feature,current_view,9,9,Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
93,#93,EXT098,50,Ecology / habitat / species,Monitoring / riparian / aquatic,Monitoring / riparian / aquatic,BLM AIM Lotic Indicators,Ecology / Habitat / Species,BLM,BLM AIM,AIM,feature,current_view,9,9,Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
94,#94,EXT100,50,Ecology / habitat / species,Monitoring / species indicators,Monitoring / species indicators,BLM AIM Terrestrial Species Indicators,Ecology / Habitat / Species,BLM,BLM AIM,AIM,feature,current_view,9,9,Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
95,#95,EXT105,50,Ecology / habitat / species,Threatened / endangered species,Threatened / endangered species,USFWS Final Critical Habitat,Ecology / Habitat / Species,USFWS,USFWS,Ecological Services,feature,current_view,9,9,Large national critical-habitat FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
96,#96,EXT106,50,Ecology / habitat / species,Wetlands / riparian,Wetlands / riparian,USFWS National Wetlands Inventory,Ecology / Habitat / Species,USFWS,USFWS,National Wetlands Inventory,feature,current_view,10,10,Very large national wetlands FeatureServer. Zoom in first and use current-view loading.,,,,,,
97,#97,EXT097,60,BLM / land status / monitoring,Monitoring / terrestrial,Monitoring / terrestrial,BLM AIM LMF Hub,Ecology / Habitat / Species,BLM,BLM AIM,AIM,feature,current_view,9,9,Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
98,#98,EXT099,60,BLM / land status / monitoring,Monitoring / terrestrial,Monitoring / terrestrial,BLM AIM TerrADat,Ecology / Habitat / Species,BLM,BLM AIM,AIM,feature,current_view,9,9,Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
99,#99,EXT101,60,BLM / land status / monitoring,Federal lands / land status,Federal lands / land status,BLM CA Land Status / Surface Management Agency,Land status,classification,BLM GBP,Surface Management Agency,map,visual,,,,,,,,,
100,#100,EXT103,60,BLM / land status / monitoring,Cadastral / PLSS,Cadastral / PLSS,BLM National PLSS / CadNSDI,Land status,PLSS,BLM,National Operations Center / CadNSDI,map,visual,,10,Very dense PLSS layer. Load only at close zoom and use Refresh current view after panning/zooming.,,,,,,
