monument_id,document_id,instrument_type,date,title,official_citation,president_or_congress,relationship_to_monument,direct_official_url,evidence_source_url,verification_date,confidence,explanatory_note
nm_ca_sand_to_snow,nm_ca_sand_to_snow_original,Presidential proclamation,2016-02-12,Establishment of the Sand to Snow National Monument,Proclamation 9396,President of the United States,original/current designation,https://www.federalregister.gov/documents/2016/02/18/2016-03548/establishment-of-the-sand-to-snow-national-monument,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_sattitla_highlands,nm_ca_sattitla_highlands_original,Presidential proclamation,2025-01-14,Establishment of the Sáttítla Highlands National Monument,Proclamation 10882,President of the United States,original/current designation,https://public-inspection.federalregister.gov/2025-01443.pdf,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_saint_francis_dam_disaster,nm_ca_saint_francis_dam_disaster_original,Public Law,2019-03-12,Congressional designation of Saint Francis Dam Disaster National Monument,"Public Law 116-9, Title I, §1111",United States Congress,original/current designation,https://www.govinfo.gov/link/plaw/116/public/9,https://www.govinfo.gov/link/plaw/116/public/9,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_santa_rosa_san_jacinto,nm_ca_santa_rosa_san_jacinto_original,Public Law,2000-10-24,Congressional designation of Santa Rosa and San Jacinto Mountains National Monument,Public Law 106-351,United States Congress,original/current designation,https://www.govinfo.gov/app/details/PLAW-106publ351,https://www.blm.gov/programs/national-conservation-lands/california/santa-rosa-and-san-jacinto-mountains-national-monument,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_tule_lake,nm_ca_tule_lake_original,Public Law,2019-03-12,Congressional designation of Tule Lake National Monument,"Public Law 116-9, Title II, §2206(b)",United States Congress,original/current designation,https://www.govinfo.gov/link/plaw/116/public/9,https://www.govinfo.gov/link/plaw/116/public/9,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_berryessa_snow_mountain,proc10745,Presidential proclamation,2024-05-02,Expansion of Berryessa Snow Mountain National Monument / Molok Luyuk,Proclamation 10745,President Joseph R. Biden Jr.,boundary expansion,https://www.federalregister.gov/documents/full_text/html/2024/05/09/2024-10266.html,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,Adds federal lands and directs consultation/co-stewardship exploration with interested Tribal Nations.
nm_ca_california_coastal,proc9089,Presidential proclamation,2014-03-11,Boundary enlargement of California Coastal National Monument,Proclamation 9089,President Barack Obama,boundary addition,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,Point Arena-Stornetta addition; official legal index retained if direct text not resolved.
nm_ca_california_coastal,proc9563,Presidential proclamation,2017-01-12,Boundary enlargement of California Coastal National Monument,Proclamation 9563,President Barack Obama,boundary addition,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,Added additional onshore lands/units.
nm_ca_cascade_siskiyou,pl11111,Public Law,2009-03-30,Omnibus Public Land Management Act provisions affecting Cascade–Siskiyou,"Public Law 111-11, §§1401–1406",United States Congress,congressional land/boundary provisions,https://www.govinfo.gov/app/details/PLAW-111publ11,https://www.govinfo.gov/app/details/PLAW-111publ11,2026-08-09,High,Material congressional land provisions associated with monument.
nm_ca_cascade_siskiyou,proc9564,Presidential proclamation,2017-01-12,Boundary enlargement of Cascade–Siskiyou National Monument,Proclamation 9564,President Barack Obama,boundary expansion,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,Expanded the monument into additional Oregon and California lands.
nm_ca_cabrillo,proc3273,Presidential proclamation,1959-02-02,Cabrillo National Monument boundary change,Proclamation 3273,President Dwight D. Eisenhower,boundary modification,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_cabrillo,proc4319,Presidential proclamation,1974-09-28,Cabrillo National Monument boundary change,Proclamation 4319,President Gerald R. Ford,boundary modification,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_lava_beds,proc2925,Presidential proclamation,1951-04-27,Lava Beds National Monument boundary change,Proclamation 2925,President Harry S. Truman,boundary modification,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_muir_woods,proc1608,Presidential proclamation,1921-09-22,Muir Woods National Monument enlargement,Proclamation 1608,President Warren G. Harding,boundary addition,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_muir_woods,proc2122,Presidential proclamation,1935-04-05,Muir Woods National Monument enlargement,Proclamation 2122,President Franklin D. Roosevelt,boundary addition,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_muir_woods,proc2932,Presidential proclamation,1951-06-26,Muir Woods National Monument boundary change,Proclamation 2932,President Harry S. Truman,boundary modification,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_muir_woods,proc3311,Presidential proclamation,1959-09-08,Muir Woods National Monument boundary change,Proclamation 3311,President Dwight D. Eisenhower,boundary modification,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,
nm_ca_san_gabriel_mountains,proc10746,Presidential proclamation,2024-05-02,Expansion of San Gabriel Mountains National Monument,Proclamation 10746,President Joseph R. Biden Jr.,boundary expansion,https://public-inspection.federalregister.gov/2024-10408.pdf,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Forest Service map reports 455,407 acres total after expansion."
nm_ca_santa_rosa_san_jacinto,pl106434,Public Law,2000-11-06,Santa Rosa and San Jacinto Mountains National Monument Act follow-up provisions,"Public Law 106-434, §2",United States Congress,subsequent congressional provision,https://www.govinfo.gov/app/details/PLAW-106publ434,https://www.govinfo.gov/app/details/PLAW-106publ434,2026-08-09,High,Follow-up statutory provisions.
nm_ca_santa_rosa_san_jacinto,pl11111_1853,Public Law,2009-03-30,Omnibus Public Land Management Act provision,"Public Law 111-11, §1853",United States Congress,subsequent congressional provision,https://www.govinfo.gov/app/details/PLAW-111publ11,https://www.govinfo.gov/app/details/PLAW-111publ11,2026-08-09,High,Later statutory adjustment/provision.
nm_ca_tule_lake,proc8327,Presidential proclamation,2008-12-05,Establishment of World War II Valor in the Pacific National Monument — Tule Lake Unit,Proclamation 8327,President George W. Bush,predecessor designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,Predecessor unit; not a separate current monument.
nm_ca_tule_lake,pl115170,Public Law,2018-05-05,WWII Valor in the Pacific/NPS name-related statutory transition,Public Law 115-170,United States Congress,pre-redesignation statutory history,https://www.govinfo.gov/app/details/PLAW-115publ170,https://www.govinfo.gov/app/details/PLAW-115publ170,2026-08-09,High,Retained as legal-history context; current standalone redesignation occurred in 2019.
