document_id,wilderness_id,component_id,document_title,document_type,agency,publication_date,geographic_scope,document_url,landing_page_url,authority_level,wilderness_wide_or_component_specific,last_verified,notes
doc-690679c094c4,fw-4545,,Avawatz Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Avawatz Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=768,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-cac77bb41b3d,fw-4545,,"Public Law 116-9 — John D. Dingell, Jr. Conservation, Management, and Recreation Act",public law,U.S. Congress,2019-03-12,Avawatz Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-116publ9/html/PLAW-116publ9.htm,https://www.govinfo.gov/content/pkg/PLAW-116publ9/html/PLAW-116publ9.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-b8ad1164e397,fw-214,,Beauty Mountain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Beauty Mountain Wilderness,https://wilderness.net/visit-wilderness/?ID=706,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-f7a449a5c9b6,fw-214,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Beauty Mountain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f718e1ac1891,fw-269,,Big Maria Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Big Maria Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=44,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-ff645472ef96,fw-269,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Big Maria Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e90da3697510,fw-282,,Bigelow Cholla Garden Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Bigelow Cholla Garden Wilderness,https://wilderness.net/visit-wilderness/?ID=46,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-b195a9404dbe,fw-282,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Bigelow Cholla Garden Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-56ea2eb68eac,fw-284,,Bighorn Mountain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Bighorn Mountain Wilderness,https://wilderness.net/visit-wilderness/?ID=47,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-e0251629d2de,fw-284,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Bighorn Mountain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-86499e7267dd,fw-314,,Black Mountain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Black Mountain Wilderness,https://wilderness.net/visit-wilderness/?ID=57,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-9d611b32db93,fw-314,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Black Mountain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-3a4ca2a499b5,fw-373,,Boundary Peak Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Boundary Peak Wilderness,https://wilderness.net/visit-wilderness/?ID=69,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-f5c961f53d89,fw-373,,Public Law 101-195 — Nevada Wilderness Protection Act of 1989,public law,U.S. Congress,1989-12-05,Boundary Peak Wilderness,https://www.govinfo.gov/content/pkg/PLAW-101publ195/html/PLAW-101publ195.htm,https://www.govinfo.gov/content/pkg/PLAW-101publ195/html/PLAW-101publ195.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-d6184f79cd08,fw-401,,Bright Star Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Bright Star Wilderness,https://wilderness.net/visit-wilderness/?ID=80,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-dbe10c641795,fw-401,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Bright Star Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-5e0a5ecd6af7,fw-405,,Bristol Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Bristol Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=82,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-9b15d73f812d,fw-405,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Bristol Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-591790761bd6,fw-426,,Bucks Lake Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Bucks Lake Wilderness,https://wilderness.net/visit-wilderness/?ID=84,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-38c4139d399c,fw-426,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Bucks Lake Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-829bef48410a,fw-4549,,Buzzards Peak Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Buzzards Peak Wilderness,https://wilderness.net/visit-wilderness/?ID=772,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-b21b9c484166,fw-4549,,"Public Law 116-9 — John D. Dingell, Jr. Conservation, Management, and Recreation Act",public law,U.S. Congress,2019-03-12,Buzzards Peak Wilderness,https://www.govinfo.gov/content/pkg/PLAW-116publ9/html/PLAW-116publ9.htm,https://www.govinfo.gov/content/pkg/PLAW-116publ9/html/PLAW-116publ9.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f4f15af1ea84,fw-463,,Cache Creek Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Cache Creek Wilderness,https://wilderness.net/visit-wilderness/?ID=684,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-3288fc4274fe,fw-463,,Public Law 109-362 — Northern California Coastal Wild Heritage Wilderness Act,public law,U.S. Congress,2006-10-17,Cache Creek Wilderness,https://www.govinfo.gov/content/pkg/PLAW-109publ362/html/PLAW-109publ362.htm,https://www.govinfo.gov/content/pkg/PLAW-109publ362/html/PLAW-109publ362.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-229ca741ce5d,fw-470,,Cadiz Dunes Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Cadiz Dunes Wilderness,https://wilderness.net/visit-wilderness/?ID=93,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-247c4fd91a35,fw-470,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Cadiz Dunes Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-ca802c4f81eb,fw-474,,Cahuilla Mountain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Cahuilla Mountain Wilderness,https://wilderness.net/visit-wilderness/?ID=756,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-872f1c03b6fe,fw-474,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Cahuilla Mountain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-0fa1f695fbb2,fw-561,,Caribou Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Caribou Wilderness,https://wilderness.net/visit-wilderness/?ID=98,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-56606808d626,fw-561,,Public Law 88-577 — Wilderness Act of 1964,public law,U.S. Congress,1964-09-03,Caribou Wilderness,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-fb79706a7a26,fw-566,,Carrizo Gorge Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Carrizo Gorge Wilderness,https://wilderness.net/visit-wilderness/?ID=101,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-93ab11532289,fw-566,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Carrizo Gorge Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f1a53486e444,fw-570,,Carson-Iceberg Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Carson-Iceberg Wilderness,https://wilderness.net/visit-wilderness/?ID=102,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-790d24c70413,fw-570,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Carson-Iceberg Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-6a64904396d9,fw-583,,Castle Crags Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Castle Crags Wilderness,https://wilderness.net/visit-wilderness/?ID=103,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-4040649570c9,fw-583,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Castle Crags Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-a1825bb9c556,fw-611,,Cedar Roughs Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Cedar Roughs Wilderness,https://wilderness.net/visit-wilderness/?ID=685,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-dc51638d61a3,fw-611,,Public Law 109-362 — Northern California Coastal Wild Heritage Wilderness Act,public law,U.S. Congress,2006-10-17,Cedar Roughs Wilderness,https://www.govinfo.gov/content/pkg/PLAW-109publ362/html/PLAW-109publ362.htm,https://www.govinfo.gov/content/pkg/PLAW-109publ362/html/PLAW-109publ362.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-fe4853d0123f,fw-629,,Chanchelulla Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Chanchelulla Wilderness,https://wilderness.net/visit-wilderness/?ID=111,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-c28593594286,fw-629,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Chanchelulla Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f0335f0a8912,fw-654,,Chemehuevi Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Chemehuevi Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=116,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-76ab573eda16,fw-654,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Chemehuevi Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-c123036b91ff,fw-678,,Chimney Peak Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Chimney Peak Wilderness,https://wilderness.net/visit-wilderness/?ID=117,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-b481b74f4ff4,fw-678,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Chimney Peak Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-1200475222c8,fw-695,,Chuckwalla Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Chuckwalla Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=121,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-4ff4e0f262af,fw-695,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Chuckwalla Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-28d7e361a907,fw-695,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Chuckwalla Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e83c27800b19,fw-698,,Chumash Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Chumash Wilderness,https://wilderness.net/visit-wilderness/?ID=122,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-93c5420dbbb9,fw-698,,Public Law 102-301 — Los Padres Condor Range and River Protection Act,public law,U.S. Congress,1992-06-19,Chumash Wilderness,https://www.govinfo.gov/content/pkg/PLAW-102publ301/html/PLAW-102publ301.htm,https://www.govinfo.gov/content/pkg/PLAW-102publ301/html/PLAW-102publ301.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-2b8d93f0068c,fw-723,,Cleghorn Lakes Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Cleghorn Lakes Wilderness,https://wilderness.net/visit-wilderness/?ID=126,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-a6b86fc9c384,fw-723,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Cleghorn Lakes Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-63af4d6a9de0,fw-726,,Clipper Mountain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Clipper Mountain Wilderness,https://wilderness.net/visit-wilderness/?ID=128,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-f0043153bd37,fw-726,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Clipper Mountain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-d405f41d8a5e,fw-786,,Coso Range Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Coso Range Wilderness,https://wilderness.net/visit-wilderness/?ID=136,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-1ba2056cb485,fw-786,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Coso Range Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-329230e3e75f,fw-802,,Coyote Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Coyote Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=138,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-c96b2cefa4a8,fw-802,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Coyote Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-3494a1c91e54,fw-802,,Coyote Mountains Wilderness,official wilderness webpage,Bureau of Land Management,,Coyote Mountains Wilderness,https://www.blm.gov/visit/coyote-mountains-wilderness,https://www.blm.gov/visit/coyote-mountains-wilderness,3 - official managing-agency page,wilderness-wide or agency-component as labeled,2026-08-04,Use component-specific language where the page describes only the agency's portion.
doc-f1926d5343ec,fw-830,,Cucamonga Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Cucamonga Wilderness,https://wilderness.net/visit-wilderness/?ID=144,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-64b246bb2cb5,fw-830,,Public Law 88-577 — Wilderness Act of 1964,public law,U.S. Congress,1964-09-03,Cucamonga Wilderness,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f6c6979539fb,fw-862,,Darwin Falls Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Darwin Falls Wilderness,https://wilderness.net/visit-wilderness/?ID=149,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-602cb79918a9,fw-862,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Darwin Falls Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-b5a918e0e5fd,fw-869,,Dead Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Dead Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=150,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
