wilderness_id,source_semantic_id,wilderness_connect_id,official_name,alternate_names,wilderness_abbreviation,states,designation_date,designation_year,original_public_law,subsequent_public_laws,public_law_source_notes,legal_authority,official_reference_acres,acreage_source,source_gis_acres_total,calculated_component_acres_total,source_component_count,managing_agencies,shared_management,blm_role,blm_role_summary,blm_component_count,non_blm_component_count,wilderness_summary_short,wilderness_summary_full,wilderness_character_summary,management_access_summary,official_page_url,direct_official_agency_page_url,official_map_url,primary_management_plan_title,primary_management_plan_url,local_unit_pages,wilderness_connect_url,recreation_gov_search_url,congress_search_url,nepa_search_url,courtlistener_search_url,google_scholar_case_search_url,web_search_url,verified_litigation_count,last_verified,source_notes,present_in_brim_snapshot,brim_snapshot_component_count,brim_snapshot_source_gis_acres_total,brim_snapshot_calculated_acres_total,brim_snapshot_managing_agencies,brim_snapshot_blm_component_count,brim_snapshot_non_blm_component_count,brim_snapshot_comparison_status,brim_snapshot_notes,brim_snapshot_export_date,snapshot_comparison_verified_on
fw-1018,1018,174,El Paso Mountains Wilderness,,El_Paso_Mountains,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,23679.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",24356.0,24355.7,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"The El Paso Mountains drop into this Wilderness from the southeast, with Black Mountain, at 5,244 feet, serving as the highest point. From the foot of Black Mountain, the terrain sinks into the Black Hills","The El Paso Mountains drop into this Wilderness from the southeast, with Black Mountain, at 5,244 feet, serving as the highest point. From the foot of Black Mountain, the terrain sinks into the Black Hills","The El Paso Mountains drop into this Wilderness from the southeast, with Black Mountain, at 5,244 feet, serving as the highest point. From the foot of Black Mountain, the terrain sinks into the Black Hills","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=174,https://www.recreation.gov/search?q=El+Paso+Mountains+Wilderness,https://www.congress.gov/search?q=%22El+Paso+Mountains+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=El+Paso+Mountains+Wilderness,https://www.courtlistener.com/?q=%22El+Paso+Mountains+Wilderness%22,https://scholar.google.com/scholar?q=%22El+Paso+Mountains+Wilderness%22+wilderness,https://www.google.com/search?q=%22El+Paso+Mountains+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,24356.0,24355.7,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1031,1031,757,Elkhorn Ridge Wilderness,,Elkhorn_Ridge,CA,2011-01-13,2011,Public Law 109-362,,The 2006 law initially addressed potential wilderness; source/update history indicates conversion to designated wilderness in 2011. Confirm the operative boundary map for legal analysis.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,11001.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",11129.0,11129.383,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"The Elkhorn Ridge Wilderness contains rugged Coast Range ridges covered with thick forests of redwood, Douglas-fir, and tan-oak. There are two major forest types encompassing the area; the mixed evergreen","The Elkhorn Ridge Wilderness contains rugged Coast Range ridges covered with thick forests of redwood, Douglas-fir, and tan-oak. There are two major forest types encompassing the area; the mixed evergreen","The Elkhorn Ridge Wilderness contains rugged Coast Range ridges covered with thick forests of redwood, Douglas-fir, and tan-oak. There are two major forest types encompassing the area; the mixed evergreen","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=757,https://www.recreation.gov/search?q=Elkhorn+Ridge+Wilderness,https://www.congress.gov/search?q=%22Elkhorn+Ridge+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Elkhorn+Ridge+Wilderness,https://www.courtlistener.com/?q=%22Elkhorn+Ridge+Wilderness%22,https://scholar.google.com/scholar?q=%22Elkhorn+Ridge+Wilderness%22+wilderness,https://www.google.com/search?q=%22Elkhorn+Ridge+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,11129.0,11129.383,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1040,1040,177,Emigrant Wilderness,,Emigrant,CA,1975-01-03,1975,Public Law 93-632,Public Law 98-425,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,112723.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",112801.0,112801.81,2,USFS,False,no_identified_management_role,,0,2,"The Emigrant Wilderness is located on the upper western slope of the central Sierra Nevada Mountain Range and is contiguous with the Yosemite Wilderness to it's south, the Carson-Iceberg Wilderness just","The Emigrant Wilderness is located on the upper western slope of the central Sierra Nevada Mountain Range and is contiguous with the Yosemite Wilderness to it's south, the Carson-Iceberg Wilderness just The BLM California layer represents the named wilderness with 2 source geometries administered by USFS.","The Emigrant Wilderness is located on the upper western slope of the central Sierra Nevada Mountain Range and is contiguous with the Yosemite Wilderness to it's south, the Carson-Iceberg Wilderness just","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=177,https://www.recreation.gov/search?q=Emigrant+Wilderness,https://www.congress.gov/search?q=%22Emigrant+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Emigrant+Wilderness,https://www.courtlistener.com/?q=%22Emigrant+Wilderness%22,https://scholar.google.com/scholar?q=%22Emigrant+Wilderness%22+wilderness,https://www.google.com/search?q=%22Emigrant+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,2,112801.0,112801.809,USFS,0,2,same_component_count,,2026-04-23,2026-08-05
fw-1099,1099,183,Fish Creek Mountains Wilderness,,Fish_Creek_Mountains,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,21390.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",22338.0,22338.406,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"From the desert floor, the Fish Creek Mountains resemble a plateau rising as a great wall; only a few dramatic peaks appear from a distance. In truth, the mountains are a rugged land of numerous jagged","From the desert floor, the Fish Creek Mountains resemble a plateau rising as a great wall; only a few dramatic peaks appear from a distance. In truth, the mountains are a rugged land of numerous jagged","From the desert floor, the Fish Creek Mountains resemble a plateau rising as a great wall; only a few dramatic peaks appear from a distance. In truth, the mountains are a rugged land of numerous jagged","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/el-centro-field-office,https://wilderness.net/visit-wilderness/?ID=183,https://www.recreation.gov/search?q=Fish+Creek+Mountains+Wilderness,https://www.congress.gov/search?q=%22Fish+Creek+Mountains+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Fish+Creek+Mountains+Wilderness,https://www.courtlistener.com/?q=%22Fish+Creek+Mountains+Wilderness%22,https://scholar.google.com/scholar?q=%22Fish+Creek+Mountains+Wilderness%22+wilderness,https://www.google.com/search?q=%22Fish+Creek+Mountains+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,22338.0,22338.406,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1283,1283,195,Funeral Mountains Wilderness,,Funeral_Mountains,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,25707.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",27609.0,27608.723,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"Despite the dreary name, rugged and cheerfully colorful limestone lies in striking bands across Funeral Mountains Wilderness. From the southeast and Nevada, the long alluvial slopes of the Amargosa Desert","Despite the dreary name, rugged and cheerfully colorful limestone lies in striking bands across Funeral Mountains Wilderness. From the southeast and Nevada, the long alluvial slopes of the Amargosa Desert","Despite the dreary name, rugged and cheerfully colorful limestone lies in striking bands across Funeral Mountains Wilderness. From the southeast and Nevada, the long alluvial slopes of the Amargosa Desert","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",https://www.blm.gov/visit/funeral-mountains-wilderness,https://www.blm.gov/visit/funeral-mountains-wilderness,,,,https://www.blm.gov/office/barstow-field-office,https://wilderness.net/visit-wilderness/?ID=195,https://www.recreation.gov/search?q=Funeral+Mountains+Wilderness,https://www.congress.gov/search?q=%22Funeral+Mountains+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Funeral+Mountains+Wilderness,https://www.courtlistener.com/?q=%22Funeral+Mountains+Wilderness%22,https://scholar.google.com/scholar?q=%22Funeral+Mountains+Wilderness%22+wilderness,https://www.google.com/search?q=%22Funeral+Mountains+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,27609.0,27608.723,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1291,1291,197,Garcia Wilderness,,Garcia,CA,1992-06-19,1992,Public Law 102-301,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,13987.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",14029.0,14029.122,1,USFS,False,no_identified_management_role,,0,1,"Garcia Wilderness preserves the long east-west ridge of Garcia Mountain and separates Santa Lucia and Machesna Mountain Wildernesses. Here you'll find rugged, chaparral-cloaked slopes and oak woodlands","Garcia Wilderness preserves the long east-west ridge of Garcia Mountain and separates Santa Lucia and Machesna Mountain Wildernesses. Here you'll find rugged, chaparral-cloaked slopes and oak woodlands","Garcia Wilderness preserves the long east-west ridge of Garcia Mountain and separates Santa Lucia and Machesna Mountain Wildernesses. Here you'll find rugged, chaparral-cloaked slopes and oak woodlands","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=197,https://www.recreation.gov/search?q=Garcia+Wilderness,https://www.congress.gov/search?q=%22Garcia+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Garcia+Wilderness,https://www.courtlistener.com/?q=%22Garcia+Wilderness%22,https://scholar.google.com/scholar?q=%22Garcia+Wilderness%22+wilderness,https://www.google.com/search?q=%22Garcia+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,14029.0,14029.122,USFS,0,1,same_component_count,,2026-04-23,2026-08-05
fw-1350,1350,210,Golden Trout Wilderness,,Golden_Trout,CA,,1978,Public Law 98-425,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,303713.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",305382.0,305383.053,1,USFS,False,no_identified_management_role,,0,1,"The brightly colored California state fish, the golden trout, lives in relative abundance in the waters of Golden Trout Wilderness, and special restrictions apply to anglers. A large drainage basin surrounded","The brightly colored California state fish, the golden trout, lives in relative abundance in the waters of Golden Trout Wilderness, and special restrictions apply to anglers. A large drainage basin surrounded","The brightly colored California state fish, the golden trout, lives in relative abundance in the waters of Golden Trout Wilderness, and special restrictions apply to anglers. A large drainage basin surrounded","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=210,https://www.recreation.gov/search?q=Golden+Trout+Wilderness,https://www.congress.gov/search?q=%22Golden+Trout+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Golden+Trout+Wilderness,https://www.courtlistener.com/?q=%22Golden+Trout+Wilderness%22,https://scholar.google.com/scholar?q=%22Golden+Trout+Wilderness%22+wilderness,https://www.google.com/search?q=%22Golden+Trout+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,305382.0,305383.053,USFS,0,1,same_component_count,,2026-04-23,2026-08-05
fw-1351,1351,211,Golden Valley Wilderness,,Golden_Valley,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,37786.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",37859.0,37859.63,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"The Lava Mountains span the northwestern portion of Golden Valley Wilderness, cresting to almost 5,000 feet on Dome Mountain. The Lavas are sliced by several steep-walled canyons arrayed in distinctive","The Lava Mountains span the northwestern portion of Golden Valley Wilderness, cresting to almost 5,000 feet on Dome Mountain. The Lavas are sliced by several steep-walled canyons arrayed in distinctive","The Lava Mountains span the northwestern portion of Golden Valley Wilderness, cresting to almost 5,000 feet on Dome Mountain. The Lavas are sliced by several steep-walled canyons arrayed in distinctive","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=211,https://www.recreation.gov/search?q=Golden+Valley+Wilderness,https://www.congress.gov/search?q=%22Golden+Valley+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Golden+Valley+Wilderness,https://www.courtlistener.com/?q=%22Golden+Valley+Wilderness%22,https://scholar.google.com/scholar?q=%22Golden+Valley+Wilderness%22+wilderness,https://www.google.com/search?q=%22Golden+Valley+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,37859.0,37859.63,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1385,1385,214,Granite Chief Wilderness,,Granite_Chief,CA,1984-09-28,1984,Public Law 98-425,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,28374.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",25260.0,25260.039,1,USFS,False,no_identified_management_role,,0,1,"Located at the headwaters of the American River, the Granite Chief was designated a Wilderness area because of its pristine nature, natural beauty, and potential to provide primitive, non-motorized recreation","Located at the headwaters of the American River, the Granite Chief was designated a Wilderness area because of its pristine nature, natural beauty, and potential to provide primitive, non-motorized recreation","Located at the headwaters of the American River, the Granite Chief was designated a Wilderness area because of its pristine nature, natural beauty, and potential to provide primitive, non-motorized recreation","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=214,https://www.recreation.gov/search?q=Granite+Chief+Wilderness,https://www.congress.gov/search?q=%22Granite+Chief+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Granite+Chief+Wilderness,https://www.courtlistener.com/?q=%22Granite+Chief+Wilderness%22,https://scholar.google.com/scholar?q=%22Granite+Chief+Wilderness%22+wilderness,https://www.google.com/search?q=%22Granite+Chief+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,25260.0,25260.039,USFS,0,1,same_component_count,,2026-04-23,2026-08-05
fw-1388,1388,726,Granite Mountain Wilderness,,Granite_Mountain_CA,AZ; CA,2009-03-30,2009,Public Law 111-11,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,31059.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",34310.0,34310.32,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"A geologically varied landscape of open alluvial basins, basaltic plateaus and granite ridges, the Granite Mountain Wilderness is an excellent Great Basin addition to the National Wilderness Preservation","A geologically varied landscape of open alluvial basins, basaltic plateaus and granite ridges, the Granite Mountain Wilderness is an excellent Great Basin addition to the National Wilderness Preservation","A geologically varied landscape of open alluvial basins, basaltic plateaus and granite ridges, the Granite Mountain Wilderness is an excellent Great Basin addition to the National Wilderness Preservation","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/bishop-field-office,https://wilderness.net/visit-wilderness/?ID=726,https://www.recreation.gov/search?q=Granite+Mountain+Wilderness,https://www.congress.gov/search?q=%22Granite+Mountain+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Granite+Mountain+Wilderness,https://www.courtlistener.com/?q=%22Granite+Mountain+Wilderness%22,https://scholar.google.com/scholar?q=%22Granite+Mountain+Wilderness%22+wilderness,https://www.google.com/search?q=%22Granite+Mountain+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,34310.0,34310.32,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1395,1395,217,Grass Valley Wilderness,,Grass_Valley,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,30186.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",32886.0,32886.169,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"The expansive Grass Valley covers nearly three-fourths of this Wilderness and ranks as its primary topographical feature. The area lies fairly flat, with a series of scattered hills, yellow to reddish","The expansive Grass Valley covers nearly three-fourths of this Wilderness and ranks as its primary topographical feature. The area lies fairly flat, with a series of scattered hills, yellow to reddish","The expansive Grass Valley covers nearly three-fourths of this Wilderness and ranks as its primary topographical feature. The area lies fairly flat, with a series of scattered hills, yellow to reddish","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",https://www.blm.gov/visit/grass-valley-wilderness,https://www.blm.gov/visit/grass-valley-wilderness,,,,,https://wilderness.net/visit-wilderness/?ID=217,https://www.recreation.gov/search?q=Grass+Valley+Wilderness,https://www.congress.gov/search?q=%22Grass+Valley+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Grass+Valley+Wilderness,https://www.courtlistener.com/?q=%22Grass+Valley+Wilderness%22,https://scholar.google.com/scholar?q=%22Grass+Valley+Wilderness%22+wilderness,https://www.google.com/search?q=%22Grass+Valley+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,32886.0,32886.169,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-4546,4546,769,Great Falls Basin Wilderness,,Great_Falls_Basin,CA,2019-03-12,2019,Public Law 116-9,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,7810.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",7978.0,7977.632,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"A perennial spring supplies the water flowing through a short distance in the Great Falls Basin Wilderness, and that reach has cut a narrow and deep slot in the bedrock forming several falls. The steep","A perennial spring supplies the water flowing through a short distance in the Great Falls Basin Wilderness, and that reach has cut a narrow and deep slot in the bedrock forming several falls. The steep","A perennial spring supplies the water flowing through a short distance in the Great Falls Basin Wilderness, and that reach has cut a narrow and deep slot in the bedrock forming several falls. The steep","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=769,https://www.recreation.gov/search?q=Great+Falls+Basin+Wilderness,https://www.congress.gov/search?q=%22Great+Falls+Basin+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Great+Falls+Basin+Wilderness,https://www.courtlistener.com/?q=%22Great+Falls+Basin+Wilderness%22,https://scholar.google.com/scholar?q=%22Great+Falls+Basin+Wilderness%22+wilderness,https://www.google.com/search?q=%22Great+Falls+Basin+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,7978.0,7977.632,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-1460,1460,461,Hain Wilderness,,Hain,CA,1976-10-19,1976,Public Law 94-557,Public Law 107-370,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,15985.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",16050.0,16050.176,2,NPS,False,no_identified_management_role,,0,2,"Eons of wind and water, heat and frost produced the starkly angular crags and spires of today's Hain Wilderness. Situated within Pinnacles National Park, Hain Wilderness, previously called the Pinnacles","Eons of wind and water, heat and frost produced the starkly angular crags and spires of today's Hain Wilderness. Situated within Pinnacles National Park, Hain Wilderness, previously called the Pinnacles The BLM California layer represents the named wilderness with 2 source geometries administered by NPS.","Eons of wind and water, heat and frost produced the starkly angular crags and spires of today's Hain Wilderness. Situated within Pinnacles National Park, Hain Wilderness, previously called the Pinnacles","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=461,https://www.recreation.gov/search?q=Hain+Wilderness,https://www.congress.gov/search?q=%22Hain+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Hain+Wilderness,https://www.courtlistener.com/?q=%22Hain+Wilderness%22,https://scholar.google.com/scholar?q=%22Hain+Wilderness%22+wilderness,https://www.google.com/search?q=%22Hain+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,2,16050.0,16050.176,NPS,0,2,same_component_count,,2026-04-23,2026-08-05
fw-1489,1489,232,Hauser Wilderness,,Hauser,CA,1984-09-28,1984,Public Law 98-425,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,6919.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",7197.0,7197.267,1,USFS,False,no_identified_management_role,,0,1,California's southernmost Wilderness on National Forest System lands consists of mountainous terrain with steep slopes dotted by granite boulders and rocky outcroppings. Chaparral and coastal sage rule,California's southernmost Wilderness on National Forest System lands consists of mountainous terrain with steep slopes dotted by granite boulders and rocky outcroppings. Chaparral and coastal sage rule,California's southernmost Wilderness on National Forest System lands consists of mountainous terrain with steep slopes dotted by granite boulders and rocky outcroppings. Chaparral and coastal sage rule,"Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=232,https://www.recreation.gov/search?q=Hauser+Wilderness,https://www.congress.gov/search?q=%22Hauser+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Hauser+Wilderness,https://www.courtlistener.com/?q=%22Hauser+Wilderness%22,https://scholar.google.com/scholar?q=%22Hauser+Wilderness%22+wilderness,https://www.google.com/search?q=%22Hauser+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,7197.0,7197.267,USFS,0,1,same_component_count,,2026-04-23,2026-08-05
fw-1491,1491,233,Havasu Wilderness,,Havasu,AZ/CA,,1990,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,17801.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",17953.0,17953.536,1,FWS,False,no_identified_management_role,,0,1,"The Havasu Wilderness lies within the Havasu National Wildlife Refuge which stretches along the Colorado River for 30 miles between Needles, California and Lake Havasu City, Arizona. Approximately one-third","The Havasu Wilderness lies within the Havasu National Wildlife Refuge which stretches along the Colorado River for 30 miles between Needles, California and Lake Havasu City, Arizona. Approximately one-third","The Havasu Wilderness lies within the Havasu National Wildlife Refuge which stretches along the Colorado River for 30 miles between Needles, California and Lake Havasu City, Arizona. Approximately one-third","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=233,https://www.recreation.gov/search?q=Havasu+Wilderness,https://www.congress.gov/search?q=%22Havasu+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Havasu+Wilderness,https://www.courtlistener.com/?q=%22Havasu+Wilderness%22,https://scholar.google.com/scholar?q=%22Havasu+Wilderness%22+wilderness,https://www.google.com/search?q=%22Havasu+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,17953.0,17953.536,FWS,0,1,same_component_count,,2026-04-23,2026-08-05
