monument_id,document_id,document_type,title,direct_url,issuing_authority,current_or_historical,verification_date,validation_status,note
nm_ca_california_coastal,proc9089,later designation/amendment instrument,Boundary enlargement of California Coastal National Monument,,President Barack Obama,Historical,2026-08-09,Direct URL not resolved in-session,Point Arena-Stornetta addition; official legal index retained if direct text not resolved.
nm_ca_california_coastal,proc9563,later designation/amendment instrument,Boundary enlargement of California Coastal National Monument,,President Barack Obama,Historical,2026-08-09,Direct URL not resolved in-session,Added additional onshore lands/units.
nm_ca_cascade_siskiyou,pl11111,later designation/amendment instrument,Omnibus Public Land Management Act provisions affecting Cascade–Siskiyou,https://www.govinfo.gov/app/details/PLAW-111publ11,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,Material congressional land provisions associated with monument.
nm_ca_cascade_siskiyou,proc9564,later designation/amendment instrument,Boundary enlargement of Cascade–Siskiyou National Monument,,President Barack Obama,Historical,2026-08-09,Direct URL not resolved in-session,Expanded the monument into additional Oregon and California lands.
nm_ca_cabrillo,proc3273,later designation/amendment instrument,Cabrillo National Monument boundary change,,President Dwight D. Eisenhower,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_cabrillo,proc4319,later designation/amendment instrument,Cabrillo National Monument boundary change,,President Gerald R. Ford,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_lava_beds,proc2925,later designation/amendment instrument,Lava Beds National Monument boundary change,,President Harry S. Truman,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_muir_woods,proc1608,later designation/amendment instrument,Muir Woods National Monument enlargement,,President Warren G. Harding,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_muir_woods,proc2122,later designation/amendment instrument,Muir Woods National Monument enlargement,,President Franklin D. Roosevelt,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_muir_woods,proc2932,later designation/amendment instrument,Muir Woods National Monument boundary change,,President Harry S. Truman,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_muir_woods,proc3311,later designation/amendment instrument,Muir Woods National Monument boundary change,,President Dwight D. Eisenhower,Historical,2026-08-09,Direct URL not resolved in-session,
nm_ca_san_gabriel_mountains,proc10746,later designation/amendment instrument,Expansion of San Gabriel Mountains National Monument,https://public-inspection.federalregister.gov/2024-10408.pdf,President Joseph R. Biden Jr.,Historical,2026-08-09,Resolved in authoritative web research,"Forest Service map reports 455,407 acres total after expansion."
nm_ca_santa_rosa_san_jacinto,pl106434,later designation/amendment instrument,Santa Rosa and San Jacinto Mountains National Monument Act follow-up provisions,https://www.govinfo.gov/app/details/PLAW-106publ434,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,Follow-up statutory provisions.
nm_ca_santa_rosa_san_jacinto,pl11111_1853,later designation/amendment instrument,Omnibus Public Land Management Act provision,https://www.govinfo.gov/app/details/PLAW-111publ11,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,Later statutory adjustment/provision.
nm_ca_tule_lake,proc8327,later designation/amendment instrument,Establishment of World War II Valor in the Pacific National Monument — Tule Lake Unit,,President George W. Bush,Historical,2026-08-09,Direct URL not resolved in-session,Predecessor unit; not a separate current monument.
nm_ca_tule_lake,pl115170,later designation/amendment instrument,WWII Valor in the Pacific/NPS name-related statutory transition,https://www.govinfo.gov/app/details/PLAW-115publ170,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,Retained as legal-history context; current standalone redesignation occurred in 2019.
nm_ca_saint_francis_dam_disaster,sf_plan_2023,management plan,Saint Francis Dam Disaster National Monument Plan (2023),https://www.fs.usda.gov/r05/angeles/planning,USDA Forest Service,Yes,2026-08-09,Resolved in authoritative web research,Forest Service planning page lists the monument plan.
nm_ca_tule_lake,tule_gmp,management plan,Tule Lake Unit General Management Plan / planning record,https://parkplanning.nps.gov/TuleLakeGMP,National Park Service,Yes,2026-08-09,Resolved in authoritative web research,Current NPS management page points to the GMP/FONSI planning record.
nm_ca_castle_mountains,camo_laws,management/current policy,Castle Mountains laws and policies,https://www.nps.gov/camo/learn/management/lawsandpolicies.htm,National Park Service,Yes,2026-08-09,Resolved in authoritative web research,Current page states administrative co-management with Mojave National Preserve.
nm_ca_cesar_e_chavez,cech_compendium,current access/policy,César E. Chávez Superintendent’s Compendium,https://www.nps.gov/cech/learn/management/superintendents-compendium.htm,National Park Service,Yes,2026-08-09,Resolved in authoritative web research,Documents NPS-administered footprint and site-specific rules.
nm_ca_california_coastal,ccnm_history,official history/reference,History of the California Coastal National Monument,https://www.blm.gov/programs/national-conservation-lands/california/california-coastal-national-monument/history,Bureau of Land Management,Yes,2026-08-09,Resolved in authoritative web research,Useful boundary/addition chronology and acreage context.
