acec_id,component_id,boundary_represents,designation_applies_to,surface_management_scope,mineral_estate_scope,includes_non_blm_land,non_blm_land_summary,public_access_status,public_access_scope,access_information_source,access_information_source_url,access_information_verified_on,access_information_confidence,land_status_caveat,last_verified,notes
acec-a6554e12b6c54d,blmca-c4a21cbc-e616-4202-95d3-2c4777cb7c12,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-c2ede1fbe96ae9,blmca-cc6ae37d-e995-4567-8868-d80bd592dec7,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-00193cda945bde,blmca-b6f5cb49-4dd6-41d2-8452-f579a21b4945,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7869140086b800,blmca-3291e9c6-deca-465a-9de0-99c6b3db641a,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-2ab872f3c0b997,blmca-22ef2d86-2773-40f6-b898-548be1757679,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-d5bb49931e8ca7,blmca-96d04fbc-7edb-4b8d-94cf-338e751283e3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-03567a718268db,blmca-a6128b6a-c90a-4e5a-926c-c5fba76a4286,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-ba901b38eac683,blmca-64021756-2be6-4da1-9589-012bff705bd5,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f37bb01a4504d9,blmca-eca38b15-0f0c-4a25-8a52-951b785e96a8,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-3381f3f57cca46,blmca-ec73c69e-eec8-4502-beeb-dce71f0cb038,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-1cf1a1ebf233c7,blmca-89dcaaad-6ef5-4925-94d1-8bf24a92c70c,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a09cae5f49457b,blmca-595231bb-3e0a-4b70-a73a-c95f798a97f3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0a081bfa7bfd65,blmca-ad5bb712-0cb9-4c2b-9988-8f6e36a24723,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a639e3210a97b6,blmca-33ceeeea-0624-4aed-8641-01b0a3576e12,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-3c786027a440fe,blmca-21a957ac-bf71-4b02-8777-8545547f950a,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-49ae8a9483cae3,blmca-54e6999f-d6d1-4eb8-8774-0b9221ed2a17,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0ad4c72e6ddd32,blmca-0e4968e5-91b4-4582-9641-da91c9d0b902,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f680b1c98dcff6,blmca-64278c24-e614-42e4-bfb3-27f0d82aaa8d,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e5890cac99d9d9,blmca-f00ee16f-b475-4372-8d15-bb9e7604ee96,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-4bbef8a811db7d,blmca-dfd45496-2093-44ac-b778-0fb70c4c375c,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-967b6d4855cd38,blmca-0e5f1f79-b9fa-4677-8f6d-d29e1761e0fa,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-07e809c436333a,blmca-51fa6850-2969-453e-9c9b-c5a2549508c5,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-942d89735941b1,blmca-de533af2-3578-42ba-ba48-b0c44ae94d45,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-b8422dcaf6e42b,blmca-40decd85-3e06-4ac5-b495-26b948e7c19e,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f6df95a7521adf,blmca-16730901-e7b0-4741-bfc2-12c635454ba7,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e3030589272cd2,blmca-414e290f-82ea-41f2-bd9c-2df6c38bfd83,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-eefba2002e5d17,blmca-73e7711d-f83f-4d84-90ee-11b4e91462c1,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-b6771a30b09496,blmca-f25c7ae2-e2d0-4648-8c79-77f49ceae8a7,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-5b8a4b901701dc,blmca-ca7716a9-4127-4cf4-b604-71e6555b8280,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-d5c6e9b559f032,blmca-c570fd0d-9d53-427a-b3f8-7872a809de3b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-03ec5d2a34cc80,blmca-a73e8240-b840-484b-9f42-348ad3349efc,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a876ae3f36b69f,blmca-9a67d72f-b38a-417b-8c90-a944496f53a1,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-178e8ebea9723c,blmca-47c04f8a-020f-4874-bea5-b0e62e5b520c,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-1a2274a209ecac,blmca-17caa1ee-c8df-44c4-a31a-f286579ab3dc,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-93fa7f39d38b25,blmca-1259e74b-fdcb-4048-8dbd-d6b75c9b62e3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-98a6137ae90fa3,blmca-45fb448b-f4f6-4d0c-b704-563f7200bb36,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-3a20d59207e54e,blmca-8d89eacc-a5c4-4270-a7ef-71d85baebf80,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-de4d49c5d889e6,blmca-73fce7c0-b767-4b9b-bd73-15b653cc036e,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-eff7540c4ac147,blmca-b6701475-6841-46a3-b3ec-9bec083ca1b8,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-bd22db1dcbf017,blmca-59077d43-a3fd-404b-838a-e403eaa31b8d,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-5996b04f506863,blmca-0c552e4a-cd40-44e2-957a-de0ae8b6eed4,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-90e93d7b70aff7,blmca-1346d40c-b3c0-4712-ae64-0a18830493c4,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-11ad70d626345d,blmca-3293e6e9-5bdd-4399-aedc-2bad89712949,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-1c307d9c6029b1,blmca-f3eba61e-7ea4-4d76-ab28-a22b6f48a324,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-44eff1e0aa93e7,blmca-4aef1ceb-7cc0-4918-8880-fe0977ac0039,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-bef60dbaeef6d9,blmca-f4b7e215-12a0-4a83-8b0f-b803f1936ebd,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-56983aa76a6050,blmca-7e81d0dc-104a-44da-90a2-0fe60ca299a3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-88e3a418c2424c,blmca-e1681c72-39e1-4c7d-b692-831db9041e78,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-cdb2e8b5bcad21,blmca-76727bf9-3803-4b54-ac93-a0090518a940,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-8592ffba7bec30,blmca-7f7abb9d-ec59-41d8-b909-9adf59a3dfa7,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e71f61490a4558,blmca-898b680d-1d6d-4bb2-8a5b-86b29e02e106,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-bb20419abef121,blmca-90072281-e5cf-4ce8-9ffe-77776e64978d,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-6dfe9441073c8e,blmca-5301616b-bb38-4100-9bb8-1517263940bb,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-1fe131d30ed452,blmca-aad34c8b-c4c6-47ff-b0b1-a03742303557,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0816659292b860,blmca-2c2689c2-662b-45a4-8fee-d94f3d738800,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0e71475d6309f6,blmca-0c762629-ffad-4e2d-a9a6-55ff6c2ab8b2,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
