"seed_order","reference_name","source_name_candidates","date_established_reference","established_year_month","reference_acres","designation_subtype_reference","geographic_scope_note"
44,"Sawtooth Mountains A","Sawtooth Mountains A","Jul-91","1991-07",3883,"Wilderness Study Area","California"
45,"Sawtooth Mountains C","Sawtooth Mountains C","Jul-91","1991-07",600,"Wilderness Study Area","California"
46,"Scodie","Scodie","Dec-79","1979-12",420,"Wilderness Study Area","California"
47,"Sheep Ridge","Sheep Ridge","Jul-91","1991-07",5102,"Wilderness Study Area","California"
48,"Skedaddle","Skedaddle","Jul-91","1991-07",61421,"Wilderness Study Area","California and Nevada; Nevada portions are administered by BLM California"
49,"Slinkard","Slinkard","Jul-91","1991-07",6268,"Wilderness Study Area","California"
50,"South Warner Contiguous","South Warner Contiguous","Jul-91","1991-07",4330,"Contiguous/subunit WSA","California"
51,"Southern Inyo","Southern Inyo","Jul-91","1991-07",4900,"Wilderness Study Area","California"
52,"Symmes Creek","Symmes Creek","Jul-91","1991-07",7694,"Wilderness Study Area","California"
53,"Table Mountain","Table Mountain","Jul-91","1991-07",1018,"Wilderness Study Area","California"
54,"Thatcher Ridge","Thatcher Ridge","Jul-91","1991-07",130,"Wilderness Study Area","California"
55,"Timbered Crater & Baker Cypress ISA","Timbered Crater & Baker Cypress ISA|Timbered Crater|Timbered Crater and Baker Cypress ISA|Timbered Crater & Baker Cypress Instant Study Area","Jul-91","1991-07",17896,"Instant Study Area (ISA)","California"
56,"Trinity Alps Subunit","Trinity Alps Subunit|Trinity Alps WSA Subunit","Nov-24","2024-11",220,"Contiguous/subunit WSA","California"
57,"Tule Mountain","Tule Mountain","Jul-91","1991-07",16998,"Wilderness Study Area","California"
58,"Tunnison Mountain","Tunnison Mountain","Jul-91","1991-07",19884,"Wilderness Study Area","California"
59,"Twin Peaks","Twin Peaks","Jul-91","1991-07",25677,"Wilderness Study Area","California and Nevada; Nevada portions are administered by BLM California"
60,"Volcanic Tablelands","Volcanic Tablelands","Jul-91","1991-07",12499,"Wilderness Study Area","California"
61,"White Mountains","White Mountains","Oct-94","1994-10",1700,"Wilderness Study Area","California"
62,"Yolla Bolly Contiguous","Yolla Bolly Contiguous","Jul-91","1991-07",646,"Contiguous/subunit WSA","California"
63,"Massacre Rim","Massacre Rim|Massacre Rim Wilderness Study Area","May-92","1992-05",101290,"Wilderness Study Area","Nevada; administered through BLM California/Applegate Field Office"
