"candidate_id","title","provider","theme","input_batch","desire","strength","custom","ease","link_only_input","likely_panel_input","ui_tier_input","service_type","service_root_url","exact_layer_urls","layer_ids_to_add","layer_names_to_add","root_probe_ok","root_probe_error","root_layer_count","geometry_or_raster_type","spatial_reference","extent","time_enabled","query_supported","geojson_or_pbf_supported","legend_supported","token_required","existing_catalog_match","recommended_implementation_path","recommended_panel","recommended_ui_tier","recommended_label","score","recommended_patch_bucket","mandatory_caveats","performance_notes","source_link_plan","legend_plan","scale_visibility_plan","reject_or_defer_reason"
"BLM_RENEWABLE_PROJECTS","BLM CA renewable energy projects","BLM eGIS / GeoPlatform","Renewable energy / ROW / cumulative projects","Batch 2",4,4,3.5,3.5,"No/Maybe","Renewable Energy / ROW","B","FeatureServer","","","","","","",,"Point/polygon","","","","","","","","","endpoint_discovery_or_link_only","External compact/explore","B","BLM CA renewable energy projects",21.95,"EL_005_endpoint_discovery_or_defer","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.","Endpoint discovery needed before map-layer add; can remain compact/link-only meanwhile."
"ACTIVE_MINES_SMARA","Active mines / SMARA / DOC mine status","California DOC / Division of Mine Reclamation","Mining / water quality / reclamation","Batch 2",4,4,3.5,3.5,"No/Maybe","Mining / Water Quality","B","Other","","","","","","",,"Point/polygon","","","","","","","","","endpoint_discovery_or_link_only","External compact/explore","B","Active mines / SMARA / DOC mine status",20.7,"EL_005_endpoint_discovery_or_defer","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.","Endpoint discovery needed before map-layer add; can remain compact/link-only meanwhile."
"CPC_WEEK34","CPC Week 3–4 outlooks","NOAA / NWS / CPC","Climate outlook","Batch 3",3.5,4,3,3.5,"Maybe","Climate Outlooks","B/C","Other","","","","","","",,"Raster/polygon outlook","","","","","","","","","endpoint_discovery_or_link_only","External compact/explore","B/C","CPC Week 3–4 outlooks",19.15,"EL_005_endpoint_discovery_or_defer","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.","Endpoint discovery needed before map-layer add; can remain compact/link-only meanwhile."
"CPC_MONTH_SEASON","CPC monthly / seasonal outlooks","NOAA / NWS / CPC","Climate outlook","Batch 3",3,4,3,3.5,"Maybe","Climate Outlooks","C","Other","","","","","","",,"Raster/polygon outlook","","","","","","","","","endpoint_discovery_or_link_only","External compact/explore","C","CPC monthly / seasonal outlooks",18.15,"EL_005_endpoint_discovery_or_defer","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.","Endpoint discovery needed before map-layer add; can remain compact/link-only meanwhile."
"SWPC_SPACE","SWPC space-weather alerts, watches, warnings, K-index","NOAA / Space Weather Prediction Center","NOAA / infrastructure / communications","Batch 3",2.5,4,2,2.5,"Yes/Maybe","NOAA Explore / Infrastructure Link","C/link","API","","","","","","",,"Non-map/status","","","","","","","","","endpoint_discovery_or_link_only","External compact/explore","C/link","SWPC space-weather alerts, watches, warnings, K-index",14.95,"EL_005_endpoint_discovery_or_defer","","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Decide after service/layer count and extent are verified.","Endpoint discovery needed before map-layer add; can remain compact/link-only meanwhile."
"SWPC_AURORA","SWPC aurora 30-minute forecast","NOAA / Space Weather Prediction Center","Space weather / novelty / broad awareness","Batch 3",2,3.5,2.5,2.5,"Yes/Maybe","NOAA Explore","C/link","Other","","","","","","",,"Raster/forecast image","","","","","","","","","endpoint_discovery_or_link_only","External compact/explore","C/link","SWPC aurora 30-minute forecast",13.88,"EL_005_endpoint_discovery_or_defer","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.","Endpoint discovery needed before map-layer add; can remain compact/link-only meanwhile."
"CALGEM_WELLS","CalGEM oil/gas/geothermal wells, fields, leases, notices, permits","California DOC / CalGEM","Energy / water quality / legacy infrastructure","Batch 2",4.5,4.5,4,4,"No","Energy / Water Quality / Infrastructure","A/B","MapServer","https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer","https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/0 ; https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/1 ; https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/3","0,1,3,5,6,7","Submitted Notice of Intention | Approved Notice of Intention/Permit | Well Stimulation Permit | Well Stimulation Permit | Well Stimulation Permit By Type | Hydraulic Fracturing | Acid Fracturing | Acid Matrix","TRUE","",8,"esriGeometryPoint","3857","-13823715.3927, 3957210.4243, -13092747.0441, 7098586.3582 | -13864826.8924, 3937975.6023, -13079054.9261, 4958450.4186 | -13368932.7791, 4019758.3984, -13120119.1493, 4305318.7934","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External","A/B","CalGEM oil/gas/geothermal wells, fields, leases, notices, permits | California DOC / CalGEM",24.67,"EL_005_second_wave_service_layers","","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Likely OK as current-view or full load after response-size check.",""
"SPC_CONVECTIVE","SPC convective outlooks","NOAA / NWS / Storm Prediction Center","Severe weather outlooks","Batch 3",3.5,4.5,4,4.5,"No","Forecasts / Severe Weather","B","MapServer","https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/SPC_wx_outlks/MapServer","","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","Day 1 Convective Outlook | Day 1 Categorical Outlook | Day 1 Tornado Conditional Intensity | Day 1 Probabilistic Tornado Outlook | Day 1 Hail Conditional Intensity | Day 1 Probabilistic Hail Outlook | Day 1 Wind Conditional Intensity | Day 1 Probabilistic Wind Outlook | Day 2 Convective Outlook | Day 2 Categorical Outlook | Day 2 Tornado Conditional Intensity | Day 2 Probabilistic Tornado Outlook | Day 2 Hail Conditional Intensity | Day 2 Probabilistic Hail Outlook | Day 2 Wind Conditional Intensity | Day 2 Probabilistic Wind Outlook | Day 3 Convective Outlook | Day 3 Categorical Outlook | Day 3 Severe Conditional Intensity | Day 3 Probabilistic Outlook | Day 4 - 8 Convective Outlook | Day 4 Probabilistic Outlook | Day 5 Probabilistic Outlook | Day 6 Probabilistic Outlook | Day 7 Probabilistic Outlook | Day 8 Probabilistic Outlook","TRUE","",26,"Group Layer; esriGeometryPolygon","4269","-125.022, 24.169, -66.669, 49.561 | -124.838, 24.169, -66.669, 49.561","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External first; consider Ops/both after QA","B","SPC convective outlooks | NOAA / NWS / Storm Prediction Center",23.22,"EL_005_second_wave_service_layers","Forecast/outlook/discussion polygons; not warnings, incidents, or observed conditions.","Service has 26 sublayers; add only selected IDs. Use current-view/min-zoom or raster export guardrails for first map add. Only first 10 layer details probed; inspect remaining layers before patching.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"DRECP","DRECP / renewable energy zones / conservation designations","CEC / BLM / CDFW / USFWS / Data Basin","Renewable energy / desert / ROW / conservation","Batch 2",4.5,4,3.5,3.5,"No/Maybe","Renewable Energy / Desert / ROW","A/B","FeatureServer","","","","","","",,"Polygon","","","","","","","","","static_preprocess","External","A/B","DRECP / renewable energy zones / conservation designations",22.95,"EL_005_second_wave_service_layers","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"WPC_WSSI","WPC Winter Storm Severity Index","NOAA / NWS / WPC","Snow impacts / winter forecast","Batch 3",3.5,4.5,4,4,"No","Forecasts / Snow Impacts","B","MapServer","https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/wpc_wssi/MapServer","","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,23,24,25,26,27","Overall Impact | Overall_Impact_Day_1 | Overall_Impact_Day_2 | Overall_Impact_Day_3 | Overall_Impact_Days_1-3 | Snow Amount | Snow_Amount_Day_1 | Snow_Amount_Day_2 | Snow_Amount_Day_3 | Snow_Amount_Days_1-3 | Snow Load | Snow_Load_Day_1 | Snow_Load_Day_2 | Snow_Load_Day_3 | Snow_Load_Days_1-3 | Ice Accumulation | Ice_Accumulation_Day_1 | Ice_Accumulation_Day_2 | Ice_Accumulation_Day_3 | Ice_Accumulation_Days_1-3 | Blowing Snow | Blowing_Snow_Day_1 | Blowing_Snow_Day_2 | Blowing_Snow_Day_3 | Blowing_Snow_Days_1-3","TRUE","",25,"Group Layer; esriGeometryPolygon","4326","-124.7657, 25.8067, -66.918, 49.4028 | -124.7657, 25.9592, -66.918, 49.4028 | -124.7177, 26.0346, -66.9786, 49.3784 | -124.7177, 26.1767, -66.9786, 49.3784 | -124.7177, 26.8485, -66.9786, 49.3784","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External first; consider Ops/both after QA","B","WPC Winter Storm Severity Index | NOAA / NWS / WPC",22.67,"EL_005_second_wave_service_layers","","Service has 25 sublayers; add only selected IDs. Use current-view/min-zoom or raster export guardrails for first map add. Only first 10 layer details probed; inspect remaining layers before patching.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"RAILROADS","Railroads","FRA / BTS / NTAD / Esri service lead","ROW / infrastructure","Batch 2",4,4,3.5,4,"No","ROW / Infrastructure","B","FeatureServer","https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Railroads/FeatureServer","https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Railroads/FeatureServer/0","0","USA Railroads","TRUE","",1,"esriGeometryPolyline","4326","-124.2585, 25.4625, -67.268, 49.0019","FALSE","TRUE","TRUE","FALSE","FALSE","","direct_arcgis","External","B","Railroads | FRA / BTS / NTAD / Esri service lead",22.5,"EL_005_second_wave_service_layers","","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Likely supports ArcGIS legend; verify visually before adding row-level lgnd.","Decide after service/layer count and extent are verified.",""
"TRANSMISSION_LINES","Electric transmission lines","HIFLD / EIA / state source TBD","ROW / energy / fire / infrastructure","Batch 2",4,3.5,3.5,3.5,"No/Maybe","ROW / Energy / Fire","B","FeatureServer","","","","","","",,"Line","","","","","","","","","static_preprocess","External first; consider Ops/both after QA","B","Electric transmission lines",21.33,"EL_005_second_wave_service_layers","","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Decide after service/layer count and extent are verified.",""
"FRAP_VEG_FIRE","CAL FIRE / FRAP vegetation, fuels, burn severity","CAL FIRE / FRAP","Fire / vegetation / watershed condition","Batch 2",3.5,4,3.5,3.5,"No/Maybe","Fire / Watershed Condition","B/C","FeatureServer","","","","","","",,"Raster/polygon","","","","","","","","","static_preprocess","External first; consider Ops/both after QA","B/C","CAL FIRE / FRAP vegetation, fuels, burn severity",20.95,"EL_005_second_wave_service_layers","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"SUBSTATIONS","Electric substations","HIFLD / EIA / state source TBD","Infrastructure / energy","Batch 3",3.5,3.5,3,3.5,"Maybe","Infrastructure / Energy Explore","C/B","FeatureServer","","","","","","",,"Point","","","","","","","","","static_preprocess","External","C/B","Electric substations",19.78,"EL_005_second_wave_service_layers","","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Likely OK as current-view or full load after response-size check.",""
"SPORT_LIS","NASA SPoRT-LIS soil moisture percentiles","NASA SPoRT / Drought.gov","Soil moisture / drought / fire / watershed","Batch 2",4.5,4.5,3.5,3.5,"No/Maybe","Drought / Soil Moisture","A/B","Other","","","","","","",,"Raster","","","","","","","","","static_preprocess","External first; consider Ops/both after QA","A/B","NASA SPoRT-LIS soil moisture percentiles",22.33,"EL_006_compact_explore_links","Current/model wetness or saturation context; not a station observation or percentile/anomaly unless explicitly documented.","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"INSAR_SUBSIDENCE","DWR / TRE Altamira InSAR land subsidence","California DWR / CNRA / TRE Altamira","Groundwater / infrastructure","Batch 2",4.5,4.5,3.5,3,"No/Maybe","Groundwater / Central Valley","A/B","Other","","","","","","",,"Raster or point/grid","","","","","","","","","static_preprocess","External","A/B","DWR / TRE Altamira InSAR land subsidence",21.78,"EL_006_compact_explore_links","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"NDFD_WIND","NDFD / gridded forecast wind","NOAA / NWS / NDFD","Wind forecast","Batch 2",4,4,3.5,3.5,"No/Maybe","Forecasts / Wind","A/B","WMS","","","","","","",,"Raster/grid","","","","","","","","","wms_wmts","External first; consider Ops/both after QA","A/B","NDFD / gridded forecast wind",21.2,"EL_006_compact_explore_links","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"AML_PAMP","Principal Areas of Mine Pollution / mine pollution areas","California DOC / Division of Mine Reclamation","AML / water quality","Batch 2",5,4,3,2.5,"Maybe","Water Quality / AML","A/B","Other","","","","","","",,"Polygon/point/tabular unknown","","","","","","","","","static_preprocess","External","A/B","Principal Areas of Mine Pollution / mine pollution areas",21.05,"EL_006_compact_explore_links","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","No row-level legend until layer rendering is confirmed.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
