"segment_id","facility_id","canonical_name","lbl","lbl_full","aliases","parent_system","facility_group","facility_type","network_role","ownership_class","owner_agency","operator_agency","project_family","project_name","project_division","project_unit","project_subunit","project_path","display_rank","display_rank_source","display_rank_reason","status","length_mi","geometry_source","geometry_decision","geometry_confidence","decision_id","source_major_rows","source_delta_rows","source_ids","blm_crosses","blm_length_mi","blm_pct_length","blm_nearest_mi","blm_crossing_count","blm_field_offices","search_text"
"CVY_01E6DCF2_S002","CVY_01E6DCF2","KLAMATH C CANAL","KLAMATH C CANAL","KLAMATH C CANAL","","","Open conveyance","Canal","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Klamath Project","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",11.2990787599144,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","221","DELTA_0221",FALSE,0,0,12.9958940729453,0,,"klamath c canal klamath c canal   other reclamation klamath project      us bureau of reclamation canal"
"CVY_01E6DCF2_S003","CVY_01E6DCF2","KLAMATH C CANAL","KLAMATH C CANAL","KLAMATH C CANAL","","","Open conveyance","Canal","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Klamath Project","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",19.0343652498748,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","277","DELTA_0277",FALSE,0,0,0.112762228149158,0,,"klamath c canal klamath c canal   other reclamation klamath project      us bureau of reclamation canal"
"CVY_01F93789_S001","CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","Closed conveyance","Pipeline","Branch","California state","","State Water Project","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",0.442709507090493,"Derived from DeltaMAPP","delta_nonduplicate_extension","high","A85","1084","146","DELTA_0146",FALSE,0,0,0.510871253034288,0,,"west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state water project pipeline"
"CVY_01F93789_S002","CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","Open conveyance","Aqueduct","Branch","California state","","State","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",4.56425536331436,"Major Conveyance","major_spine","high","A85","1084","146","MAJOR_1084",FALSE,0,0,1.99082413765962,0,,"west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct"
"CVY_01F93789_S003","CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","Open conveyance","Aqueduct","Branch","California state","","State","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",7.67131240005615,"Major Conveyance","major_spine","high","A85","1084","146","MAJOR_1084",FALSE,0,0,1.03184569188902,0,,"west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct"
"CVY_01F93789_S004","CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","Open conveyance","Aqueduct","Branch","California state","","State","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",7.18571198638014,"Major Conveyance","major_spine","high","A85","1084","146","MAJOR_1084",FALSE,0,0,0.970904372740577,0,,"west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct"
"CVY_01F93789_S005","CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","Open conveyance","Aqueduct","Branch","California state","","State","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",0.0164717446979725,"Major Conveyance","major_spine","high","A85","1084","146","MAJOR_1084",FALSE,0,0,0.475012049505464,0,,"west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct"
"CVY_01F93789_S006","CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","Open conveyance","Aqueduct","Branch","California state","","State","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",14.620473177069,"Major Conveyance","major_spine","high","A85","1084","146","MAJOR_1084",FALSE,0,0,0.365088268827934,0,,"west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct"
"CVY_023742FB_S001","CVY_023742FB","Bypass Spill Channel","Bypass Spill Channel","Bypass Spill Channel","","","Other/unknown","Unknown","Unknown","Unknown","PCWA","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.00625451272666196,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","574","","MAJOR_0574",FALSE,0,0,3.86120736373679,0,,"bypass spill channel bypass spill channel   unknown/unassigned unassigned     pcwa  unknown"
"CVY_023742FB_S002","CVY_023742FB","Bypass Spill Channel","Bypass Spill Channel","Bypass Spill Channel","","","Other/unknown","Unknown","Unknown","Unknown","PCWA","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.179981966062546,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","581","","MAJOR_0581",FALSE,0,0,3.86154867641966,0,,"bypass spill channel bypass spill channel   unknown/unassigned unassigned     pcwa  unknown"
"CVY_02BE0F98_S001","CVY_02BE0F98","West Branch Lakeland Canal","West Branch Lakeland Canal","West Branch Lakeland Canal","","","Open conveyance","Canal","Branch","Unknown","","Kings River Water Association","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",3.35249896235792,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","342","DELTA_0342",FALSE,0,0,8.0278161644308,0,,"west branch lakeland canal west branch lakeland canal   unknown/unassigned unassigned      kings river water association canal"
"CVY_02C0B6D8_S001","CVY_02C0B6D8","PUTAH SOUTH CANAL GREEN VALLEY CONDUIT","PUTAH SOUTH CANAL GREEN VALLEY CONDUIT","PUTAH SOUTH CANAL GREEN VALLEY CONDUIT","","","Closed conveyance","Pipeline","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Solano Project","","Putah South Canal system","","Putah South Canal system","local_supporting","automatic","Automatic standard/local rank.","unknown",2.22310313151039,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","323","DELTA_0323",FALSE,0,0,13.9109359229811,0,,"putah south canal green valley conduit putah south canal green valley conduit   other reclamation solano project  putah south canal system  putah south canal system  us bureau of reclamation pipeline"
"CVY_031FE24C_S001","CVY_031FE24C","ALL AMERICAN CANAL NEW RIVER SIPHON","ALL AMERICAN CANAL NEW RIVER SIPHON","ALL AMERICAN CANAL NEW RIVER SIPHON","","","Closed conveyance","Siphon","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Boulder Canyon Project","","All-American Canal system","","All-American Canal system","local_supporting","automatic","Automatic standard/local rank.","unknown",0.095750504786825,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","268","DELTA_0268",FALSE,0,0,1.21970087660803,0,,"all american canal new river siphon all american canal new river siphon   other reclamation boulder canyon project  all-american canal system  all-american canal system  us bureau of reclamation siphon"
"CVY_03678E60_S001","CVY_03678E60","Stallman Canal","Stallman Canal","Stallman Canal","","","Open conveyance","Canal","Unknown","Unknown","PCWA","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.13262698926266,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","458","","MAJOR_0458",FALSE,0,0,3.92321123303892,0,,"stallman canal stallman canal   unknown/unassigned unassigned     pcwa  canal"
"CVY_03678E60_S002","CVY_03678E60","Stallman Canal","Stallman Canal","Stallman Canal","","","Open conveyance","Canal","Unknown","Unknown","PCWA","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.18913268172931,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","460","","MAJOR_0460",FALSE,0,0,4.01820330775903,0,,"stallman canal stallman canal   unknown/unassigned unassigned     pcwa  canal"
"CVY_039DD70F_S001","CVY_039DD70F","Lincoln Canal","Lincoln Canal","Lincoln Canal","","","Open conveyance","Canal","Unknown","Unknown","NID","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",5.54156560140277,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","761","","MAJOR_0761",FALSE,0,0,3.5037454154047,0,,"lincoln canal lincoln canal   unknown/unassigned unassigned     nid  canal"
"CVY_03A29A2E_S001","CVY_03A29A2E","Anderson Cottonwood Irrigation District Canal","Anderson Cottonwood Irrigation District Canal","Anderson Cottonwood Irrigation District Canal","","","Open conveyance","Canal","Unknown","Local/regional public","","Anderson-Cottonwood Irrigation District","Local/regional public","Anderson-Cottonwood Irrigation District","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",6.78458810442976,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","389","DELTA_0389",FALSE,0,0,0.0809862616872228,0,,"anderson cottonwood irrigation district canal anderson cottonwood irrigation district canal   local/regional public anderson-cottonwood irrigation district      anderson-cottonwood irrigation district canal"
"CVY_03AE5904_S001","CVY_03AE5904","Riego","Riego","Riego","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.709517762352261,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","435","","MAJOR_0435",FALSE,0,0,18.76300379695,0,,"riego riego   unknown/unassigned unassigned       unknown"
"CVY_03AE5904_S002","CVY_03AE5904","Riego","Riego","Riego","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.775324384650787,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","437","","MAJOR_0437",FALSE,0,0,18.0304319731399,0,,"riego riego   unknown/unassigned unassigned       unknown"
"CVY_03DDB527_S001","CVY_03DDB527","Westlands Water District Lateral 4-5.5","WWD Lateral 4-5.5","Westlands Water District Lateral 4-5.5","WWD Lateral 4-5.5","Westlands Water District conveyance system","Distribution/local","Lateral","Distribution","Local/regional public","","Westlands Water District","Local/regional public","Westlands Water District conveyance system","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",6.50367790578038,"DeltaMAPP","delta","high","A14","65","373","DELTA_0373",FALSE,0,0,3.85091101395138,0,,"westlands water district lateral 4-5.5 wwd lateral 4-5.5 wwd lateral 4-5.5 westlands water district conveyance system local/regional public westlands water district conveyance system      westlands water district lateral"
"CVY_03E6A686_S001","CVY_03E6A686","Alejandro Canal","Alejandro Canal","Alejandro Canal","","","Open conveyance","Canal","Unknown","Unknown","","North Kern Water Storage District","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",4.99468814023761,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","426","DELTA_0426",FALSE,0,0,4.49684860312975,0,,"alejandro canal alejandro canal   unknown/unassigned unassigned      north kern water storage district canal"
"CVY_03E6A686_S002","CVY_03E6A686","Alejandro Canal","Alejandro Canal","Alejandro Canal","","","Open conveyance","Canal","Unknown","Unknown","","North Kern Water Storage District","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.940132094365535,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","426","DELTA_0426",FALSE,0,0,4.60676552729459,0,,"alejandro canal alejandro canal   unknown/unassigned unassigned      north kern water storage district canal"
"CVY_03EECDC1_S001","CVY_03EECDC1","Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved)","SFPUC Bay Division Pipelines","Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved)","SFPUC Bay Division Pipelines; Hetch Hetchy Regional Water System pipeline","Hetch Hetchy Regional Water System","Closed conveyance","Pipeline","Unknown","Local/regional public","","","Local/regional public","Hetch Hetchy Regional Water System","","Bay Division Pipelines","","Bay Division Pipelines","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",32.55181644486,"Major Conveyance","major","medium","31","92","337","MAJOR_0092",FALSE,0,0,10.011405351273,0,,"bay division pipelines (sfpuc segment; pipeline numbers unresolved) sfpuc bay division pipelines sfpuc bay division pipelines; hetch hetchy regional water system pipeline hetch hetchy regional water system local/regional public hetch hetchy regional water system  bay division pipelines  bay division pipelines   pipeline"
"CVY_03EF0B1D_S001","CVY_03EF0B1D","Stahl Ditch","Stahl Ditch","Stahl Ditch","","","Distribution/local","Ditch","Distribution","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",3.33291111080137,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1263","","MAJOR_1263",FALSE,0,0,3.6036998822209,0,,"stahl ditch stahl ditch   unknown/unassigned unassigned       ditch"
"CVY_03EF0B1D_S002","CVY_03EF0B1D","Stahl Ditch","Stahl Ditch","Stahl Ditch","","","Distribution/local","Ditch","Distribution","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",1.07256527660712,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1264","","MAJOR_1264",FALSE,0,0,1.98045559030015,0,,"stahl ditch stahl ditch   unknown/unassigned unassigned       ditch"
"CVY_040635D8_S001","CVY_040635D8","Spangler South","Spangler South","Spangler South","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.200963582689143,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","484","","MAJOR_0484",FALSE,0,0,21.6175328686635,0,,"spangler south spangler south   unknown/unassigned unassigned       unknown"
"CVY_040635D8_S002","CVY_040635D8","Spangler South","Spangler South","Spangler South","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.973900031051668,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","496","","MAJOR_0496",FALSE,0,0,21.8031522319784,0,,"spangler south spangler south   unknown/unassigned unassigned       unknown"
"CVY_0438E8F2_S001","CVY_0438E8F2","Adams West Canal","Adams West Canal","Adams West Canal","","","Open conveyance","Canal","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",13.0020636524873,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1289","","MAJOR_1289",FALSE,0,0,3.61263166434422,0,,"adams west canal adams west canal   unknown/unassigned unassigned       canal"
"CVY_043B4F94_S001","CVY_043B4F94","El Centro","El Centro","El Centro","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",1.25607412111132,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","265","","MAJOR_0265",FALSE,0,0,16.1966873006584,0,,"el centro el centro   unknown/unassigned unassigned       unknown"
"CVY_048110EF_S001","CVY_048110EF","South San Joaquin Main Canal","Main District Canal","South San Joaquin Main Canal","Main District Canal","South San Joaquin Irrigation District system","Open conveyance","Canal","Mainline","Local/regional public","","","Local/regional public","South San Joaquin Irrigation District system","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",16.7592558071221,"Major Conveyance","major","high","23","1074","336","MAJOR_1074",FALSE,0,0,1.92733265425881,0,,"south san joaquin main canal main district canal main district canal south san joaquin irrigation district system local/regional public south san joaquin irrigation district system       canal"
"CVY_04CF4069_S001","CVY_04CF4069","Shafter-Wasco Irrigation District Lateral","Shafter Wasco ID Lateral","Shafter-Wasco Irrigation District Lateral","Shafter Wasco ID Lateral","Shafter-Wasco Irrigation District conveyance system","Distribution/local","Lateral","Distribution","Local/regional public","","Shafter Wasco Irrigation District","Local/regional public","Shafter-Wasco Irrigation District conveyance system","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",5.31804802474763,"DeltaMAPP","delta","medium","A57","33|35","383","DELTA_0383",FALSE,0,0,8.32903913050196,0,,"shafter-wasco irrigation district lateral shafter wasco id lateral shafter wasco id lateral shafter-wasco irrigation district conveyance system local/regional public shafter-wasco irrigation district conveyance system      shafter wasco irrigation district lateral"
"CVY_04D47F32_S001","CVY_04D47F32","Consolidated Peoples Ditch","Consolidated Peoples Ditch","Consolidated Peoples Ditch","","","Distribution/local","Ditch","Distribution","Unknown","","Kaweah Delta WCD","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",2.30159808447323,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","452","DELTA_0452",FALSE,0,0,4.93207925204339,0,,"consolidated peoples ditch consolidated peoples ditch   unknown/unassigned unassigned      kaweah delta wcd ditch"
"CVY_04E8ED29_S001","CVY_04E8ED29","Dry Creek Canal","Dry Creek Canal","Dry Creek Canal","","","Open conveyance","Canal","Unknown","Local/regional public","","Fresno Irrigation District","Local/regional public","Fresno Irrigation District","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",21.6081037830975,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","464","DELTA_0464",FALSE,0,0,18.7594810344506,0,,"dry creek canal dry creek canal   local/regional public fresno irrigation district      fresno irrigation district canal"
"CVY_05028EEA_S001","CVY_05028EEA","CHOWCHILLA BYPASS","CHOWCHILLA BYPASS","CHOWCHILLA BYPASS","","","Open conveyance","Canal","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Reclamation project (unit unassigned)","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",21.7566448042285,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","288","DELTA_0288",FALSE,0,0,3.2099230106703,0,,"chowchilla bypass chowchilla bypass   other reclamation reclamation project (unit unassigned)      us bureau of reclamation canal"
"CVY_053D77D4_S001","CVY_053D77D4","South Fork Power Tunnel","South Fork Power Tunnel","South Fork Power Tunnel","","","Closed conveyance","Tunnel","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",2.70168492710188,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1304","","MAJOR_1304",FALSE,0,0,1.88201167105898,0,,"south fork power tunnel south fork power tunnel   unknown/unassigned unassigned       tunnel"
"CVY_0555A924_S001","CVY_0555A924","MARIPOSA BYPASS","MARIPOSA BYPASS","MARIPOSA BYPASS","","","Open conveyance","Canal","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Reclamation project (unit unassigned)","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",4.37838723352595,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","324","DELTA_0324",FALSE,0,0,21.9671279428629,0,,"mariposa bypass mariposa bypass   other reclamation reclamation project (unit unassigned)      us bureau of reclamation canal"
"CVY_0559E8DD_S001","CVY_0559E8DD","Lateral A-6","Lateral A-6","Lateral A-6","","","Distribution/local","Lateral","Distribution","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",2.71093803525667,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1344","","MAJOR_1344",FALSE,0,0,11.2612196399775,0,,"lateral a-6 lateral a-6   unknown/unassigned unassigned       lateral"
"CVY_0586FC82_S001","CVY_0586FC82","Palermo Canal","Palermo Canal","Palermo Canal","","","Open conveyance","Canal","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",15.4890497351467,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1281","","MAJOR_1281",FALSE,0,0,1.44139154462702,0,,"palermo canal palermo canal   unknown/unassigned unassigned       canal"
"CVY_060E9824_S001","CVY_060E9824","3","3","3","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.513008803467298,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","385","","MAJOR_0385",FALSE,0,0,20.3439127098483,0,,"3 3   unknown/unassigned unassigned       unknown"
"CVY_060E9824_S002","CVY_060E9824","3","3","3","","","Other/unknown","Unknown","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",0.63932157885534,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","386","","MAJOR_0386",FALSE,0,0,19.8138794598971,0,,"3 3   unknown/unassigned unassigned       unknown"
