"layer_id","display_name","category","canonical_group","cache_file","cache_path","cache_exists","cache_size_mb","cache_read_ok","read_error","source_kind","object_class","is_sf","is_list_cache","list_names","n_features","n_columns","geometry_family_expected","geometry_types","crs_epsg","layer_object_size_mb","n_coordinates","geometry_wkt_mb","attributes_json_mb","attributes_character_mb","popup_html_mb","hover_tooltip_mb","label_candidate_mb","style_candidate_mb","estimated_text_payload_mb","geom_mb_per_1000_features","attr_json_mb_per_1000_features","popup_mb_per_1000_features","payload_note"
"reference_layers_all_map::acec","acec [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,238,16,,"MULTIPOLYGON","4326",3.709,217755,4.113,0.107,0.047,0.016,0,0.002,0,4.22,17.282,0.45,0.067,"OK; estimates use WKT geometry proxy plus JSON attributes"
"rwqcb_regions","RWQCB Regions","Reference","Reference – RWQCB Regions","rwqcb_regions_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/rwqcb_regions_map.rds",TRUE,2.708,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,9,16,"polygon","MULTIPOLYGON","4326",3.271,212739,4.012,0.005,0.002,0.001,0,0,0,4.017,445.778,0.556,0.111,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::trails","trails [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,6,15,,"MULTILINESTRING","4326",3.06,197182,3.72,0.002,0.001,0,0,0,0,3.722,620,0.333,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"deltamapr_canals","Deltamapr Conveyance","Channels","Channels – Deltamapr Conveyance","deltamapr_canals_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/deltamapr_canals_map.rds",TRUE,1.798,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,508,11,"line","LINESTRING;MULTILINESTRING","4326",2.813,,2.776,0.244,0.159,0.065,0.046,0,0,3.02,5.465,0.48,0.128,"OK; estimates use WKT geometry proxy plus JSON attributes"
"cnrfc_stream","CNRFC River & Reservoir","Points","Points – CNRFC River & Reservoir","cnrfc_stream_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_stream_map.rds",TRUE,0.238,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,2047,29,"point","POINT","4326",3.407,2047,0.05,2.749,1.64,1.152,0.123,0,0,2.799,0.024,1.343,0.563,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::wsr","wsr [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,277,17,,"MULTILINESTRING","4326",2.3,135402,2.559,0.11,0.036,0.004,0,0,0,2.668,9.238,0.397,0.014,"OK; estimates use WKT geometry proxy plus JSON attributes"
"major_conveyance","Major Conveyance","Channels","Channels – Major Conveyance","major_conveyance_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/major_conveyance_map.rds",TRUE,1.647,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,444,7,"line","LINESTRING;MULTILINESTRING","4326",2.547,,2.537,0.109,0.067,0.049,0,0,0,2.647,5.714,0.245,0.11,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::allotments","allotments [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,694,16,,"MULTIPOLYGON","4326",2.774,122741,2.329,0.293,0.117,0.03,0,0.007,0,2.622,3.356,0.422,0.043,"OK; estimates use WKT geometry proxy plus JSON attributes"
"cnrfc_precip","CNRFC Precip Gages","Points","Points – CNRFC Precip Gages","cnrfc_precip_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_precip_map.rds",TRUE,0.262,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,3137,13,"point","POINT","4326",3.521,3137,0.076,1.969,1.415,1.105,0.14,0,0,2.045,0.024,0.628,0.352,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::wildernessstudyarea","wildernessstudyarea [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,63,15,,"MULTIPOLYGON","4326",1.434,88726,1.675,0.025,0.01,0.003,0,0,0,1.7,26.587,0.397,0.048,"OK; estimates use WKT geometry proxy plus JSON attributes"
"ca_desert_ncl","CA Desert National Conservation Lands","Reference","Reference – CA Desert National Conservation Lands","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,11,15,"polygon","MULTIPOLYGON","4326",1.355,84149,1.588,0.004,0.002,0,0,0,0,1.593,144.364,0.364,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::cadesert_ncl","cadesert_ncl [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,11,15,,"MULTIPOLYGON","4326",1.355,84149,1.588,0.004,0.002,0,0,0,0,1.593,144.364,0.364,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"field_office_outer","BLM Field Office (outer)","Core","Core – BLM Field Office Boundaries","field_office_outer_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/field_office_outer_map.rds",TRUE,1.031,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,14,23,"polygon","POLYGON;MULTIPOLYGON","4326",1.272,,1.516,0.009,0.004,0.001,0,0,0,1.525,108.286,0.643,0.071,"OK; estimates use WKT geometry proxy plus JSON attributes"
"county","Counties","Reference","Reference – Counties","county_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/county_map.rds",TRUE,0.928,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,58,7,"polygon","POLYGON;MULTIPOLYGON","4326",1.183,,1.368,0.014,0.008,0.006,0,0.001,0,1.382,23.586,0.241,0.103,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::gwbasins_adjd","gwbasins_adjd [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,47,15,,"MULTIPOLYGON","4326",1.356,68820,1.302,0.017,0.006,0.001,0,0.001,0,1.319,27.702,0.362,0.021,"OK; estimates use WKT geometry proxy plus JSON attributes"
"calsim3_nodes","CalSim3 Nodes","Points","Points – CalSim3 Nodes","calsim3_nodes_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_nodes_map.rds",TRUE,0.144,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1540,16,"point","POINT","4326",1.993,1540,0.038,1.262,0.845,0.402,0.175,0,0,1.299,0.025,0.819,0.261,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc8","HUC8","Basins","Basins – HUC8 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,140,44,"polygon","MULTIPOLYGON;POLYGON","4326",0.999,,0.82,0.294,0.172,0.149,0,0.005,0,1.114,5.857,2.1,1.064,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc_all_map::huc8","huc8 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,140,44,,"MULTIPOLYGON;POLYGON","4326",0.999,,0.82,0.294,0.172,0.149,0,0.005,0,1.114,5.857,2.1,1.064,"OK; estimates use WKT geometry proxy plus JSON attributes"
"gw_bull118","GW – Bull. 118","Basins","Basins – GW Basins, Bulletin 118","gw_bull118_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/gw_bull118_map.rds",TRUE,0.497,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,515,10,"polygon","POLYGON;MULTIPOLYGON","4326",1.344,,0.686,0.266,0.18,0.142,0,0.014,0,0.952,1.332,0.517,0.276,"OK; estimates use WKT geometry proxy plus JSON attributes"
"cnrfc_basins","CNRFC Basins","Basins","Basins – CNRFC Basins","cnrfc_basins_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_basins_map.rds",TRUE,0.442,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,345,9,"polygon","POLYGON","4326",0.947,35059,0.665,0.171,0.131,0.11,0,0,0,0.835,1.928,0.496,0.319,"OK; estimates use WKT geometry proxy plus JSON attributes"
"cdec_reservoir_stations","CDEC Reservoir Stations","Points","Points – CDEC Reservoir Stations","cdec_reservoir_stations_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cdec_reservoir_stations_map.rds",TRUE,0.047,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,218,69,"point","POINT","4326",0.665,218,0.005,0.741,0.377,0.218,0.018,0,0,0.746,0.023,3.399,1,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc6","HUC6","Basins","Basins – HUC6 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,24,40,"polygon","POLYGON;MULTIPOLYGON","4326",0.475,,0.5,0.046,0.027,0.022,0,0.001,0,0.546,20.833,1.917,0.917,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc_all_map::huc6","huc6 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,24,40,,"POLYGON;MULTIPOLYGON","4326",0.475,,0.5,0.046,0.027,0.022,0,0.001,0,0.546,20.833,1.917,0.917,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc4","HUC4","Basins","Basins – HUC4 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,16,35,"polygon","MULTIPOLYGON;POLYGON","4326",0.456,,0.503,0.027,0.016,0.013,0,0.001,0,0.53,31.438,1.688,0.812,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc_all_map::huc4","huc4 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,16,35,,"MULTIPOLYGON;POLYGON","4326",0.456,,0.503,0.027,0.016,0.013,0,0.001,0,0.53,31.438,1.688,0.812,"OK; estimates use WKT geometry proxy plus JSON attributes"
"snow_pillows","Snow Pillows","Points","Points – Snow Pillows","snow_pillows_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/snow_pillows_map.rds",TRUE,0.035,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,304,20,"point","POINT","4326",0.544,304,0.007,0.395,0.262,0.198,0.022,0,0,0.402,0.023,1.299,0.651,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc2","HUC2","Basins","Basins – HUC2 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,4,30,"polygon","MULTIPOLYGON;POLYGON","4326",0.306,,0.351,0.006,0.003,0.003,0,0,0,0.357,87.75,1.5,0.75,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc_all_map::huc2","huc2 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,4,30,,"MULTIPOLYGON;POLYGON","4326",0.306,,0.351,0.006,0.003,0.003,0,0,0,0.357,87.75,1.5,0.75,"OK; estimates use WKT geometry proxy plus JSON attributes"
"drecp","DRECP","Reference","Reference – DRECP","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1,14,"polygon","POLYGON","4326",0.254,16042,0.302,0,0,0,0,0,0,0.303,302,0,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::drecp","drecp [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,1,14,,"POLYGON","4326",0.254,16042,0.302,0,0,0,0,0,0,0.303,302,0,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"cnrfc_fnf_delta","CNRFC FNF Delta Basins","Basins","Basins – CNRFC FNF Delta Basins","cnrfc_fnf_delta_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_fnf_delta_map.rds",TRUE,0.191,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,15,8,"polygon","POLYGON","4326",0.26,15397,0.291,0.007,0.006,0.005,0.001,0,0,0.298,19.4,0.467,0.333,"OK; estimates use WKT geometry proxy plus JSON attributes"
"x2_km","CVP/SWP X2 km points","Points","Reference – CVP/SWP X2 km points","x2_km_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/x2_km_map.rds",TRUE,0.007,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,178,6,"point","POINT","4326",0.322,178,0.004,0.224,0.21,0.209,0.001,0,0,0.229,0.022,1.258,1.174,"OK; estimates use WKT geometry proxy plus JSON attributes"
"blm_diffs","BLM Held/Managed Differences","Core","Core – BLM Held/Managed Differences","blm_diffs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_diffs_map.rds",TRUE,0.041,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,2,6,"polygon","MULTIPOLYGON","4326",0.07,3339,0.063,0.001,0,0,0,0,0,0.064,31.5,0.5,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"scan_stations","SCAN Stations","Points","Points – SCAN Stations","scan_stations_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/scan_stations_map.rds",TRUE,0.004,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,28,24,"point","POINT","4326",0.058,28,0.001,0.037,0.021,0.016,0.001,0,0,0.038,0.036,1.321,0.571,"OK; estimates use WKT geometry proxy plus JSON attributes"
"blm_offices","BLM Offices","Core","Core – BLM Offices","blm_offices_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_offices_map.rds",TRUE,0.002,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,19,13,"point","POINT","4326",0.025,19,0,0.009,0.005,0.003,0,0,0,0.009,0,0.474,0.158,"OK; estimates use WKT geometry proxy plus JSON attributes"
"project_areas","Project area(s)","Core","Core – Project area(s)","project_areas_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/project_areas_map.rds",TRUE,0.001,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,0,6,"polygon",,"4326",0.007,0,0,0,0,0,0,0,0,0,,,,"OK; estimates use WKT geometry proxy plus JSON attributes"
"wild_scenic_rivers","Wild & Scenic Rivers","Channels","Channels – Wild & Scenic Rivers","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"line",,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"national_scenic_historic_trails","National Scenic/Historic Trails","Reference","Reference – National Scenic/Historic Trails","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"national_monuments","National Monuments","Reference","Reference – National Monuments","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
